Category,Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
"Ag and Allied",Agriculture,108811,120898,150268,159001,167104,174935,183955,196621,211804,232573
"Ag and Allied","Forestry and logging",40157,38631,49302,47383,53786,50566,56444,57017,59297,61845
"Ag and Allied",Fishing,3539,3362,3009,2737,2874,3670,3859,4083,4320,4593
"Ag and Allied",Total,152507,162891,202579,209121,223764,229171,244258,257720,275421,299011
"Mining and quarrying","Mining and quarrying",61282,61855,73000,97001,83293,86701,105743,111414,90168,92721
Manufacturing,Total,17942,33595,59228,71084,68785,70689,95253,102659,114161,126651
Manufacturing,Registered,10470,25482,49572,59823,57119,57965,80425,87466,97481,108582
Manufacturing,Unregistered,7472,8113,9656,11261,11666,12724,14828,15193,16680,18069
Construction,Construction,73681,81675,92967,105323,200778,210830,231059,261044,326423,368248
"Electricity,gas and Water supply","Electricity,gas and Water supply",18566,17191,12010,27325,29174,32863,22732,35342,35319,39452
Industry,Total,171471,194316,237205,300733,382030,401083,454787,510459,566071,627072
"Transport,storage and communication",Total,44444,49893,58128,65158,74510,88098,104580,123944,144421,168933
"Transport,storage and communication",Railways,0,0,0,0,0,0,0,0,0,0
"Transport,storage and communication","Transport by other means",36080,39827,46764,52858,60504,71316,83284,97839,111646,126655
"Transport,storage and communication",Storage,140,144,171,204,240,262,340,366,424,476
"Transport,storage and communication",Communication,8224,9922,11193,12096,13766,16520,20956,25739,32351,41802
"Trade,hotels and restaurants","Trade,hotels and restaurants",63273,74233,92267,108040,112408,129471,154202,173553,204397,237167
"Banking and Insurance","Banking and Insurance",17585,19029,20833,22510,26073,30494,42869,54902,55280,62774
"Real estate,ownership of dwellings and business services","Real estate,ownership of dwellings and business services",74251,78391,82884,88388,93775,98524,103350,108596,115715,124951
"Public administration","Public administration",87594,96204,107185,107661,161439,176828,200583,223173,228000,259234
"Other services","Other services",44808,51558,61437,71862,87705,117241,153627,188839,224163,301622
Services,Total,331955,369308,422734,463619,555910,640657,759211,873007,971976,1154681
"State domestic product",Total,655933,726515,862518,973473,1161704,1270911,1458256,1641187,1813468,2080764
