Category,Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13
"Ag and Allied",Agriculture,160164,166054,167695,168060,197853,218725,239873,264091,289589
"Ag and Allied","Forestry and logging",40402,42992,45150,47918,54572,57455,61532,64450,67481
"Ag and Allied",Fishing,2346,2647,2877,2995,4619,5107,5424,5993,6593
"Ag and Allied",Total,202912,211693,215722,218973,257044,281287,306829,334534,363663
"Mining and quarrying","Mining and quarrying",712,789,920,1038,1185,1361,1422,1678,1980
Manufacturing,Total,9841,12222,14298,16589,16654,27809,21811,24573,27696
Manufacturing,Registered,2118,3642,3866,3925,3556,14245,6556,7158,7815
Manufacturing,Unregistered,7723,8580,10432,12664,13098,13564,15255,17415,19881
Construction,Construction,56724,69097,81908,89888,126870,128387,107585,117547,128431
"Electricity,gas and Water supply","Electricity,gas and Water supply",7953,8603,9866,12214,16789,19053,24845,28075,31725
Industry,Total,75230,90711,106992,119729,161498,176610,155663,171873,189832
"Transport,storage and communication",Total,57734,63320,72758,85659,76844,82676,91187,95050,102066
"Transport,storage and communication",Railways,327,341,464,617,564,805,876,817,930
"Transport,storage and communication","Transport by other means",47956,50540,55707,60747,61433,63821,73160,78496,84220
"Transport,storage and communication",Storage,81,85,103,123,148,179,291,330,375
"Transport,storage and communication",Communication,9370,12354,16484,24172,14699,17871,16860,15407,16541
"Trade,hotels and restaurants","Trade,hotels and restaurants",19627,22093,23633,29825,36913,40143,48672,54679,61428
"Banking and Insurance","Banking and Insurance",8371,9383,12436,14689,15122,17988,23851,28406,38774
"Real estate,ownership of dwellings and business services","Real estate,ownership of dwellings and business services",105139,130410,149180,179853,190949,209838,247858,297502,343212
"Public administration","Public administration",68980,77483,83516,89207,124595,157966,192327,216233,247652
"Other services","Other services",45891,53675,61428,69560,80642,86169,109550,122070,136553
Services,Total,305742,356364,402951,468793,525065,594780,713445,813940,929685
"State domestic product",Total,583884,658768,725665,807495,943607,1052677,1175937,1320347,1483180
