Year,"Small Coins","Rs. 1 Notes","Rs. 1 Coins","Rs. 2 Coins","Rs. 5 Coins","Rs. 10 Coins","Rs. 2 Notes","Rs. 5 Notes","Rs. 10 Notes","Rs. 20 Notes","Rs. 50 Notes","Rs. 100 Notes","Rs. 500 Notes","Rs. 1000 Notes"
2000-01,13,3.07,13.93,8.140000000000001,15.44,NA,4.71,10.16,123.36,10.12,328.18,1081.41,529.47,37.19
2001-02,13.28,3.08,15.47,10.62,20.25,NA,5.38,12.64,119.89,15.31,356.01,1180.41,685.12,71.79000000000001
2002-03,13.46,3.05,16.92,12.1,24.19,NA,4.83,17.39,90.88,34.25,351.91,1153.86,938.13,159.71
2003-04,13.53,2.99,17.57,12.55,25.35,NA,4.72,22.76,77.5,43.83,330.27,1214.42,1229.38,274.73
2004-05,13.53,2.99,17.9,12.9,26.19,NA,4.62,20.86,67.7,38.76,299.41,1232.82,1527.28,420.82
2005-06,13.58,2.99,18.94,13.65,27.35,NA,4.51,19.8,62.74,40.77,278.42,1346.37,1823.32,643.46
2006-07,13.64,3.01,20.29,14.88,28.8,NA,4.47,18.87,71.55,41.78,279.51,1354.44,2254,936.76
2007-08,14.55,3,22.14,19.07,32.49,NA,6.36,21.11,93.33,41.08,265.08,1345.75,2631.08,1412.19
2008-09,14.55,3,23.96,22.36,35.7,NA,6.65,22.71,122.22,43.99,244.4,1370.28,3083.04,1917.84
2009-10,14.55,2.99,26.47,26.4,38.8,1.49,6.98,22.33,185.36,46.81,210.57,1383.64,3644.79,2382.52
2010-11,14.58,2.99,29.68,30.68,45.35,3,8.51,34.3,212.88,60.4,159.8,1402.43,4453.11,3027.13
2011-12,7.39,2.99,31.42,36.4,49.9,6.48,8.51,36.43,230.02,70.2,174.38,1411.88,5128.07,3468.81
2012-13,7,2.99,32.89,44.23,53.38,12.67,8.51,36.87,251.68,76.5,173.05,1442.1,5359.5,4299
