"Sl. No.",Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
1,Agriculture,1460377,1570754,1781141,2644483,2655703,2908391,3158708,3105738,4342308,4218848,4828043
2,"Forestry & logging",257627,242120,274995,324045,327073,356586,451007,466135,469671,564439,560542
3,Fishing,107694,118525,126759,139992,169523,188907,234114,264298,331485,378106,456352
Total,"Ag & Allied",1825698,1931399,2182895,3108520,3152299,3453884,3843829,3836171,5143464,5161393,5844937
4,"Mining & quarrying",586186,712678,866277,1224754,1593737,1559500,2184445,2609875,2684157,2982831,3215207
5,Manufacturing,936979,987853,1324602,1848687,2227942,2130547,2463985,2722663,2782878,2874230,2987750
5.1,Registered,744091,779504,1076759,1557947,1918831,1799015,2092868,2307151,2339556,2409906,2504954
5.2,Unregistered,192888,208349,247843,290740,309111,331532,371117,415512,443322,464324,482796
6,Construction,809272,865857,1086634,1291006,1454512,1578871,1960122,2431848,2623069,2790102,3506082
7,"Electricity,gas and Water supply",319737,302148,388583,458259,346142,270640,412369,413547,528967,672608,755901
Total,Industry,2652174,2868536,3666095,4822706,5622333,5539558,7020921,8177933,8619071,9319771,10464940
8,"Transport,storage & communication",586022,681176,809265,937737,1144074,1356825,1648448,1877010,2235966,2621927,3153072
8.1,Railways,103015,106040,134853,153531,169406,165172,164181,185443,211122,216496,228130
8.2,"Transport by other means",382390,463190,554277,653491,822492,1009205,1275080,1488795,1793752,2145845,2637854
8.3,Storage,7392,8580,9929,11678,13873,17239,21677,27824,34365,40944,49090
8.4,Communication,93225,103366,110205,119037,138303,165209,187510,174948,196727,218641,237998
9,"Trade,hotels and restaurants",829815,994841,1288337,1485807,1746757,1986706,2436434,2848757,3113994,3309066,3631461
10,"Banking & Insurance",251808,269320,313386,365366,447467,517251,701435,820243,945852,1076378,1221033
11,"Real estate,ownership of dwellings and business services",505849,551192,603947,666032,750297,966686,1242281,1371811,1588796,1799602,2078769
12,"Public administration",366451,358617,395180,449410,616351,702742,787113,863470,988302,1052819,1153888
13,"Other services",755126,854568,924842,1091866,1369495,1770991,2072530,2263532,2486602,2957036,3532925
Total,Services,3295071,3709714,4334957,4996219,6074439,7301201,8888240,10044823,11359511,12816828,14771148
14,"State domestic product (` Lakh)",7772943,8509649,10183947,12927445,14849071,16294643,19752990,22058927,25122046,27297992,31081024
