Category,Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
"Ag and Allied",Agriculture,19982,22212,26174,27222,36040,43984,45454,58393,68857,71878
"Ag and Allied","Forestry and logging",3500,4300,5100,6000,7107,8254,10891,9137,10349,10875
"Ag and Allied",Fishing,7000,7100,7400,7500,10568,15789,20347,19395,32643,20440
"Ag and Allied",Total,30482,33612,38674,40722,53715,68027,76692,86925,111849,103193
"Mining and quarrying","Mining and quarrying",0,0,0,0,0,0,0,177,185,231
Manufacturing,Total,204499,363919,319733,342843,380627,464855,446240,488128,513859,584937
Manufacturing,Registered,168585,324366,272705,288072,321799,403764,377693,413584,432733,495592
Manufacturing,Unregistered,35914,39553,47028,54771,58828,61091,68547,74544,81126,89345
Construction,Construction,75301,80214,93383,107762,84221,116691,130380,142679,150171,167089
"Electricity,gas and Water supply","Electricity,gas and Water supply",9001,11534,12100,10536,14643,16171,17118,16698,19624,45724
Industry,Total,288801,455667,425216,461141,479491,597717,593738,647682,683839,797981
"Transport,storage and communication",Total,20241,19322,27108,30162,34897,41913,44772,55332,69021,86721
"Transport,storage and communication",Railways,66,65,124,142,284,333,330,1468,2558,4516
"Transport,storage and communication","Transport by other means",10598,12251,15413,16825,18325,20631,23231,25225,29523,38729
"Transport,storage and communication",Storage,63,68,81,97,118,176,213,298,380,481
"Transport,storage and communication",Communication,9514,6938,11490,13098,16170,20773,20998,28341,36560,42995
"Trade,hotels and restaurants","Trade,hotels and restaurants",109939,144243,170390,193304,180132,196687,225051,215678,272797,372612
"Banking and Insurance","Banking and Insurance",19013,21212,27028,30913,35463,42476,46079,56497,59619,66755
"Real estate,ownership of dwellings and business services","Real estate,ownership of dwellings and business services",43947,54413,66063,80258,98069,115248,137476,162643,210362,320342
"Public administration","Public administration",19608,27513,23825,25633,45110,51364,56670,78707,110359,149754
"Other services","Other services",43339,41741,55206,63010,78130,117004,128683,159488,201339,252663
Services,Total,256087,308444,369620,423280,471801,564692,638731,728345,923497,1248847
"State domestic product",Total,575371,797723,833511,925143,1005005,1230437,1309160,1462953,1719185,2150020
