"Sl. No.",Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
1,Agriculture,19982,22212,26174,27222,36040,43984,45454,46071,56425,71716,76533
2,"Forestry & logging",3500,4300,5100,6000,7107,8254,10891,14576,18925,24572,23120
3,Fishing,7000,7100,7400,7500,10568,15789,20347,19396,19836,21916,24091
Total,"Ag & Allied",30482,33612,38674,40722,53715,68027,76692,80043,95186,118204,123744
4,"Mining & quarrying",0,0,0,0,0,0,0,177,185,231,262
5,Manufacturing,204499,363919,319733,342843,380627,464855,446240,473761,504630,583618,698573
5.1,Registered,168585,324366,272705,288072,321799,403764,377693,399264,425292,494475,579250
5.2,Unregistered,35914,39553,47028,54771,58828,61091,68547,74497,79338,89143,119323
6,Construction,75301,80214,93383,107762,84221,116691,130380,147658,156278,193044,205724
7,"Electricity,gas and Water supply",9001,11534,12100,10536,14643,16171,17118,22204,26318,45628,51757
Total,Industry,288801,455667,425216,461141,479491,597717,593738,643800,687411,822521,956316
8,"Transport,storage & communication",20241,19322,27108,30162,34897,41913,44772,53868,67074,82325,103696
8.1,Railways,66,65,124,142,284,333,330,206,209,231,299
8.2,"Transport by other means",10598,12251,15413,16825,18325,20631,23231,27084,31289,38642,50637
8.3,Storage,63,68,81,97,118,176,213,262,305,479,767
8.4,Communication,9514,6938,11490,13098,16170,20773,20998,26316,35271,42973,51993
9,"Trade,hotels and restaurants",109939,144243,170390,193304,180132,196687,225051,247530,297551,372265,472648
10,"Banking & Insurance",19013,21212,27028,30913,35463,42476,46079,56497,61833,67777,97269
11,"Real estate,ownership of dwellings and business services",43947,54413,66063,80258,98069,115248,137476,168798,216476,322580,453549
12,"Public administration",19608,27513,23825,25633,45110,51364,56670,66957,75055,104580,130060
13,"Other services",43339,41741,55206,63010,78130,117004,128683,148653,178948,217452,244653
Total,Services,256087,308444,369620,423280,471801,564692,638731,742303,896937,1166979,1501875
14,"State domestic product (` Lakh)",575371,797723,833511,925143,1005005,1230437,1309160,1466146,1679534,2107703,2581935
