State/UT,"Labour Force Participation Rate (LFPR)"
"Andhra Pradesh",479
"Arunachal Pradesh",376
Assam,358
Bihar,283
Chhattisgarh,469
Delhi,350
Goa,376
Gujarat,424
Haryana,354
"Himachal Pradesh",526
"Jammu & Kashmir",403
Jharkhand,360
Karnataka,430
Kerala,403
"Madhya Pradesh",388
Maharashtra,437
Manipur,386
Meghalaya,438
Mizoram,446
Nagaland,445
Odisha,422
Punjab,401
Rajasthan,405
Sikkim,525
"Tamil Nadu",454
Tripura,445
Uttarakhand,373
"Uttar Pradesh",339
"West Bengal",405
"A & N Islands",449
Chandigarh,376
"Dadra & Nagar Haveli",344
"Daman & Diu",404
Lakshadweep,388
Puducherry,362
all-India,395
