Sector,Year," Name ",S.No.,"Jammu and Kashmir","Himachal Pradesh",Punjab,Chandigarh,Uttaranchal,Haryana,Delhi,Rajasthan,"Uttar Pradesh",Bihar,Sikkim,"Arunachal Pradesh",Nagaland,Manipur,Mizoram,Tripura,Meghalaya,Assam,"West Bengal",Jharkhand,Orissa,Chattisgarh,"Madhya Pradesh",Gujarat,"Daman and Diu","Dadra and Nagar Haveli",Maharashtra,"Andhra Pradesh",Karnataka,Goa,Lakshwadeep,Kerala,"Tamil Nadu",Pondicherry,"Andaman and Nicobar"
Rural,2011,January,1,106,106,105,105,105,107,105,106,106,105,105,108,103,102,108,108,109,105,108,109,109,108,106,108,104,108,108,108,108,106,105,109,109,110,105
Urban,2011,January,2,104,104,104,104,103,104,104,104,104,104,103,NA,103,104,104,105,104,104,104,105,105,105,104,104,103,104,104,104,104,103,103,107,105,106,105
Rural+Urban,2011,January,3,105,105,105,104,104,106,104,105,105,105,104,108,103,103,106,107,108,105,107,107,108,107,105,106,104,107,105,107,106,105,104,108,107,107,105
Rural,2011,February,4,105,105,105,103,105,107,103,106,105,105,104,108,102,102,109,108,107,106,108,107,106,106,106,107,104,106,107,106,108,105,105,109,108,108,104
Urban,2011,February,5,104,103,103,103,103,104,103,103,103,104,102,NA,103,104,104,105,104,103,104,104,105,104,103,104,103,104,103,103,104,103,102,107,104,105,105
Rural+Urban,2011,February,6,105,104,104,103,104,106,103,105,105,105,104,108,103,103,106,107,106,105,107,106,106,105,105,105,104,106,105,105,106,104,103,108,106,106,104
Rural,2011,March,7,107,105,105,102,103,108,103,106,106,106,103,108,103,102,110,109,114,106,109,107,107,106,107,108,104,105,107,106,108,106,105,109,108,107,103
Urban,2011,March,8,104,103,104,103,103,104,103,103,104,104,103,NA,103,104,104,105,104,104,104,105,105,104,104,104,104,104,104,103,104,103,104,107,104,104,106
Rural+Urban,2011,March,9,106,104,104,103,103,106,103,105,106,105,103,108,103,103,107,107,111,106,107,106,106,105,106,106,104,105,105,105,106,104,104,108,105,105,104
Rural,2011,April,10,107.2,105.2,105.2,103.4,104.3,108.7,102.9,105.9,107,105.7,104,108.9,103.8,102.1,111.1,108.8,113.3,107.9,110,107.7,107.4,106.2,107.5,109.2,105,105.8,108.3,106.1,109.3,107,105.4,109.6,107.5,107.8,103.4
Urban,2011,April,11,105.5,104.3,104.5,103.9,103.9,105,104,103.8,104.5,104.1,103.4,NA,102.9,103.8,105.8,105,104.8,103.8,104.8,104.9,105,103.9,104.1,105.4,104.1,105.8,104.7,103.1,104.8,103.9,108.6,107.1,103.9,104.7,106.8
Rural+Urban,2011,April,12,106.6,105,104.9,103.9,104.2,107.3,104,105.1,106.2,105.4,103.9,108.9,103.4,102.7,108.3,107.8,111.1,107.1,107.7,106.8,106.8,105.4,106.1,107.1,104.7,105.8,106,104.9,107,105.4,107.1,108.8,105.5,105.5,105.1
Rural,2011,May,13,108.9,105.7,105.8,104.3,104.9,109.2,103.3,106.8,108.2,107.1,104.6,111.6,104.3,102,111.8,108.2,113,109.5,111.5,107.9,108.7,106.9,108.6,110.9,106,107.2,109.8,107.4,109.8,107.1,105.8,110.7,108.9,107.3,104.4
Urban,2011,May,14,105.8,104.8,105.3,104.6,105.3,105.5,104.1,104.5,104.9,104.6,103.7,NA,103.8,104.1,107.3,105.3,105.6,104.6,105.2,105.1,105.8,104.3,104.8,106,105.5,106.2,105.2,103.6,105.4,104.3,110.9,107.9,104.6,105.2,107.9
Rural+Urban,2011,May,15,107.76,105.54,105.56,104.59,105.04,107.83,104.07,105.96,107.16,106.68,104.43,111.6,104.1,102.68,109.39,107.41,111.12,108.58,108.76,106.96,107.97,106.04,107,108.22,105.82,106.93,106.89,105.88,107.52,105.65,108.57,109.79,106.47,105.73,106.11
Rural,2011,June,16,108.8,107,106.5,104.1,105.7,110.7,104.3,107.9,109.5,108.2,106.8,110.9,105.4,102.2,112.9,109.8,113.5,111.4,113.3,109,109.9,107.3,109.5,112.4,106.3,108,110.5,108.6,111,109,105.6,111.9,110.5,107.9,107
Urban,2011,June,17,109,107.3,107.4,107.6,107.1,107.5,106,106.3,106.8,107.4,106.7,NA,105.6,106,109.4,107.2,107.1,106.9,107,107.2,108.8,107.1,106.6,108.1,107.1,106.9,107.3,106,109,106.9,112.1,110.6,106.9,107.5,109.3
Rural+Urban,2011,June,18,108.9,107.1,106.9,107.4,106.2,109.5,105.9,107.3,108.6,108.1,106.8,110.9,105.5,103.4,111,109.1,111.9,110.6,110.6,108.4,109.6,107.2,108.3,110,106.6,107.7,108.5,107.6,110,107.9,109.1,111.5,108.5,107.6,108.1
Rural,2011,July,19,109.6,107.8,108.3,106,108.3,111.6,106.8,109.9,111.4,110.7,108.5,112.9,106.1,102.1,111.2,111.2,118.4,112.3,115.3,111.6,112.2,110.9,111.1,114.3,107.7,108.4,112,110.8,112.7,111.2,109.5,112.6,111.3,110.7,107.9
Urban,2011,July,20,110.3,108.4,109.1,109.4,108.7,109.2,107.5,108.2,108.9,110,109.4,NA,106.5,107.3,111.2,108.2,108.7,109,108.6,110.2,110.1,109,108.3,110,108.6,108.2,108.8,107.8,110.5,107.4,113.2,111.2,107.9,108.6,111.2
Rural+Urban,2011,July,21,109.9,107.9,108.7,109.2,108.4,110.7,107.5,109.3,110.6,110.6,108.7,112.9,106.3,103.8,111.2,110.4,115.9,111.7,112.4,111.1,111.7,110.3,109.9,111.9,108,108.3,110,109.6,111.6,109.2,111.5,112.1,109.4,109.1,109.5
Rural,2011,August,22,111.6,109.2,109.3,108,110.2,112.5,108,110.7,112.8,112.7,109.5,114.3,107.9,106.4,110.6,111.5,120.6,114.2,118.2,113,112.8,111.6,112.6,115.7,109.4,109.8,112.7,112.1,113.9,111.1,113.9,114.8,112.2,110.6,109.1
Urban,2011,August,23,111.1,108.7,109.5,110.2,109.7,109.5,108.6,109.3,110.1,110.8,111,NA,107.8,109.6,111.6,108.9,109.5,110,109.6,111.1,110.9,109.9,109.4,111.4,109.5,109.1,109.5,109,111.3,108.1,116.3,113.1,109,109.3,113.3
Rural+Urban,2011,August,24,111.4,109.1,109.4,110.1,110,111.4,108.6,110.2,111.9,112.4,109.8,114.3,107.9,107.4,111.1,110.8,117.8,113.4,114.5,112.4,112.3,111,111.3,113.3,109.4,109.6,110.7,110.9,112.6,109.5,115.2,114.3,110.4,109.6,111.2
Rural,2011,September,25,112.8,110,110,110.1,111.8,113.9,110.3,111.9,114,113.4,109.4,116.3,108.7,108.1,109.6,112.3,123.2,114.4,119.3,114.1,114.7,113.8,114.6,117.3,112.1,108.5,114.1,113.3,115.4,113,115.4,116.3,113.3,111.7,106.7
Urban,2011,September,26,112.4,110,110.5,111.4,110.5,110,112.3,109.9,110.9,111.5,112.4,NA,108.9,112,113.1,109.5,110.2,111.1,109.9,112.1,112.3,111.2,110.6,112.9,110.4,110.3,110.9,110,112.3,110,117.5,114.4,110.1,111.2,115.3
Rural+Urban,2011,September,27,112.7,110,110.2,111.3,111.3,112.5,112.2,111.2,113,113.1,110,116.3,108.8,109.4,111.5,111.5,119.9,113.8,115.2,113.4,114.1,112.9,112.9,114.9,111.5,109,112.1,112,113.8,111.4,116.5,115.7,111.5,111.3,110.9
Rural,2011,October,28,113.7,111.4,111.3,111.3,113.9,114.3,111.8,112.7,114.8,114,109.7,118.2,109.2,109.8,109.9,115.6,128.2,116.3,119.3,114.8,115.3,113.9,116.2,118,112.2,108.9,115.4,114.1,116.2,113.1,116.5,116,114.4,113.2,108.1
Urban,2011,October,29,113,111.1,111.7,112.7,111.5,111.1,113.2,111.4,111.8,112.6,113.5,NA,109.7,113.9,113.9,110.8,110.7,112.3,110.4,113.6,113.6,112.5,111.2,113,110.6,111.8,111.6,111.3,113.5,110.9,114.5,114.7,111.5,111.9,115.9
Rural+Urban,2011,October,30,113.4,111.3,111.5,112.6,113,113.1,113.1,112.2,113.9,113.8,110.4,117.1,109.4,111.1,112,114.3,123.8,115.5,115.4,114.4,114.9,113.4,114.1,115.3,111.6,109.7,113,113,114.8,112,115.4,115.6,112.8,112.2,111.9
Rural,2011,November,31,115.6,111.4,111.8,111.7,115.2,115.5,111,114,113.9,114.1,109.8,117.1,109.6,110.8,113.1,114.9,127.3,116.7,118.8,114.6,114.7,114.9,116.6,117.7,110.6,111,115.5,115.2,117,113,116.3,116.9,115.5,114.5,109.6
Urban,2011,November,32,113.1,111.8,111.4,113.9,111.5,110.9,113.2,111.8,112.1,112.3,113.6,NA,110,113.3,114.6,111.6,111,112.3,110,113.4,113.8,113.2,111.9,113.2,111,112.4,112.3,112.2,114.4,111.5,115.1,116,113,112.9,115.9
Rural+Urban,2011,November,33,114.7,111.5,111.6,113.8,113.9,113.8,113.1,113.2,113.3,113.8,110.5,117.1,109.8,111.6,113.9,114,123.2,115.9,115,114.2,114.5,114.3,114.6,115.2,110.7,111.4,113.5,114,115.7,112.2,115.6,116.6,114.1,113.3,112.7
Rural,2011,December,34,115.8,111,111.1,111.1,114.2,114.1,110.6,114.2,113.2,112.1,109.1,116.4,110.2,109.4,111,112.3,133,115.3,116.1,114.4,113.5,113.6,116.1,117.4,109.8,110.3,115.6,113.9,116.1,113.6,114.3,116.1,115.9,114.6,110.6
Urban,2011,December,35,113,112.2,111.7,113.5,110.7,111.2,112.6,111.3,111.3,112.4,113.2,NA,110.6,112.6,115.2,110.8,110.7,112.2,109.8,112.1,112.9,112.4,111.8,112.9,111.7,111.6,112.1,111.9,115,111.7,114.7,116.1,114.3,113.2,115.4
Rural+Urban,2011,December,36,114.8,111.2,111.4,113.4,112.9,113,112.5,113.1,112.6,112.1,109.9,116.4,110.4,110.4,113.3,111.9,127.3,114.7,113.4,113.6,113.3,113.2,114.3,114.9,110.5,110.7,113.4,113.2,115.5,112.6,114.5,116.1,115,113.6,112.9
Rural,2012,January,37,116.6,111.1,111.3,111.2,114.4,114.2,111.7,115.6,113.5,112.7,109,117.3,109.8,110.1,110.5,114.6,133.4,115.4,117.1,114.6,112.9,112.6,116.4,118.8,110,106.7,115.4,113.8,117.1,113.3,113.6,116,117,115.9,112.4
Urban,2012,January,38,114,112.9,112.2,114.3,111.1,111.6,113.1,112,111.8,112.7,112.6,NA,110.8,112.4,116,111.7,111.2,112.4,111,111.9,113.1,112.4,111.9,113.4,113,112.9,112.3,112.6,115.7,112.2,114.7,116.3,114.8,114.6,116.5
Rural+Urban,2012,January,39,115.6,111.4,111.7,114.2,113.2,113.2,113,114.3,113,112.7,109.7,117.3,110.2,110.8,113.5,113.8,127.8,114.8,114.4,113.7,113,112.5,114.5,115.8,111.1,108.4,113.4,113.3,116.4,112.7,114.2,116.1,115.8,114.9,114.4
Rural,2012,February,40,117.1,111.2,111.8,112.4,114.3,115.3,112.6,116.2,114.2,112.7,109.7,117.2,110,109.9,111.7,114.9,130.1,116.1,118,115.2,113.4,112.6,116.6,119.3,110.8,107.8,114.9,114.1,117.7,113.6,114.1,116.6,117.3,115.9,111.3
Urban,2012,February,41,114.1,113.2,112.9,114.8,112,112.1,113.4,112.7,112.6,112.9,113.4,NA,111.4,112.1,116.7,112.7,111,113,112.4,113,114,112.7,112.4,114.3,113.4,113.9,112.8,113.3,116.5,112.6,115.2,116.6,115.4,115.3,116
Rural+Urban,2012,February,42,116,111.6,112.3,114.7,113.5,114.1,113.4,114.9,113.7,112.7,110.4,117.2,110.6,110.6,114.4,114.3,125.2,115.5,115.6,114.5,113.6,112.6,114.8,116.6,111.8,109.5,113.6,113.8,117.1,113.1,114.7,116.6,116.2,115.5,113.6
Rural,2012,March,43,118.3,111.8,112.5,113.3,115.2,115.6,113.6,117.4,115.4,113.8,110.1,117.8,111.1,108.8,112.1,115,134.3,116.1,118.7,116.3,114.8,114.1,117.4,120,111.6,108,115.8,113.7,118.5,113.3,114.8,116.8,118.2,117.4,112.2
Urban,2012,March,44,115.1,114,114,116.1,113,113.2,114.9,114.2,114.2,113.9,115.4,NA,111.8,112.3,117,114.2,112.2,113.9,113.3,113.5,114.9,112.9,113.3,115.8,114.3,115.4,113.9,114.5,117.1,113.3,116.4,116.9,116.2,116.3,116.6
Rural+Urban,2012,March,45,117.1,112.2,113.2,116,114.4,114.7,114.9,116.2,115,113.8,111.1,117.8,111.4,109.9,114.7,114.8,128.7,115.7,116.3,115.4,114.8,113.7,115.7,117.7,112.6,110,114.6,114,117.8,113.3,115.7,116.8,117.1,116.6,114.4
Rural,2012,April,46,119.2,113.4,114,113.6,117.1,116.9,115.5,118.9,117.2,116.2,109.8,119.3,111.7,108.1,112.7,114.8,136,118.4,120.7,117.8,116.7,114.8,118.9,122.2,112.1,107.9,118.1,115.6,119.8,113.6,115.5,117.5,119.8,117.2,112.7
Urban,2012,April,47,116.8,116.1,115.4,117.1,114.6,115,116.2,115.7,115.7,115.2,117.3,NA,112.3,112.6,119.2,115.3,113.1,115.1,115.2,115.1,116.3,114.1,114.3,117.4,115.5,117.2,115.1,116,118.4,113.1,118,118.4,118.1,116.7,118
Rural+Urban,2012,April,48,118.3,113.9,114.7,116.9,116.2,116.2,116.2,117.7,116.7,116,111.2,119.3,111.9,109.6,116.2,114.9,130.2,117.8,118.3,116.9,116.6,114.6,117,119.6,113.3,110.5,116.2,115.8,119.1,113.3,116.9,117.8,118.8,116.8,115.3
Rural,2012,May,49,118.9,115.5,115,114.8,118.6,118.4,116,119.8,118.7,117.5,111.5,121.3,112.3,108,116,114.3,136.8,120.4,122.6,119,118.7,116.9,119.7,123.2,113.3,107.4,119.2,116.8,121.1,114.6,114.2,118.2,120.3,118.3,112.6
Urban,2012,May,50,117,116.9,115.9,119,115.5,115.4,117.3,116,116.8,116.4,119,NA,113.9,113.3,119.9,116.3,114.7,116.2,116.5,116.3,118.5,115.8,115.2,118.6,115.9,118.6,116.4,116.8,119.1,113.7,118.6,119.5,119.3,117.4,119.8
Rural+Urban,2012,May,51,118.2,115.8,115.4,118.8,117.5,117.3,117.3,118.4,118.1,117.3,112.9,121.3,112.9,109.7,118.1,114.8,131.2,119.6,119.9,118.1,118.6,116.5,117.8,120.7,114.3,110.5,117.4,116.8,120.1,114.1,116.6,118.6,119.7,117.6,116.1
Rural,2012,June,52,119.4,116.7,115.6,114.6,119.5,119.3,116.8,120.6,120.4,119,112.8,123.1,113.4,108.4,117.6,114.2,135.5,121,124.9,121.5,121.2,118.5,121.1,123.7,113.6,107.7,120.2,118.6,122.6,116.7,115.7,119.2,121.7,120,113.7
Urban,2012,June,53,117.9,118.5,117,120.6,116.8,116.9,118.6,117.1,118.1,118.5,120.1,NA,114.5,114.4,120.8,116.9,115.5,117.3,118.6,119,120.7,116.9,116.9,119.3,116.8,118.6,117.3,118.9,120.5,114.5,121.4,120.3,121.2,118.8,121.5
Rural+Urban,2012,June,54,118.8,117,116.3,120.3,118.5,118.4,118.5,119.3,119.7,118.9,114.2,123.1,113.8,110.4,119.3,114.9,130.4,120.3,122.2,120.7,121.1,118,119.3,121.3,114.8,110.7,118.4,118.7,121.5,115.6,118.8,119.6,121.4,119.1,117.5
