"Sl. No.",Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
1,Agriculture,184846,199768,200324,209696,224987,246622,296560,319728,385295,431530
2,"Forestry & logging",24619,34041,37294,37920,38428,53142,74385,85068,94352,117940
3,Fishing,13699,15167,18412,25536,29778,34968,43000,48825,64141,77793
Total,"Ag & Allied",223164,248976,256030,273152,293193,334732,413945,453621,543788,627264
4,"Mining & quarrying",12825,15269,18112,18455,20907,21309,38557,45677,52766,62971
5,Manufacturing,35961,26236,32071,36603,40478,47105,62411,59370,63619,69296
5.1,Registered,23200,11192,13793,15544,19098,24424,38214,28039,30691,32226
5.2,Unregistered,12761,15044,18278,21059,21380,22681,24197,31331,32928,37070
6,Construction,141629,180094,213894,214293,266320,253339,242852,313832,341813,381609
7,"Electricity,gas and Water supply",25469,24986,25904,31358,36829,42346,32477,32598,36857,38600
Total,Industry,215884,246585,289981,300709,364534,364099,376297,451477,495055,552475
8,"Transport,storage & communication",25600,29163,33373,42402,47726,61215,74965,86579,100915,123224
8.1,Railways,197,198,270,280,237,285,297,224,255,263
8.2,"Transport by other means",15709,17548,20754,29657,34402,45766,57575,68757,80150,100188
8.3,Storage,174,196,236,282,345,532,642,789,920,1334
8.4,Communication,9520,11221,12113,12183,12742,14632,16451,16809,19590,21439
9,"Trade,hotels and restaurants",111807,119231,134467,147126,165383,185207,249606,266690,310700,388375
10,"Banking & Insurance",16067,19589,22768,25408,28741,35568,48400,57118,62375,79216
11,"Real estate,ownership of dwellings and business services",48672,54359,61246,72300,81574,89822,100135,115201,116279,145349
12,"Public administration",110763,120305,147276,137004,166388,208528,223031,240295,270252,302128
13,"Other services",138396,144394,146282,181606,209725,261099,300394,326410,370343,462929
Total,Services,451305,487041,545412,605846,699537,841439,996531,1092293,1230864,1501221
14,"State domestic product (` Lakh)",890353,982602,1091423,1179707,1357264,1540270,1786773,1997391,2269707,2680959
