Category,Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
"Ag & Allied",Agriculture,411370,420567,491405,507118,595515,734128,858178,1035774,1137840,1298134
"Ag & Allied","Forestry & logging",139751,163641,185764,199950,227127,256115,308405,364853,444586,500894
"Ag & Allied",Fishing,919,1053,1234,1275,1479,2158,2753,3562,3815,4411
"Ag & Allied",Total,552040,585261,678403,708343,824121,992401,1169336,1404189,1586241,1803439
"Mining & quarrying","Mining & quarrying",29894,44591,50747,57538,45058,57784,70851,92711,91852,107281
Manufacturing,Total,315559,483122,648360,983629,1271801,1610496,1935711,2305115,2438447,2713767
Manufacturing,Registered,216415,373649,519867,834166,1110697,1438977,1743204,2091876,2212165,2463898
Manufacturing,Unregistered,99144,109473,128493,149463,161104,171519,192507,213239,226282,249869
Construction,Construction,315686,368159,470989,460222,478218,587487,695064,835653,933811,1141189
"Electricity,gas and Water supply","Electricity,gas and Water supply",38445,41329,75221,155880,175158,217414,301158,314405,389299,437155
Industry,Total,699584,937201,1245317,1657269,1970235,2473181,3002784,3547884,3853409,4399392
"Transport,storage & communication",Total,162784,192291,239102,293876,351386,452672,526791,599623,709739,868159
"Transport,storage & communication",Railways,7005,6333,7475,13470,12251,15592,12927,14724,17031,18077
"Transport,storage & communication","Transport by other means",113466,140308,177767,222579,275728,361785,442310,509056,609591,754988
"Transport,storage & communication",Storage,1714,1859,2272,2535,2922,3599,3892,4680,5459,6403
"Transport,storage & communication",Communication,40599,43791,51588,55292,60485,71696,67662,71163,77658,88691
"Trade,hotels and restaurants","Trade,hotels and restaurants",419564,551390,682256,920771,1195955,1633282,1939239,2375533,2529146,2695769
"Banking & Insurance","Banking & Insurance",93663,105378,124822,146611,179305,204636,268745,300697,335149,374272
"Real estate,ownership of dwellings and business services","Real estate,ownership of dwellings and business services",159893,178583,199883,238414,278405,336533,406772,443403,504803,611579
"Public administration","Public administration",133372,153922,176435,252589,369289,472270,505127,495101,561664,668379
"Other services","Other services",257667,292727,333324,367691,433780,508046,578101,619342,706684,822341
Services,Total,1226943,1474291,1755822,2219952,2808120,3607439,4224775,4833699,5347185,6040499
"State domestic product",Total,2478567,2996753,3679542,4585564,5602476,7073021,8396895,9785772,10786835,12243330
