id,survey_year,state,college_institution,address_line1,address_line2,city,district,pin_code,website,area_in_acre,construct_in_sqmt,year_of_establishment,affiliat_university,other_affiliated_university_id,statutory_body_id,other_statutory_body,year_of_affiliation,location,latitude,longitude,type,autonomous,has_diploma_courses,management,specialized,evening,speciality,other_speciality,girl_exclusive,staff_quarter_available,non_teaching_staff,teaching_staff,total,student_hostel_available,hostel_count
781,2015,Gujarat,"SHRI D.V.RAVAL ARTS & COMM. COLLEGE-HALVAD","DARBAR NAKA,GANDHI CHOWK,HALVAD-363330","TAL.HALVAD,DIST.SURENDRANAGAR",HALVAD,Surendranagar,363330,--,0,600,1986,"Saurashtra University, Rajkot",NA,1,NA,1986,R,37.00002,71.00002,"Affiliated College",FALSE,FALSE,"Private Aided",TRUE,FALSE,Others,"Arts & Commerce",FALSE,FALSE,NA,NA,NA,FALSE,0
575,2015,Gujarat,"Mahamandleshwar Shri Krishnanandji College of Commerce","Old National Highway No-8, College Campus, Station Road,","BHARUCH Taluka-Bharuch","BHARUCH 392001",Bharuch,392001,www.mkccollege.ac.in,40,3098.04,1967,"Veer Narmad South Gujarat University, Surat",NA,1,NA,1967,R,21.21004,72.72001,"Affiliated College",FALSE,FALSE,"Private Aided",TRUE,FALSE,Commerce,NA,FALSE,FALSE,NA,NA,NA,TRUE,2
49682,2015,Karnataka,"D536 SRI K VIRUPAKSHAPPA DEGREE COLLEGE, TURVIHAL, SINDHANOOR","SRI. KVS DEGREE COLLEGE TURVIHAL","ATPOST :- TURVIHAL TQ:- SINDHANUR DIST:- RAICHUR",SINDHANUR,Raichur,584132,NA,2.19,678.63,2013,"Gulbarga University, Gulbarga",NA,1,NA,2013,R,20.25001,68.23001,"Affiliated College",FALSE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
47930,2015,Gujarat,"JASHODABA POLYTECHNIC INSTITUTE , SIDHPUR 952","Nr.Sujanpur Patia,Opp.I.O.C State Highway-41,Sidhpur-384151",NA,SIDHPUR,Patan,384151,www.jashodabapolytechnic.com,5,5993.39,2012,"Gujarat Technological University, Ahmedbabd",NA,"06,01",NA,2012,R,23.9196207,72.36683,"Affiliated College",FALSE,TRUE,"Private Un-Aided",TRUE,FALSE,Technical,NA,FALSE,TRUE,0,2,2,TRUE,2
48412,2015,Maharashtra,"GOVINDLAL KANHAIYALAL JOSHI (NIGHT) COLLEGE, LATUR","Shri marwadi rajasthan school campus","signal camp",latur,Latur,413512,gkjoshinightcommercecollegelatu.org,5,21000,2012,"Swami Ramanand Teerth Marathwada University, Nanded",NA,19,"No Statutory body through which recognized",2012,U,18.395626,76.574456,"Affiliated College",FALSE,FALSE,"Private Un-Aided",TRUE,TRUE,Commerce,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
6787,2015,Gujarat,"MERCHANT COLLEGE OF MANAGEMENT & RESEARCH","STATION ROAD,OPP DOSABHAI BAG",NA,VISNAGAR,Mahesana,384315,WWW.DALIYAGROUP.AC.IN,0.85,3475,2000,"Hemchandracharya North Gujart University, Patan",NA,1,NA,2000,R,NA,NA,"Affiliated College",FALSE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,TRUE,1
47324,2015,Gujarat,"GOVERNMENT ARTS AND COMMERCE COLLEGE, RAPAR","NMENT ARTS & COMMERCE COLLEGE, ITI CAMPUS, RAPAR BHACHAU ROAD","TA-RAPAR 370165",RAPAR,Kachchh,370165,NA,5,3,2011,"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh",NA,1,NA,2011,R,25.573095,70.640773,"Affiliated College",FALSE,FALSE,"State Government",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
47821,2015,Gujarat,"SHREE SWAMINARAYAN ARTS COLLEGE","BOTAD ROAD GADHADA SWAMINA",NA,"GADHADA SWAMINA-364750",Bhavnagar,364750,NA,8094,6663,2012,"Maharaja Krishnakumarsinhji Bhavnagar University",NA,1,NA,2012,U,NA,NA,"Affiliated College",FALSE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,TRUE,FALSE,NA,NA,NA,FALSE,0
49670,2015,Gujarat,"SWAMI SAHAJANANAD COLLEGE OF INFORMATION TECHNOLOGY, MEGA CITY","PLOT NO. 639, ISCON MEGA CITY,","NR. M.K. BHAVNAGAR UNIVERSITY",BHAVNAGAR,Bhavnagar,364002,www.ssccm.ac.in,NA,NA,2013,"Maharaja Krishnakumarsinhji Bhavnagar University",NA,1,NA,2015,U,NA,NA,"Affiliated College",FALSE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
50328,2015,Gujarat,"SHREE B D S ARTS, SCIENCE AND COMMERCE COLLEGE","FATIPAD DARWAJA BAHAR PATAN","TALUKA PATAN DISTRICT PATAN",PATAN,Patan,384265,www.pjmcollege.org,NA,NA,2014,"Hemchandracharya North Gujart University, Patan",NA,1,NA,2014,U,NA,NA,"Affiliated College",FALSE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
