Year/District,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
Gurdaspur,23,25,19,23,30,30,30,27,34,31,26,36,27,35,NA,36,NA,38,35,29,24,24,26,23,32,31,29,32,34,37,39
Pathankot,23,26,20,25,22,22,22,29,38,30,31,41,Na,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,23,25,19,24,29,29,29,34,33,29,28,34,30,33,NA,29,NA,37,32,43,76,76,74,24,22,24,26,27,28,38,41
"Tarn Taran",29,26,19,27,46,46,46,37,51,35,41,39,33,35,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,20,20,16,22,26,26,26,31,27,26,23,35,14,30,NA,10,NA,25,27,28,23,23,30,32,31,28,28,26,21,21,21
Jalandhar,21,21,17,22,23,23,23,34,26,29,26,40,12,37,NA,49,NA,37,34,28,25,25,24,20,21,31,27,24,25,24,24
"SBS Nagar",22,22,18,25,33,33,33,37,42,29,24,44,26,36,NA,15,NA,22,24,24,19,19,19,18,24,18,20,NA,NA,NA,NA
Hoshiarpur,21,22,18,26,27,27,27,26,34,29,25,37,11,38,NA,32,NA,33,25,26,29,29,29,23,29,28,29,26,26,26,35
Rupnagar,17,20,17,19,23,23,23,51,27,27,27,34,20,28,NA,34,NA,25,22,24,17,17,14,15,20,19,20,20,20,23,72
"SAS Nagar",19,21,16,17,18,18,18,49,21,22,28,42,19,39,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,24,27,20,22,23,23,23,28,27,30,25,33,17,31,NA,27,NA,30,28,28,26,26,26,26,26,22,26,27,27,25,23
Ferozepur,22,24,19,23,30,30,30,26,38,31,31,37,27,31,NA,39,NA,36,38,32,31,31,28,30,30,28,26,9,8,21,23
Fazilka,26,27,21,26,35,35,35,44,47,30,28,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,20,19,15,20,20,20,20,26,25,27,20,41,25,29,NA,31,NA,22,21,19,17,17,20,19,NA,19,20,9,10,11,16
"Sri Muktsar Sahib",20,21,16,21,40,40,40,45,29,28,21,39,27,32,NA,22,NA,22,23,23,29,29,28,27,25,14,21,NA,NA,NA,NA
Moga,26,26,20,27,30,30,30,25,34,31,32,31,27,31,NA,22,NA,18,16,16,15,15,17,18,21,17,15,NA,NA,NA,NA
Bathinda,17,18,14,18,19,19,19,28,25,28,24,19,20,14,NA,29,NA,22,19,19,15,15,15,15,15,13,16,18,16,17,17
Mansa,24,26,20,28,41,41,41,23,50,29,34,42,32,45,NA,51,NA,39,34,34,22,22,43,38,34,27,25,22,20,21,19
Sangrur,23,25,19,26,29,29,29,32,37,25,24,37,30,35,NA,36,NA,19,28,23,17,17,20,14,17,16,16,17,20,24,22
Barnala,26,26,18,28,122,122,122,32,34,28,32,44,30,31,NA,28,NA,NA,NA,NA,NA,NA,NA,Na,Na,NA,NA,NA,NA,NA,NA
Patiala,22,25,21,25,24,24,24,21,30,26,26,32,31,38,NA,24,NA,25,26,25,23,23,23,24,25,24,24,23,22,21,19
"Fatehgarh Sahib",18,19,15,21,22,22,22,33,27,22,24,19,26,26,NA,24,NA,20,20,18,9,9,13,13,11,12,14,14,13,21,18
Malerkotla,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Punjab,23,23,18,23,26,26,31,31,32,28,27,34,23,31,NA,28,NA,30,27,27,27,27,28,26,21,24,24,20,21,24,25
