Year/District,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989
Gurdaspur,17,19,15,14,16,18,18,17,18,14,20,25,23,23,NA,27,NA,26,26,25,25,25,27,28,30,30,31,33,33,32,35,34,23,37
Pathankot,16,19,13,12,14,19,19,23,18,14,25,35,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,27,26,23,24,25,30,30,18,25,17,28,26,25,24,NA,39,NA,33,34,32,21,21,24,23,30,31,31,32,31,34,35,33,29,27
"Tarn Taran",33,28,25,28,27,46,46,18,42,17,35,32,34,27,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,22,27,18,17,16,20,20,30,18,14,23,29,14,20,NA,40,NA,26,22,22,22,22,23,22,22,23,26,24,25,25,24,28,19,23
Jalandhar,27,30,22,21,21,21,21,30,22,15,25,41,14,22,NA,51,NA,30,31,29,28,28,28,27,28,30,33,32,35,33,33,40,34,33
"SBS Nagar",25,35,21,20,20,18,18,20,19,13,35,32,29,25,NA,31,NA,33,29,29,27,27,31,30,31,35,37,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,21,28,17,16,17,15,15,24,15,12,21,26,16,21,NA,31,NA,30,31,30,28,28,28,25,25,23,30,29,29,31,26,25,18,26
Rupnagar,21,29,17,17,18,16,16,43,16,16,29,28,22,20,NA,27,NA,24,23,22,22,22,23,24,24,23,23,25,26,25,25,24,18,22
"SAS Nagar",28,29,22,20,21,17,17,30,16,14,31,24,20,18,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,34,32,26,25,23,24,24,23,22,17,30,30,29,23,NA,32,NA,26,27,25,24,24,25,25,25,28,29,28,29,29,30,29,24,27
Ferozepur,26,27,22,22,24,30,30,16,29,19,31,26,27,23,NA,29,NA,28,26,27,27,27,27,27,27,28,32,44,44,25,28,26,16,24
Fazilka,26,27,24,27,30,27,27,19,26,17,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,22,19,18,22,23,20,20,24,21,16,30,29,21,19,NA,28,NA,30,29,30,25,25,23,23,23,22,23,31,30,31,32,28,21,26
"Sri Muktsar Sahib",25,21,19,24,26,20,20,27,22,17,26,28,22,22,NA,35,NA,38,36,40,23,23,24,27,26,34,35,NA,NA,NA,NA,NA,NA,NA
Moga,28,25,22,23,22,31,31,24,28,15,35,31,29,24,NA,23,NA,33,31,30,27,27,32,34,35,41,43,NA,NA,NA,NA,NA,NA,NA
Bathinda,27,23,22,24,28,24,24,19,23,17,35,27,27,24,NA,18,NA,30,28,28,29,29,28,28,27,34,29,27,27,28,27,28,22,25
Mansa,20,18,18,22,27,30,30,22,31,17,35,32,29,26,NA,48,NA,44,36,35,38,38,31,30,34,35,39,35,33,35,30,NA,NA,NA
Sangrur,22,21,18,20,24,21,21,31,21,14,22,31,29,27,NA,29,NA,32,28,25,28,28,28,30,29,31,31,34,33,31,28,30,19,23
Barnala,27,23,21,25,27,26,26,27,31,16,37,33,29,28,NA,44,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,23,23,19,20,23,22,22,17,25,15,18,33,26,25,NA,27,NA,27,25,25,24,24,26,28,27,29,31,32,32,33,30,33,9,30
"Fatehgarh Sahib",19,24,16,16,18,16,16,16,17,14,23,14,22,18,NA,31,NA,29,27,28,35,35,29,30,31,33,37,40,37,50,33,NA,NA,NA
Malerkotla,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Punjab,25,25,20,21,22,22,25,25,29,25,17,38,26,34,37,42,43,43,42,42,NA,44,NA,41,42,40,42,40,39,38,39,39,38,39
