Year/District,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
Gurdaspur,12948,12029,10451,10060,10694,10694,10600,10214,64390,20965,26126,16990,22139,17682,NA,15660,15930,15742,15228,13554,14842,11764,10829,8822,12927,11495,10347,9460,8107,7645,6860
Pathankot,5252,5186,4127,4154,4966,4966,5070,4978,30973,9315,12070,8366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,14389,13775,11564,11163,13113,13113,12961,12474,91462,24592,30235,20987,18194,15169,NA,10703,11787,15438,15280,15372,16473,31376,30417,29332,10866,10766,10628,10109,9863,8882,8427
"Tarn Taran",7455,6771,4990,5042,5486,5486,5406,5049,38285,9974,16175,9075,6763,6139,NA,4586,3593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,4813,4530,3877,3916,3535,3535,3793,3648,36251,11135,10425,10642,6727,6947,NA,3862,4375,4265,4772,4313,4891,3465,3474,3869,3988,3376,3191,2750,2280,1814,1287
Jalandhar,14558,13532,11999,11536,11098,11098,12125,11800,95928,22540,33785,24124,11922,11059,NA,18119,16220,15921,14120,12569,13166,10862,11205,9224,9349,8281,8378,7701,8230,6927,6845
"SBS Nagar",4218,3904,3508,3533,3357,3357,3503,3591,23809,8338,10709,7004,5486,4566,NA,3808,5819,5429,3763,3808,3585,3219,2442,2072,3097,2570,1973,NA,NA,NA,NA
Hoshiarpur,11488,10781,9885,9819,9062,9062,9779,9611,62628,21613,26452,16157,14427,12809,NA,9536,12625,12515,9502,9060,8898,8797,8797,6930,8610,7798,6424,6420,6260,5158,5567
Rupnagar,5250,5075,4776,4793,4515,4515,4554,4320,26187,8209,11242,7576,5696,4878,NA,4704,4619,6858,6380,6376,6244,4455,4330,4115,4271,3868,3722,3441,2705,2289,2147
"SAS Nagar",6412,6302,5526,4964,4706,4706,4890,4579,33846,7978,9821,7461,5977,3800,NA,3153,3128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,20585,18775,15665,15280,13291,13291,14347,14203,166843,38260,38097,29283,25143,22979,NA,24620,19630,19448,18071,17888,18096,15470,15292,14287,13738,10996,12302,11071,10147,8134,7366
Ferozepur,6409,5829,4738,4212,4573,4573,4596,3936,38451,8618,11960,7579,12820,10189,NA,9087,8030,7820,8378,7864,7103,6331,5819,5790,5655,5289,4727,4023,3492,3288,2844
Fazilka,10206,9081,7404,7458,6845,6845,7164,7050,37909,10546,18084,7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,4665,4267,3621,3647,3272,3272,3326,3202,24116,6255,9634,5254,4542,3635,NA,3031,4203,2951,2910,2649,2233,2251,2312,2302,2249,2180,2064,4667,4174,2680,3450
"Sri Muktsar Sahib",7658,7049,5879,5925,5217,5217,5547,5553,37273,9146,17744,7239,5761,5240,NA,3819,4233,4072,4070,3516,3527,3419,2936,2732,2465,1762,1901,NA,NA,NA,NA
Moga,8006,7191,5925,5978,5515,5515,5932,6007,44350,12025,19514,10875,9140,8121,NA,6002,5029,4666,4263,4284,4756,3623,3510,2952,2950,2302,1939,NA,NA,NA,NA
Bathinda,10839,9972,8321,7802,6854,6854,7251,7183,56948,14949,21519,10325,8626,7695,NA,5237,6019,5711,5778,5663,5064,4501,4279,3936,3602,2911,2261,2104,1695,1344,1235
Mansa,7384,6930,5596,5644,4615,4615,4808,4962,29558,7936,13373,6729,4840,3799,NA,3191,3519,3222,2851,3062,2561,2097,1927,1824,1699,1439,1391,1093,1015,904,887
Sangrur,9724,11874,10239,9697,8870,8870,9451,9073,69036,17439,25777,14966,11168,9306,NA,6394,7489,7274,7459,7095,6334,5469,6097,5145,5227,4723,4026,3950,3600,2921,2886
Barnala,4561,4252,3352,3374,2592,2592,2689,2673,25826,6782,8734,4400,3075,2154,NA,1775,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,15529,14886,13332,12844,10990,10990,11706,11563,82029,20961,28400,18217,14658,11426,NA,10236,10587,10601,10191,9744,8916,8723,8186,7895,8497,7597,6839,6155,5376,4543,4176
"Fatehgarh Sahib",4576,4573,4063,4084,3527,3527,3946,3960,23236,6467,9956,6256,4935,3534,NA,4080,4080,3502,3542,3456,3233,3074,2671,2599,2126,2100,1996,1881,1705,1548,1224
Malerkotla,2682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,199607,186564,158838,154925,146693,146693,153444,149629,1139334,304043,409832,257212,202039,171127,NA,151603,150915,145435,136558,130273,129922,128896,124523,113826,101316,89453,84109,74825,68649,58077,55201
