State,District,"Primary Schools","Middle Schools","High/Senior Secondary Schools ","Government Degree Colleges","Private Degree Colleges","Total (in Number)"
"Himachal Pradesh",Bilaspur,587,95,163,5,0,5
"Himachal Pradesh",Chamba,1186,242,237,10,1,11
"Himachal Pradesh",Hamirpur,475,114,161,7,3,10
"Himachal Pradesh",Kangra,1662,307,534,33,11,44
"Himachal Pradesh",Kinnaur,172,31,52,1,0,1
"Himachal Pradesh",Kullu,753,127,152,7,1,8
"Himachal Pradesh",Lahaul-spiti,178,32,38,1,0,1
"Himachal Pradesh",Mandi,1693,306,443,17,5,22
"Himachal Pradesh",Shimla,1572,283,405,20,5,25
"Himachal Pradesh",Sirmaur,1032,186,244,12,5,17
"Himachal Pradesh",Solan,765,139,189,10,7,17
"Himachal Pradesh",Una,499,86,183,10,3,13
"Himachal Pradesh",Total,10574,1948,2801,133,41,174
