ac_year,state_code,state_name,district_code,district_name,block_code,block_name,sch_category_id,category_name,sch_mgmt_id,sch_mgmt_name,loc_name,caste_id,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls,caste_name
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11601,BANDIPORA,6,"SS (I-X)",1,"Department of Education",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11608,GUREZ,6,"SS (I-X)",1,"Department of Education",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11609,HAJIN,6,"SS (I-X)",1,"Department of Education",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11614,QUILMUQAM,6,"SS (I-X)",1,"Department of Education",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11619,SUMBAL,6,"SS (I-X)",1,"Department of Education",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11601,BANDIPORA,6,"SS (I-X)",5,"Private Unaided (Recognized)",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11609,HAJIN,6,"SS (I-X)",5,"Private Unaided (Recognized)",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11614,QUILMUQAM,6,"SS (I-X)",5,"Private Unaided (Recognized)",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11619,SUMBAL,6,"SS (I-X)",5,"Private Unaided (Recognized)",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11601,BANDIPORA,6,"SS (I-X)",5,"Private Unaided (Recognized)",Urban,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11619,SUMBAL,6,"SS (I-X)",5,"Private Unaided (Recognized)",Urban,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11601,BANDIPORA,7,"SS (VI-X)",1,"Department of Education",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11608,GUREZ,7,"SS (VI-X)",1,"Department of Education",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11609,HAJIN,7,"SS (VI-X)",1,"Department of Education",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11614,QUILMUQAM,7,"SS (VI-X)",1,"Department of Education",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11619,SUMBAL,7,"SS (VI-X)",1,"Department of Education",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11601,BANDIPORA,7,"SS (VI-X)",1,"Department of Education",Urban,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11609,HAJIN,7,"SS (VI-X)",1,"Department of Education",Urban,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11614,QUILMUQAM,7,"SS (VI-X)",1,"Department of Education",Urban,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11619,SUMBAL,7,"SS (VI-X)",1,"Department of Education",Urban,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,1,"Jammu & Kashmir",116,BANDIPORA,11601,BANDIPORA,2,"UPS (I-VIII)",1,"Department of Education",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
