ac_year,state_code,state_name,district_code,district_name,block_code,block_name,sch_category_id,category_name,sch_mgmt_id,sch_mgmt_name,loc_name,caste_id,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls,caste_name
2015-16,19,"West Bengal",1905,"DAKSHIN DINAJPUR",190510,"BALURGHAT MUNICIPALITY",3,"HSS (I-XII)",1,"Department of Education",Urban,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,51,55,46,44,159,182,206,141,170,156,114,136,General
2015-16,19,"West Bengal",1905,"DAKSHIN DINAJPUR",190506,BALURGHAT,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",Rural,1,185,122,67,69,62,65,64,57,53,54,39,33,35,40,52,39,51,45,47,32,34,25,32,26,17,22,General
2015-16,19,"West Bengal",1905,"DAKSHIN DINAJPUR",190508,KUSHMONDI,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",Rural,1,14,11,12,18,16,14,0,0,0,0,0,0,0,0,14,14,12,10,0,0,0,0,0,0,0,0,General
2015-16,19,"West Bengal",1905,"DAKSHIN DINAJPUR",190503,GANGARAMPUR,3,"HSS (I-XII)",97,"Madarsa recognized (by Wakf board/Madarsa Board)",Rural,1,0,0,5,20,21,33,29,59,48,44,63,60,34,21,16,24,29,22,53,44,63,69,66,65,36,30,General
2015-16,19,"West Bengal",1905,"DAKSHIN DINAJPUR",190504,KUMARGANJ,3,"HSS (I-XII)",97,"Madarsa recognized (by Wakf board/Madarsa Board)",Rural,1,0,0,0,0,0,0,35,32,25,30,40,22,30,5,0,0,0,0,30,37,30,26,39,37,25,6,General
2015-16,19,"West Bengal",1905,"DAKSHIN DINAJPUR",190508,KUSHMONDI,3,"HSS (I-XII)",97,"Madarsa recognized (by Wakf board/Madarsa Board)",Rural,1,0,0,9,19,21,21,30,28,43,66,43,23,28,12,19,26,13,24,28,62,50,78,63,35,40,5,General
2015-16,19,"West Bengal",1905,"DAKSHIN DINAJPUR",190501,HILI,5,"HSS (VI-XII)",1,"Department of Education",Rural,1,0,0,0,0,0,0,111,158,161,170,204,172,127,130,0,0,0,0,88,141,156,204,174,141,124,170,General
2015-16,19,"West Bengal",1905,"DAKSHIN DINAJPUR",190502,HARIRAMPUR,5,"HSS (VI-XII)",1,"Department of Education",Rural,1,0,0,0,0,0,0,412,397,349,372,481,277,265,221,0,0,0,0,384,363,381,395,545,440,270,229,General
2015-16,19,"West Bengal",1905,"DAKSHIN DINAJPUR",190503,GANGARAMPUR,5,"HSS (VI-XII)",1,"Department of Education",Rural,1,0,0,0,0,0,0,541,596,510,565,532,520,410,294,0,0,0,0,465,494,533,600,662,662,439,364,General
2015-16,19,"West Bengal",1905,"DAKSHIN DINAJPUR",190504,KUMARGANJ,5,"HSS (VI-XII)",1,"Department of Education",Rural,1,0,0,0,0,0,0,364,330,319,325,342,350,242,213,0,0,0,0,317,316,341,353,386,431,279,242,General
