ac_year,state_code,state_name,district_code,district_name,block_code,block_name,sch_category_id,category_name,sch_mgmt_id,sch_mgmt_name,loc_name,caste_id,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls,caste_name
2016-17,12,"Arunachal Pradesh",1210,"DIBANG VALLEY",121001,ANINI-MIPI,2,"UPS (I-VIII)",1,"Department of Education",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,12,"Arunachal Pradesh",1210,"DIBANG VALLEY",121001,ANINI-MIPI,5,"HSS (VI-XII)",1,"Department of Education",Urban,3,0,0,0,0,0,0,0,8,9,13,16,24,22,21,0,0,0,0,0,13,9,7,13,27,25,26,ST
2016-17,12,"Arunachal Pradesh",1210,"DIBANG VALLEY",121001,ANINI-MIPI,1,"PS (I-V)",1,"Department of Education",Rural,3,1,0,6,5,11,11,8,0,0,0,0,0,0,0,16,7,2,7,10,2,0,0,0,0,0,0,ST
2016-17,12,"Arunachal Pradesh",1210,"DIBANG VALLEY",121002,ITALIN-MALINEY,1,"PS (I-V)",1,"Department of Education",Rural,3,0,0,13,5,8,3,6,0,0,0,0,0,0,0,10,1,6,6,4,0,0,0,0,0,0,0,ST
2016-17,12,"Arunachal Pradesh",1210,"DIBANG VALLEY",121003,ANELIH-ARZU,1,"PS (I-V)",1,"Department of Education",Rural,3,7,2,20,7,5,5,3,0,0,0,0,0,0,0,13,11,2,5,1,0,0,0,0,0,0,0,ST
2016-17,12,"Arunachal Pradesh",1210,"DIBANG VALLEY",121001,ANINI-MIPI,1,"PS (I-V)",1,"Department of Education",Urban,3,6,16,8,12,11,5,7,0,0,0,0,0,0,0,8,9,8,6,9,0,0,0,0,0,0,0,ST
2016-17,12,"Arunachal Pradesh",1210,"DIBANG VALLEY",121001,ANINI-MIPI,1,"PS (I-V)",5,"Private Unaided (Recognized)",Urban,3,61,55,16,19,7,3,5,0,0,0,0,0,0,0,14,10,8,1,5,0,0,0,0,0,0,0,ST
2016-17,12,"Arunachal Pradesh",1210,"DIBANG VALLEY",121001,ANINI-MIPI,2,"UPS (I-VIII)",1,"Department of Education",Rural,3,0,0,2,1,1,5,1,4,6,1,0,0,0,0,1,1,4,3,3,4,3,2,0,0,0,0,ST
2016-17,12,"Arunachal Pradesh",1210,"DIBANG VALLEY",121002,ITALIN-MALINEY,2,"UPS (I-VIII)",1,"Department of Education",Rural,3,0,0,1,2,2,4,7,7,14,9,13,0,0,0,3,6,2,19,8,6,10,7,5,0,0,0,ST
2016-17,12,"Arunachal Pradesh",1210,"DIBANG VALLEY",121003,ANELIH-ARZU,2,"UPS (I-VIII)",1,"Department of Education",Rural,3,0,0,5,2,0,3,3,1,7,1,0,0,0,0,6,2,1,3,3,2,4,0,0,0,0,0,ST
