ac_year,state_code,state_name,district_code,district_name,block_code,block_name,sch_category_id,category_name,sch_mgmt_id,sch_mgmt_name,loc_name,caste_id,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls,caste_name
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170201,RONGJENG,1,"PS (I-V)",5,"Private Unaided (Recognized)",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,SC
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170202,SONGSAK,1,"PS (I-V)",5,"Private Unaided (Recognized)",Rural,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,SC
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170203,SAMANDA,1,"PS (I-V)",5,"Private Unaided (Recognized)",Rural,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,SC
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170203,SAMANDA,1,"PS (I-V)",5,"Private Unaided (Recognized)",Urban,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170203,SAMANDA,6,"SS (I-X)",4,"Government Aided",Urban,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170203,SAMANDA,6,"SS (I-X)",5,"Private Unaided (Recognized)",Rural,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170201,RONGJENG,8,"SS (IX-X)",4,"Government Aided",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SC
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170203,SAMANDA,8,"SS (IX-X)",4,"Government Aided",Urban,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,SC
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170201,RONGJENG,7,"SS (VI-X)",4,"Government Aided",Rural,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170202,SONGSAK,2,"UPS (I-VIII)",4,"Government Aided",Rural,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,SC
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170203,SAMANDA,2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170201,RONGJENG,4,"UPS (VI-VIII)",1,"Department of Education",Rural,2,1,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,SC
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170202,SONGSAK,4,"UPS (VI-VIII)",1,"Department of Education",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,SC
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170203,SAMANDA,4,"UPS (VI-VIII)",1,"Department of Education",Rural,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,SC
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170203,SAMANDA,4,"UPS (VI-VIII)",1,"Department of Education",Urban,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170201,RONGJENG,4,"UPS (VI-VIII)",4,"Government Aided",Rural,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,SC
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170203,SAMANDA,4,"UPS (VI-VIII)",4,"Government Aided",Urban,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,SC
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170203,SAMANDA,3,"HSS (I-XII)",4,"Government Aided",Urban,3,97,116,67,76,63,69,62,60,30,12,15,53,54,38,63,74,77,63,71,59,18,12,7,89,61,46,ST
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170201,RONGJENG,5,"HSS (VI-XII)",1,"Department of Education",Rural,3,4,11,8,3,4,1,0,38,35,23,18,11,0,0,3,5,1,6,0,49,34,32,23,13,0,0,ST
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170203,SAMANDA,5,"HSS (VI-XII)",1,"Department of Education",Urban,3,0,0,0,0,0,0,0,88,55,47,62,33,48,47,0,0,0,0,0,73,65,60,65,27,63,43,ST
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170201,RONGJENG,5,"HSS (VI-XII)",4,"Government Aided",Rural,3,0,0,0,0,0,0,0,22,20,15,0,0,0,0,0,0,0,0,0,24,26,16,0,0,0,0,ST
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170203,SAMANDA,5,"HSS (VI-XII)",5,"Private Unaided (Recognized)",Urban,3,0,0,0,0,0,0,0,3,6,8,8,19,3,6,0,0,0,0,0,11,3,6,10,17,4,7,ST
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170203,SAMANDA,5,"HSS (VI-XII)",7,"Central Govt",Urban,3,0,0,0,0,0,0,0,18,33,26,33,20,39,31,0,0,0,0,0,13,24,29,28,16,37,24,ST
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170203,SAMANDA,11,"HSS (XI-XII)",1,"Department of Education",Urban,3,0,0,0,0,0,0,0,0,0,0,0,0,161,145,0,0,0,0,0,0,0,0,0,0,137,102,ST
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170201,RONGJENG,11,"HSS (XI-XII)",5,"Private Unaided (Recognized)",Rural,3,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,12,3,ST
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170202,SONGSAK,11,"HSS (XI-XII)",5,"Private Unaided (Recognized)",Rural,3,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,16,14,ST
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170203,SAMANDA,11,"HSS (XI-XII)",5,"Private Unaided (Recognized)",Rural,3,0,0,0,0,0,0,0,0,0,0,0,0,102,85,0,0,0,0,0,0,0,0,0,0,121,93,ST
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170201,RONGJENG,1,"PS (I-V)",1,"Department of Education",Rural,3,1555,1479,804,654,557,538,419,127,90,84,0,0,0,0,860,633,565,489,448,95,52,64,0,0,0,0,ST
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170202,SONGSAK,1,"PS (I-V)",1,"Department of Education",Rural,3,816,785,767,532,458,320,280,44,56,43,0,0,0,0,773,532,408,343,241,31,21,28,0,0,0,0,ST
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170203,SAMANDA,1,"PS (I-V)",1,"Department of Education",Rural,3,684,588,548,391,378,316,265,54,36,41,0,0,0,0,471,374,296,312,245,42,30,19,0,0,0,0,ST
2016-17,17,Meghalaya,1702,"EAST GARO HILLS",170203,SAMANDA,1,"PS (I-V)",1,"Department of Education",Urban,3,177,151,120,107,132,127,124,13,5,4,0,0,0,0,131,137,142,143,168,7,4,2,0,0,0,0,ST
