ac_year,state_code,state_name,district_code,district_name,block_code,block_name,sch_category_id,category_name,sch_mgmt_id,sch_mgmt_name,loc_name,caste_id,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls,caste_name
2015-16,6,Haryana,609,JIND,60901,JIND,1,"PS (I-V)",8,Unrecognized,Urban,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC
2015-16,6,Haryana,609,JIND,60901,JIND,5,"HSS (VI-XII)",1,"Department of Education",Rural,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ST
2015-16,6,Haryana,609,JIND,60902,JULANA,3,"HSS (I-XII)",4,"Government Aided",Rural,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,5,4,6,8,14,22,23,56,31,General
2015-16,6,Haryana,609,JIND,60901,JIND,3,"HSS (I-XII)",4,"Government Aided",Urban,1,7,8,7,12,11,13,16,25,23,35,104,60,121,161,9,8,13,15,11,25,26,28,36,52,91,151,General
2015-16,6,Haryana,609,JIND,60907,NARWANA,3,"HSS (I-XII)",4,"Government Aided",Urban,1,0,0,38,34,43,38,52,62,79,102,121,161,256,338,51,64,57,80,93,85,125,130,166,147,258,304,General
2015-16,6,Haryana,609,JIND,60901,JIND,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",Rural,1,129,62,141,137,165,179,191,252,255,254,274,329,327,325,98,104,116,97,116,128,121,130,169,199,230,232,General
2015-16,6,Haryana,609,JIND,60902,JULANA,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",Rural,1,60,39,147,158,153,131,154,150,133,147,185,183,111,132,130,106,97,86,104,109,82,74,92,123,104,139,General
2015-16,6,Haryana,609,JIND,60903,SAFIDON,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",Rural,1,0,0,200,179,181,181,174,205,208,187,204,232,208,324,142,118,141,116,109,125,154,160,141,165,161,207,General
2015-16,6,Haryana,609,JIND,60904,PILLUKHERA,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",Rural,1,34,24,95,94,114,119,128,143,141,124,183,273,178,277,76,69,62,79,98,87,78,88,136,150,217,198,General
2015-16,6,Haryana,609,JIND,60905,ALEWA,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",Rural,1,0,0,221,193,190,180,188,220,183,220,324,314,182,202,113,144,143,106,117,114,123,109,157,130,92,105,General
2015-16,6,Haryana,609,JIND,60906,UCHANA,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",Rural,1,94,50,159,118,160,124,149,154,189,171,313,439,277,646,135,120,107,119,121,158,152,191,237,307,302,342,General
2015-16,6,Haryana,609,JIND,60907,NARWANA,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",Rural,1,0,0,174,191,179,168,220,229,243,209,348,366,281,333,170,138,135,135,164,164,204,229,291,315,352,392,General
2015-16,6,Haryana,609,JIND,60901,JIND,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",Urban,1,517,339,354,405,422,473,526,552,568,636,686,657,786,705,256,259,266,320,325,409,395,399,464,374,526,551,General
2015-16,6,Haryana,609,JIND,60902,JULANA,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",Urban,1,92,50,77,85,82,74,98,113,101,102,98,107,143,160,46,47,69,48,59,49,54,60,72,73,65,96,General
2015-16,6,Haryana,609,JIND,60903,SAFIDON,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",Urban,1,83,62,155,144,138,165,188,134,167,132,210,180,184,178,101,111,119,109,98,102,90,108,117,122,117,95,General
2015-16,6,Haryana,609,JIND,60906,UCHANA,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",Urban,1,128,88,141,132,137,181,169,154,159,195,164,184,139,133,100,86,87,81,70,70,51,37,73,81,87,86,General
