Particulars,"India/ State/ UTs",Gender,2006,2007,2008,2009,2010
"Lower Secondary School",India,Total,53.27,58.15,60.4,62.9,65
"Lower Secondary School",India,Boy,58.57,62.62,64.8,66.7,69
"Lower Secondary School",India,Girl,47.44,53.23,55.5,58.7,60.8
"Lower Secondary School","Andaman and Nicobar Islands",Total,89.71,87.83,74.8,75.6,82.2
"Lower Secondary School","Andaman and Nicobar Islands",Boy,89.95,86.03,75.3,76.3,84.7
"Lower Secondary School","Andaman and Nicobar Islands",Girl,89.45,89.9,74.3,75,79.7
"Lower Secondary School","Andhra Pradesh",Total,58.7,61.21,65.2,67.2,67.2
"Lower Secondary School","Andhra Pradesh",Boy,60.33,62.34,65.7,67.5,67.1
"Lower Secondary School","Andhra Pradesh",Girl,56.97,60.03,64.6,66.9,67.3
"Lower Secondary School","Arunachal Pradesh",Total,62.02,63.11,54.8,55.8,70.6
"Lower Secondary School","Arunachal Pradesh",Boy,65.83,65.4,57.4,58.6,73.3
"Lower Secondary School","Arunachal Pradesh",Girl,57.87,60.64,52,52.9,67.9
"Lower Secondary School",Assam,Total,48.61,44.14,45.3,49.4,49.5
"Lower Secondary School",Assam,Boy,52.84,46.29,48.2,51.9,52
"Lower Secondary School",Assam,Girl,44.13,41.86,42.2,46.8,46.9
"Lower Secondary School",Bihar,Total,24.42,28.08,31.6,35.2,41.8
"Lower Secondary School",Bihar,Boy,30.6,34.24,37,39.9,46.3
"Lower Secondary School",Bihar,Girl,17.44,21.21,25.7,30,37
"Lower Secondary School",Chandigarh,Total,66.8,69.71,59.7,63.3,63.5
"Lower Secondary School",Chandigarh,Boy,64.32,69.63,59.1,62.7,69.3
"Lower Secondary School",Chandigarh,Girl,69.93,69.81,60.4,64,57.7
"Lower Secondary School",Chhattisgarh,Total,44.29,45.71,69.4,51.5,61.3
"Lower Secondary School",Chhattisgarh,Boy,49.38,50.94,74.4,55.5,63.6
"Lower Secondary School",Chhattisgarh,Girl,39,40.29,64.1,47.3,58.9
"Lower Secondary School","Dadra and Nagar Haveli",Total,52.81,61.05,46.6,59.7,71.2
"Lower Secondary School","Dadra and Nagar Haveli",Boy,61.1,73,50.1,62.6,72.1
"Lower Secondary School","Dadra and Nagar Haveli",Girl,43.67,49.1,42,56,69.9
"Lower Secondary School","Daman and Diu",Total,86.25,95.32,61.1,61.9,62.9
"Lower Secondary School","Daman and Diu",Boy,85.11,79.13,57.8,57.9,60.7
"Lower Secondary School","Daman and Diu",Girl,87.51,119.6,65,66.7,65.7
