"Name of Institution","Name of Faculty","Name of Department",Level,Programme,"Name of Discipline",Intake,"Examination System"
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",Engineering,"Harbour Engineering and Ocean Technology","Under Graduate","B.E.-Bachelor of Engineering","BE-Harbour Engineering",17,Semester
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",Engineering,"Marine Electrical and Electronics Engineering","Under Graduate","B.E.-Bachelor of Engineering","BE-Marine Electrical and Electronics Engineering",44,Semester
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",Engineering,"Marine Engineering","Post Graduate","M.Tech. -Master of Technology","M.Tech Marine Engineering",1,Semester
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",Engineering,"Marine Engineering","Under Graduate","B.E.-Bachelor of Engineering","BE-Marine Engineering",193,Semester
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",Engineering,"Naval Architecture and Offshore Engineering","Under Graduate","B.E.-Bachelor of Engineering","BE-Naval Architecture",148,Semester
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",Engineering,"Petroleum and Offshore Engineering","Under Graduate","B.E.-Bachelor of Engineering","BE-Petroleum and offshore engineering",60,Semester
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",Management,"Management Studies","Post Graduate","M.B.A.- Master of Business Administration","MBA Shipping",92,Semester
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",Management,"Management Studies","Under Graduate","B.B.M.-Bachelor of Business Management",BBM-Shipping,70,Semester
"Academy of Maritime Education and Training, Chennai (Id: U-0434)","Research - Areas",Chemistry,Ph.D.,"Ph.D.-Doctor of Philosophy","Ph.D - Chemistry",8,"Not Applicable"
"Academy of Maritime Education and Training, Chennai (Id: U-0434)","Research - Areas",English,Ph.D.,"Ph.D.-Doctor of Philosophy","Ph.D - English",8,"Not Applicable"
"Academy of Maritime Education and Training, Chennai (Id: U-0434)","Research - Areas","Harbour Engineering",Ph.D.,"Ph.D.-Doctor of Philosophy","Ph.D - Harbour Engineering",8,"Not Applicable"
"Academy of Maritime Education and Training, Chennai (Id: U-0434)","Research - Areas","Information Technology",Ph.D.,"Ph.D.-Doctor of Philosophy","Ph.D - Information Technology",8,"Not Applicable"
"Academy of Maritime Education and Training, Chennai (Id: U-0434)","Research - Areas","Marine Biotechnology",Ph.D.,"Ph.D.-Doctor of Philosophy","Ph.D - Marine Biotechnology",8,"Not Applicable"
"Academy of Maritime Education and Training, Chennai (Id: U-0434)","Research - Areas","Marine Engineering",Ph.D.,"Ph.D.-Doctor of Philosophy","Ph.D - Management Studies",8,"Not Applicable"
"Academy of Maritime Education and Training, Chennai (Id: U-0434)","Research - Areas","Marine Engineering",Ph.D.,"Ph.D.-Doctor of Philosophy","Ph.D - Marine Engineering",8,"Not Applicable"
"Academy of Maritime Education and Training, Chennai (Id: U-0434)","Research - Areas","Naval Architecture",Ph.D.,"Ph.D.-Doctor of Philosophy","Ph.D - Naval Architecture",8,"Not Applicable"
"Academy of Maritime Education and Training, Chennai (Id: U-0434)","Research - Areas","Physical Education",Ph.D.,"Ph.D.-Doctor of Philosophy","Ph.D - Physical Education",8,"Not Applicable"
"Academy of Maritime Education and Training, Chennai (Id: U-0434)","Research - Areas",Physics,Ph.D.,"Ph.D.-Doctor of Philosophy","Ph.D - Physics",8,"Not Applicable"
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",Science,"Marine Biotechnology",M.Phil.,"M.Phil.-Master of Philosophy","M.Phil Marine Biotechnology",4,Semester
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",Science,"Marine Biotechnology",M.Phil.,"M.Phil.-Master of Philosophy","M.Phil Marine MicroBiology",4,Semester
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",Science,"Marine Biotechnology","Post Graduate","M.Sc.-Master of Science","M.Sc. Marine Biotechnology",7,Semester
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",Science,"Nautical Science","Under Graduate","B.Sc.-Bachelor of Science",B.Sc-NauticalScience,138,Semester
"ACADEMY OF SCIENTIFIC and INNOVATIVE RESEARCH (Id: U-0713)","Biological Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Biology,540,"Not Applicable"
"ACADEMY OF SCIENTIFIC and INNOVATIVE RESEARCH (Id: U-0713)","Chemical Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Chemical,669,"Not Applicable"
"ACADEMY OF SCIENTIFIC and INNOVATIVE RESEARCH (Id: U-0713)","Engineering Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Engineering,139,"Not Applicable"
"ACADEMY OF SCIENTIFIC and INNOVATIVE RESEARCH (Id: U-0713)","Engineering Science",NA,"Post Graduate","M.Tech. -Master of Technology",Engineering,342,"Not Applicable"
"ACADEMY OF SCIENTIFIC and INNOVATIVE RESEARCH (Id: U-0713)","Mathematical and Information Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Mathematical and Information Science",14,"Not Applicable"
"ACADEMY OF SCIENTIFIC and INNOVATIVE RESEARCH (Id: U-0713)","Physical Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Physical,134,"Not Applicable"
