S.No,District,"Stock of Books"
1,Ariyalur,968565
2,Chennai,4425814
3,Coimbatore,5297696
4,Cuddalore,2547300
5,Dharmapuri,1632005
6,Dindigul,1808267
7,Erode,2271646
8,Kancheepuram,2710815
9,Kanniyakumari,1473797
10,Karur,1530592
11,Krishnagiri,1476179
12,Madurai,3416383
13,Nagapattinam,1942856
14,Namakkal,2044621
15,Perambalur,969913
16,Pudukkottai,1607059
17,Ramanathapuram,1876780
18,Salem,2339789
19,Sivaganga,2045659
20,Thanjavur,2460145
21,"The Nilgiris",2005739
22,Theni,2194082
23,Tiruchirappalli,2502458
24,Tirunelveli,5344065
25,Tiruppur,2301362
26,Tiruvallur,3298132
27,Tiruvannamalai,2067983
28,Tiruvarur,1431334
29,Thoothukudi,2194088
30,Vellore,2745514
31,Villupuram,2060150
32,Virudhunagar,2451608
33,"Anna Centenary Library",604140
34,"Connemara Public Library",882054
Total,"District Total",76928590
