" Year/State/  Union Territory","Universities/ Deemed to be Universities Institutions of National Importance","Research Institutions","College for General Education","Professional Education Engg. Tech., Arch, Medical & Education College","Other  Colleges (Law, Mana- Management,  Agriculture etc.)",Polytechnics,"Board of Sr. Secondary/ Secondary Education","   Schools for general education Pre-  Primary","   Schools for general education Primary/ Jr.Basic Schools","   Schools for general education Middle/ Sr.Basic Schools","   Schools for general education   High/   Higher Secondary","Total for Schools for General Education","Technical/ Industrial/ Arts & Craft","Teacher Training Schools"," Grand total for all the School level"
2001-02,272,79,8737,2409,1926,1160,39,60840,664041,219626,133492,1077999,4302,1175,1083476
2002-03,304,81,9166,2610,1982,1173,39,64712,651382,245274,137207,1098575,4647,1202,1104424
2003-04,304,85,9427,2751,1991,1105,39,63167,712239,262286,145962,1183654,4877,1303,1189834
2004-05,343,136,10377,3201,2431,1171,41,63596,767520,274731,152049,1257896,5114,1465,1264475
2005-06,350,140,11698,5284,2513,1274,41,67157,772568,288493,106024,1234242,5465,2021,1241728
2006-07,368,140,11458,7024,2769,1296,39,60886,784852,305584,169568,1320890,5114,2572,1328576
2007-08,409,NA,14146,7980,3864,1742,47,66165,787827,325174,172990,1352156,NA,NA,1352156
2008-09,436,NA,14321,8325,3292,1914,42,66878,789444,336638,183648,1376650,NA,25696,1376650
2009-10,NA,NA,NA,NA,NA,NA,48,67822,823162,367745,190643,1449420,NA,26892,1476312
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
