Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Location,School_Type_Id,School_Type,Total_Number_of_Schools,Building,Complete_Medical_Checkup,Computer_Available,Functional_Drinking_Water,Drinking_Water,Functional_Electricity,Functional_Boy_Toilet,Functional_Girl_Toilet,Functional_Toilet_Facility,Functional_Toilet_and_Urinal,Functional_Urinal,Functional_Urinal_Boy,Functional_Urinal_Girl,Handwash,Separate_Room_for_Headmaster,Incinerator,Internet,Kitchen_Garden,Land_Available,Librarian,Library_or_Reading_Corner_or_Book_Bank,Medical_Checkup,Newspaper,Playground,Rain_Water_Harvesting,Ramps,Solar_Panel,Furniture,Water_Purifier,Water_Tested
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",Rural,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,3,"HSS (I-XII)",7,"Central Govt",Rural,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,10,"HSS (IX-XII)",8,Unrecognized,Rural,3,Co-Ed,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,5,"HSS (VI-XII)",1,"Department of Education",Rural,2,Girls,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,5,"HSS (VI-XII)",1,"Department of Education",Rural,3,Co-Ed,3,3,0,3,2,3,3,2,1,2,0,0,0,0,0,1,0,1,2,3,1,3,3,1,3,0,2,0,1,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,11,"HSS (XI-XII)",1,"Department of Education",Rural,3,Co-Ed,2,2,0,1,2,2,2,0,0,0,0,0,0,0,2,2,0,1,0,2,2,2,0,2,2,0,0,0,1,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,11,"HSS (XI-XII)",4,"Government Aided",Rural,3,Co-Ed,3,3,0,2,3,3,3,1,1,1,0,0,0,0,0,2,0,0,0,3,2,3,0,3,3,0,0,0,3,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,1,"PS (I-V)",1,"Department of Education",Rural,3,Co-Ed,221,221,0,0,163,186,32,215,221,221,0,0,0,0,169,22,0,0,195,205,1,204,189,2,158,0,177,0,64,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,1,"PS (I-V)",3,"Local body",Rural,3,Co-Ed,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,1,"PS (I-V)",5,"Private Unaided (Recognized)",Rural,3,Co-Ed,7,7,0,1,5,5,3,3,3,3,0,0,0,0,1,2,0,0,0,6,0,3,2,3,5,0,0,0,3,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,1,"PS (I-V)",6,"Other Govt. managed schools",Rural,3,Co-Ed,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,1,"PS (I-V)",8,Unrecognized,Rural,3,Co-Ed,27,24,0,0,7,15,2,5,4,6,0,0,0,0,1,2,0,0,6,27,0,8,13,0,18,0,1,0,10,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,1,"PS (I-V)",1,"Department of Education",Urban,3,Co-Ed,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,6,"SS (I-X)",5,"Private Unaided (Recognized)",Rural,3,Co-Ed,16,15,0,12,14,14,15,12,13,13,0,0,0,0,8,14,0,4,0,14,1,12,7,11,11,1,1,0,13,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,8,"SS (IX-X)",1,"Department of Education",Rural,2,Girls,3,3,0,3,1,1,3,0,3,3,0,0,0,0,1,2,0,1,0,3,0,2,2,1,3,0,0,0,1,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,8,"SS (IX-X)",8,Unrecognized,Rural,2,Girls,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,8,"SS (IX-X)",1,"Department of Education",Rural,3,Co-Ed,17,17,0,14,10,13,17,8,10,12,0,0,0,0,7,6,0,1,0,17,0,14,13,9,16,1,5,0,3,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,8,"SS (IX-X)",4,"Government Aided",Rural,3,Co-Ed,2,2,0,1,1,1,2,2,2,2,0,0,0,0,2,1,0,0,0,2,0,2,1,0,2,0,0,0,0,0,0
2016-17,18,Assam,1827,KAMRUP-METRO,182704,DIMORIA,8,"SS (IX-X)",8,Unrecognized,Rural,3,Co-Ed,6,5,0,1,4,5,2,2,3,3,0,0,0,0,1,1,0,0,0,6,0,1,3,2,5,0,0,0,3,0,0
