Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Location,School_Type_Id,School_Type,Total_Number_of_Schools,Building,Complete_Medical_Checkup,Computer_Available,Functional_Drinking_Water,Drinking_Water,Functional_Electricity,Functional_Boy_Toilet,Functional_Girl_Toilet,Functional_Toilet_Facility,Functional_Toilet_and_Urinal,Functional_Urinal,Functional_Urinal_Boy,Functional_Urinal_Girl,Handwash,Separate_Room_for_Headmaster,Incinerator,Internet,Kitchen_Garden,Land_Available,Librarian,Library_or_Reading_Corner_or_Book_Bank,Medical_Checkup,Newspaper,Playground,Rain_Water_Harvesting,Ramps,Solar_Panel,Furniture,Water_Purifier,Water_Tested
2012-13,23,"Madhya Pradesh",2333,SEHORE,233301,ASHTA,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",Rural,3,Co-Ed,17,17,0,10,16,17,15,15,15,15,0,0,0,0,17,15,0,5,0,11,6,16,15,16,16,3,11,0,16,0,0
2012-13,23,"Madhya Pradesh",2333,SEHORE,233301,ASHTA,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",Urban,3,Co-Ed,19,19,0,14,15,19,19,16,16,16,0,0,0,0,18,15,0,12,0,10,13,16,13,16,19,4,10,0,18,0,0
2012-13,23,"Madhya Pradesh",2333,SEHORE,233301,ASHTA,10,"HSS (IX-XII)",1,"Department of Education",Urban,2,Girls,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
2012-13,23,"Madhya Pradesh",2333,SEHORE,233301,ASHTA,10,"HSS (IX-XII)",1,"Department of Education",Rural,3,Co-Ed,9,9,0,0,0,9,8,0,0,0,0,0,0,0,7,0,0,2,0,0,2,0,8,0,9,0,2,0,9,0,0
2012-13,23,"Madhya Pradesh",2333,SEHORE,233301,ASHTA,10,"HSS (IX-XII)",1,"Department of Education",Urban,3,Co-Ed,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0
2012-13,23,"Madhya Pradesh",2333,SEHORE,233301,ASHTA,1,"PS (I-V)",1,"Department of Education",Rural,1,Boys,14,14,0,1,9,13,4,14,0,14,0,0,0,0,8,2,0,1,13,12,0,10,12,6,11,1,12,0,13,0,0
2012-13,23,"Madhya Pradesh",2333,SEHORE,233301,ASHTA,1,"PS (I-V)",1,"Department of Education",Urban,1,Boys,4,4,0,1,4,4,3,4,0,4,0,0,0,0,3,1,0,0,2,3,0,4,2,2,2,0,3,0,4,0,0
2012-13,23,"Madhya Pradesh",2333,SEHORE,233301,ASHTA,1,"PS (I-V)",1,"Department of Education",Rural,2,Girls,15,15,0,1,13,13,2,0,15,15,0,0,0,0,14,7,0,0,14,7,0,14,13,7,6,1,12,0,14,0,0
2012-13,23,"Madhya Pradesh",2333,SEHORE,233301,ASHTA,1,"PS (I-V)",1,"Department of Education",Urban,2,Girls,4,4,0,0,4,4,2,0,4,4,0,0,0,0,1,2,0,0,3,4,0,4,3,1,1,1,4,0,3,0,0
2012-13,23,"Madhya Pradesh",2333,SEHORE,233301,ASHTA,1,"PS (I-V)",2,"Tribal Welfare Department",Urban,2,Girls,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0
