State,District,"Primary Schools    (Male)","Primary Schools (Female)","Total (in Number )","Middle Schools (Male)"," Middle Schools (Female)","Total (in Number)","High/Senior Secondary Schools  (Male)","High/Senior Secondary Schools  (Female)","Total (in Number)"
"Himachal Pradesh",Bilaspur,598,565,1163,239,85,2514,1657,857,2514
"Himachal Pradesh",Chamba,1803,703,2506,659,199,2822,1890,932,2822
"Himachal Pradesh",Hamirpur,440,536,976,269,115,2601,1603,998,2601
"Himachal Pradesh",Kangra,1676,1606,3282,587,307,7629,4457,3172,7629
"Himachal Pradesh",Kinnaur,224,176,400,65,50,620,353,267,620
"Himachal Pradesh",Kullu,1064,535,1599,293,118,2067,1302,765,2067
"Himachal Pradesh",Lahaul-spiti,226,149,375,67,35,463,278,185,463
"Himachal Pradesh",Mandi,1968,1435,3403,742,280,6290,4079,2211,6290
"Himachal Pradesh",Shimla,1918,1385,3303,670,248,5246,3270,1976,5246
"Himachal Pradesh",Sirmaur,1428,777,2205,409,172,2933,1699,1234,2933
"Himachal Pradesh",Solan,884,828,1712,334,159,2781,1412,1369,2781
"Himachal Pradesh",Una,479,689,1168,183,100,2806,1533,1273,2806
"Himachal Pradesh",Total,12708,9384,22092,4517,1868,38772**,23533,15239,38772**
