State/UTs,"All Schools 2010-11","All Schools 2011-12","All Schools 2012-13","Primary Schools 2011-12","Primary Schools 2012-13","Upper Primary Schools/ Sections 2011-12","Upper Primary Schools/ Sections 2012-13","All Schools 2012-13 (Functional Computers)"
"A & N Islands",60.84,59.35,52.77,38.65,31.07,88.7,88.3,81.09
"Andhra Pradesh",25.58,27.05,28.59,12.26,12.38,54.96,57.59,67.09
"Arunachal Pradesh",15.58,18.58,19.67,3.06,3.13,54.8,54.78,68.78
Assam,5.12,6.5,7.22,0.85,1,23.28,25.38,70.42
Bihar,1.21,1.52,1.72,0.59,0.5,2.81,3.32,48.13
Chandigarh,93.48,94.65000000000001,96.28,57.14,64.29000000000001,97.69,98.84999999999999,94.48
Chhattisgarh,6.04,7.22,8.220000000000001,2.9,2.84,16.09,19.01,63.87
"Dadra & Nagar Haveli",11.78,27.72,32.7,3.47,7.18,76.23999999999999,67.16,73.79000000000001
"Daman & Diu",55.45,54.87,52.5,18.03,19.64,98.08,88.14,NA
Delhi,83.17,93.42,77.88,91.22,77.26000000000001,95.7,78.51000000000001,90.20999999999999
Goa,31.92,36.78,36.59,11.53,10.57,90.29000000000001,93.31999999999999,79.81
Gujarat,45.37,60.01,71.52,18.53,23.01,75.45,89.2,72.97
Haryana,32.92,36.85,41.58,6.89,7.5,65.09999999999999,71.7,74.75
"Himachal Pradesh",16.55,18.74,21.7,4.31,3.79,44.97,53.84,70.93000000000001
"Jammu & Kashmir",14.69,14.49,15.03,3.17,3.34,26.9,27.63,71.83
Jharkhand,7.15,8.06,8.289999999999999,3.4,3.27,15.16,15.87,72.05
Karnataka,24.37,33.16,28.35,8.859999999999999,9.279999999999999,47.53,43.23,81.11
Kerala,93.01000000000001,87.72,90.29000000000001,84.16,85.26000000000001,94.31,95.76000000000001,80.15000000000001
Lakshadweep,95.65000000000001,97.83,97.73,95,94.44,100,100,90.7
"Madhya Pradesh",10.12,10.96,12.35,3.09,3.17,25.76,28.66,65.33
Maharashtra,40.8,44.51,47.43,17.07,24.93,81.7,72.45,73.34999999999999
Manipur,18.18,20.85,22.15,1.35,1.7,52.45,51.93,66.34
Meghalaya,7.1,7.46,7.59,2.89,2.82,18.65,19.36,64.79000000000001
Mizoram,23.04,28.48,27.56,12,11.04,47.14,45.27,78.48999999999999
Nagaland,33.12,29.41,31.05,5.7,4.53,60.45,62.95,79
Odisha,8.470000000000001,8.949999999999999,9.24,3.74,3.97,15.56,15.72,39.71
Puducherry,90.69,94.63,97.73999999999999,96.53,98.58,93.31999999999999,97.19,95.38
Punjab,47.12,47.99,50.31,12.04,10.88,86.98,92.01000000000001,90.90000000000001
Rajasthan,21.73,18.03,22.51,3.47,3.88,30.18,38.08,59.58
Sikkim,40.97,45.91,50.27,21.62,26.95,79.54000000000001,82.5,76.05
"Tamil Nadu",47.43,49.6,53.13,27.22,34.89,86.31,83.19,83.45999999999999
Tripura,11.65,11.59,12.71,1.38,3.35,22.42,23.44,73.8
"Uttar Pradesh",5.45,7.49,10.19,4.37,5.36,13.45,18.95,42.42
Uttarakhand,25.14,29.53,31.07,12.87,12.99,65.73999999999999,68.95999999999999,83.34999999999999
"West Bengal",8.720000000000001,8.84,9.66,2.71,3.36,36.83,37.53,71.76000000000001
"All States",18.7,20.53,22.09,7.59,8.69,40.14,41.96,70.78
