States/UTs,"CAL Facility : Upper Primary Schools - Sections 2011-12","CAL Facility : Upper Primary Schools - Sections 2012-13","Library - Primary Schools 2012-13","Library - All Schools 2012-13"
"A & N Islands",36.72,36.84,66.79,76.72
"Andhra Pradesh",23.69,23.61,91.11,89.96
"Arunachal Pradesh",19.19,18.61,2.73,9.36
Assam,13.63,14.71,26.97,30.29
Bihar,2.65,3.19,45.56,54.56
Chandigarh,82.66,82.76,92.86,96.81
Chhattisgarh,12.08,12.65,77.14,76.86
"Dadra & Nagar Haveli",40.59,35.07,86.74,91.11
"Daman & Diu",80.77,69.49,82.14,83.33
Delhi,62.41,57.77,89.69,90.59
Goa,71.28,72.41,92.19,92.68
Gujarat,47.46,47.6,82.28,85.41
Haryana,38.21,39.36,80.93,82.46
"Himachal Pradesh",23.72,23.76,84.36,85.73
"Jammu & Kashmir",10.55,10.46,12.01,31.35
Jharkhand,10.99,11.33,75.23,77.9
Karnataka,27.31,23.3,94.08,96.07
Kerala,67.18,65.02,80.86,82
Lakshadweep,76.92,73.08,72.22,84.09
"Madhya Pradesh",13.99,13.22,58.08,60
Maharashtra,13.51,12.84,77.89,83.25
Manipur,22.91,19.53,4.17,21.59
Meghalaya,7.7,8.35,2.85,4.98
Mizoram,15.01,14.45,34.8,36.8
Nagaland,31.05,52.98,3.27,13.99
Odisha,7.33,7.3,71.58,76.61
Puducherry,67.54,67.92,93.26,94.5
Punjab,57.75,58.85,88.73,86.13
Rajasthan,11.34,10.94,38.77,57.09
Sikkim,25.1,25.14,12.53,26.74
"Tamil Nadu",29.42,27.4,94.96,95.42
Tripura,3.61,4.12,5.33,11.55
"Uttar Pradesh",7.17,14.47,74.88,73.86
Uttarakhand,36.92,37.32,83.06,80.17
"West Bengal",14.19,13.77,37.63,39.85
"All States",18.68,19.1,64.47,68.95
