"India/State /UT","Dropout Rate - Primary (1 to 5) - Boys","Dropout Rate - Primary (1 to 5) - Girls","Dropout Rate - Primary (1 to 5) - Total","Dropout Rate - Upper Primary (6-8) - Boys","Dropout Rate - Upper Primary (6-8) - Girls","Dropout Rate - Upper Primary (6-8) - Total","Dropout Rate - Secondary (9-10) - Boys","Dropout Rate - Secondary (9-10) - Girls","Dropout Rate - Secondary (9-10) - Total"
India,1.6,1.4,1.5,2.7,3.3,3,13,12.3,12.6
"Andaman and Nicobar Islands",0.2,0.7,0.4,0.9,1,1,6,3.9,5
"Andhra Pradesh",0,0,0,1.7,1.5,1.6,17.5,15,16.3
"Arunachal Pradesh",9.3,9.2,9.3,4.8,8.4,6.7,11.2,12.3,11.7
Assam,6.8,5.2,6,10.1,7.6,8.8,19.8,20.7,20.3
Bihar,0,0,0,4,5.2,4.6,19.5,21.4,20.5
Chandigarh,0,0,0,0,0,0,0,0,0
Chhattisgarh,1,0.6,0.8,4.8,3.3,4.1,11.5,8.1,9.7
"Dadra and Nagar Haveli and Daman and Diu",0,0,0,0,0,0,10.5,8.4,9.5
Delhi,0,0,0,0,0,0,5.9,3.7,4.8
Goa,0,0,0,0,0,0,12.1,5.5,9
Gujarat,0,0,0,4.2,5.8,5,19.4,15.9,17.9
Haryana,0,0,0,0.3,0.2,0.2,6.7,4.9,5.9
"Himachal Pradesh",0,0,0,0.6,0.5,0.6,2,0.9,1.5
"Jammu and Kashmir",3.9,4.1,4,2.8,3.2,3,5.6,6.3,6
Jharkhand,2.4,1.1,1.8,3.7,4,3.9,9.7,8.9,9.3
Karnataka,0,0,0,1.1,1.1,1.1,16.2,13,14.7
Kerala,0,0,0,0,0,0,6.9,4.1,5.5
Ladakh,7.5,5.5,6.5,2.2,0,1.1,4,5.7,4.9
Lakshadweep,0.5,0.4,0.5,3.2,1.9,2.6,0.4,0,0
"Madhya Pradesh",3.2,2.9,3.1,8.6,9,8.8,10.6,9.7,10.1
Maharashtra,0,0,0,1.5,1.6,1.5,10.8,10.6,10.7
Manipur,13.5,13,13.3,6,5.2,5.6,1.4,1.2,1.3
Meghalaya,11.1,8.6,9.8,12,9.4,10.6,23.3,20.4,21.7
Mizoram,7.1,5.6,6.4,3.8,1.6,2.7,13.1,10.8,11.9
Nagaland,5.6,4.5,5,4.6,3.4,4,18.9,16.2,17.5
Odisha,0,0,0,8,6.5,7.3,29.2,25.2,27.3
Puducherry,3.7,3.6,3.7,2.8,2.1,2.4,8.4,4.1,6.3
Punjab,1.6,1,1.3,8.7,7.1,8,18.3,16,17.2
Rajasthan,3.8,3.3,3.6,4.4,4.2,4.3,7.8,7.5,7.7
Sikkim,2.9,0.5,1.8,0,0,0,14.6,9.5,11.9
"Tamil Nadu",0,0,0,0,0,0,6.3,2.5,4.5
Telangana,0,0,0,3.4,2.9,3.1,14.5,12.9,13.7
Tripura,1.2,1,1.1,4.8,4.3,4.5,8.5,8.2,8.3
"Uttar Pradesh",2.4,3,2.7,1.3,4.7,2.9,9.5,10,9.7
Uttarakhand,1,0.5,0.8,3,2.4,2.7,5.4,4.6,5
"West Bengal",9.1,8.2,8.6,0,0,0,18.4,17.7,18
