"India/ State /UT","Enrolment - Government Schools - Total (Pre-primary to 12)","Enrolment - Government Schools - Pre- Primary","Enrolment - Government Schools - Primary (1 to 5)","Enrolment - Government Schools - Upper Primary (6-8)","Enrolment - Government Schools - Elementary (1-8)","Enrolment - Government Schools - Secondary (9-10)","Enrolment - Government Schools - Higher Secondary (11-12)"
India,143240480,2741762,73100775,37956891,111057666,17771002,11670050
"Andaman and Nicobar Islands",51168,3873,15673,12755,28428,9277,9590
"Andhra Pradesh",4696207,4588,2213248,1380126,3593374,835982,262263
"Arunachal Pradesh",233908,8345,100672,59742,160414,35501,29648
Assam,5277671,229196,2735536,1313908,4049444,677667,321364
Bihar,21989445,0,11619527,6049114,17668641,3001604,1319200
Chandigarh,165156,7960,57418,42186,99604,29054,28538
Chhattisgarh,4262053,3217,1899255,1123675,3022930,654457,581449
"Dadra and Nagar Haveli and Daman and Diu",91026,1919,41492,24883,66375,12486,10246
Delhi,2796676,123775,984121,761605,1745726,489166,438009
Goa,42932,970,23933,7946,31879,5164,4919
Gujarat,5570875,5476,3378980,1916527,5295507,189807,80085
Haryana,2602484,5994,1158500,639237,1797737,426690,372063
"Himachal Pradesh",900749,42660,312276,219891,532167,144961,180961
"Jammu and Kashmir",1473368,146162,561361,310264,871625,209539,246042
Jharkhand,5242868,39316,2636425,1496650,4133075,665748,404729
Karnataka,5445989,22415,2670886,1596375,4267261,785939,370374
Kerala,1862020,162285,635814,397649,1033463,299108,367164
Ladakh,29312,4690,9227,5405,14632,4442,5548
Lakshadweep,13586,1582,5395,2813,8208,1873,1923
"Madhya Pradesh",9429734,27589,4297754,2556002,6853756,1483412,1064977
Maharashtra,5853094,84323,4146871,1284649,5431520,255507,81744
Manipur,216636,12490,117141,38499,155640,22182,26324
Meghalaya,477232,93770,255386,108029,363415,11218,8829
Mizoram,143345,10584,70136,35705,105841,17005,9915
Nagaland,170219,37249,68157,35402,103559,19461,9950
Odisha,5255198,2278,2755665,1648036,4403701,750911,98308
Puducherry,97368,9739,34055,22519,56574,15384,15671
Punjab,3090436,385031,1103915,711062,1814977,448594,441834
Rajasthan,9912280,4437,4548975,2530415,7079390,1474241,1354212
Sikkim,84411,6293,22054,21149,43203,19159,15756
"Tamil Nadu",5314845,93808,2080699,1414110,3494809,925673,800555
Telangana,3303699,6175,1452199,931282,2383481,590203,323840
Tripura,542892,5527,235548,145386,380934,90274,66157
"Uttar Pradesh",19056651,12711,13587745,4824989,18412734,381606,249600
Uttarakhand,980808,389,429586,232969,662555,160915,156949
"West Bengal",16564139,1134946,6835150,4055937,10891087,2626792,1911314
