"India/State/ UT","Enrolment of Age Group - All Ages - Pre-Primary to Higher Secondary - Boys","Enrolment of Age Group - All Ages - Pre-Primary to Higher Secondary - Girls","Enrolment of Age Group - All Ages - Pre-Primary to Higher Secondary - Total","Enrolment of Age Group - All Ages - Pre-Primary - Boys","Enrolment of Age Group - All Ages - Pre-Primary - Girls","Enrolment of Age Group - All Ages - Pre-Primary - Total","Enrolment of Age Group - All Ages - Primary (1 to 5) - Boys","Enrolment of Age Group - All Ages - Primary (1 to 5) - Girls","Enrolment of Age Group - All Ages - Primary (1 to 5) - Total","Enrolment of Age Group - All Ages - Upper Primary (1 to 8) - Boys","Enrolment of Age Group - All Ages - Upper Primary (1 to 8) - Girls","Enrolment of Age Group - All Ages - Upper Primary (1 to 8) - Total","Enrolment of Age Group - All Ages - Secondary (9-10) - Boys","Enrolment of Age Group - All Ages - Secondary (9-10) - Girls","Enrolment of Age Group - All Ages - Secondary (9-10) - Total","Enrolment of Age Group - All Ages - Higher Secondary (11-12) - Boys","Enrolment of Age Group - All Ages - Higher Secondary (11-12) - Girls","Enrolment of Age Group - All Ages - Higher Secondary (11-12) - Total","Enrolment of Age Group < 6 years - All - Boys","Enrolment of Age Group < 6 years - All - Girls","Enrolment of Age Group < 6 years - All - Total","Enrolment of Age Group < 6 years - Pre-Primary - Boys","Enrolment of Age Group < 6 years - Pre-Primary - Girls","Enrolment of Age Group < 6 years - Pre-Primary - Total","Enrolment of Age Group < 6 years - Primary (1 to 5) - Boys","Enrolment of Age Group < 6 years - Primary (1 to 5) - Girls","Enrolment of Age Group < 6 years - Primary (1 to 5) - Total","Enrolment of Age Group 6-10 years - All - Boys","Enrolment of Age Group 6-10 years - All - Girls","Enrolment of Age Group 6-10 years - All - Total","Enrolment of Age Group 6-10 years - Pre-Primary - Boys","Enrolment of Age Group 6-10 years - Pre-Primary - Girls","Enrolment of Age Group 6-10 years - Pre-Primary - Total","Enrolment of Age Group 6-10 years - Primary (1 to 5) - Boys","Enrolment of Age Group 6-10 years - Primary (1 to 5) - Girls","Enrolment of Age Group 6-10 years - Primary (1 to 5) - Total","Enrolment of Age Group 6-10 years - Upper Primary (1 to 8) - Boys","Enrolment of Age Group 6-10 years - Upper Primary (1 to 8) - Girls","Enrolment of Age Group 6-10 years - Upper Primary (1 to 8) - Total","Enrolment of Age Group 11-13 Years - All - Boys","Enrolment of Age Group 11-13 Years - All - Girls","Enrolment of Age Group 11-13 Years - All - Total","Enrolment of Age Group 11-13 Years - Primary (1 to 5) - Boys","Enrolment of Age Group 11-13 Years - Primary (1 to 5) - Girls","Enrolment of Age Group 11-13 Years - Primary (1 to 5) - Total","Enrolment of Age Group 11-13 Years - Upper Primary (1 to 8) - Boys","Enrolment of Age Group 11-13 Years - Upper Primary (1 to 8) - Girls","Enrolment of Age Group 11-13 Years - Upper Primary (1 to 8) - Total","Enrolment of Age Group 11-13 Years - Secondary (9-10) - Boys","Enrolment of Age Group 11-13 Years - Secondary (9-10) - Girls","Enrolment of Age Group 11-13 Years - Secondary (9-10) - Total","Enrolment of Age Group 14-15 Years - All - Boys","Enrolment of Age Group 14-15 Years - All - Girls","Enrolment of Age Group 14-15 Years - All - Total","Enrolment of Age Group 14-15 Years - Primary (1 to 5) - Boys","Enrolment of Age Group 14-15 Years - Primary (1 to 5) - Girls","Enrolment of Age Group 14-15 Years - Primary (1 to 5) - Total","Enrolment of Age Group 14-15 Years - Upper Primary (1 to 8) - Boys","Enrolment of Age Group 14-15 Years - Upper Primary (1 to 8) - Girls","Enrolment of Age Group 14-15 Years - Upper Primary (1 to 8) - Total","Enrolment of Age Group 14-15 Years - Secondary (9-10) - Boys","Enrolment of Age Group 14-15 Years - Secondary (9-10) - Girls","Enrolment of Age Group 14-15 Years - Secondary (9-10) - Total","Enrolment of Age Group 14-15 Years - Higher Secondary (11-12) - Boys","Enrolment of Age Group 14-15 Years - Higher Secondary (11-12) - Girls","Enrolment of Age Group 14-15 Years - Higher Secondary (11-12) - Total","Enrolment of Age Group 16-17 years - All - Boys","Enrolment of Age Group 16-17 years - All - Girls","Enrolment of Age Group 16-17 years - All - Total","Enrolment of Age Group 16-17 years - Primary (1 to 5) - Boys","Enrolment of Age Group 16-17 years - Primary (1 to 5) - Girls","Enrolment of Age Group 16-17 years - Primary (1 to 5) - Total","Enrolment of Age Group 16-17 years - Upper Primary (1to 8) - Boys","Enrolment of Age Group 16-17 years - Upper Primary (1to 8) - Girls","Enrolment of Age Group 16-17 years - Upper Primary (1to 8) - Total","Enrolment of Age Group 16-17 years - Secondary (9-10) - Boys","Enrolment of Age Group 16-17 years - Secondary (9-10) - Girls","Enrolment of Age Group 16-17 years - Secondary (9-10) - Total","Enrolment of Age Group 16-17 years - Higher Secondary (11-12) - Boys","Enrolment of Age Group 16-17 years - Higher Secondary (11-12) - Girls","Enrolment of Age Group 16-17 years - Higher Secondary (11-12) - Total","Enrolment of Age Group >17 years - All - Boys","Enrolment of Age Group >17 years - All - Girls","Enrolment of Age Group >17 years - All - Total","Enrolment of Age Group >17 years - Upper Primary (1to 8) - Boys","Enrolment of Age Group >17 years - Upper Primary (1to 8) - Girls","Enrolment of Age Group >17 years - Upper Primary (1to 8) - Total","Enrolment of Age Group >17 years - Secondary (9 to 10) - Boys","Enrolment of Age Group >17 years - Secondary (9 to 10) - Girls","Enrolment of Age Group >17 years - Secondary (9 to 10) - Total","Enrolment of Age Group >17 years - Higher Secondary (11 to 12) - Boys","Enrolment of Age Group >17 years - Higher Secondary (11 to 12) - Girls","Enrolment of Age Group >17 years - Higher Secondary (11 to 12) - Total"
India,137900578,127335252,265235830,5051523,4443684,9495207,63517655,58324595,121842250,34511750,32278942,66790692,20071918,18456713,38528631,14747732,13831318,28579050,12055399,10856325,22911724,4811883,4253596,9065479,7243516,6602729,13846245,54331742,50075648,104407390,239640,190088,429728,54331742,50075648,104407390,6369278,5973052,12342330,1891861,1608132,3499993,1891861,1608132,3499993,25942956,24371948,50314904,5842150,5401188,11243338,46280,35138,81418,46280,35138,81418,2039110,1797833,3836943,12057135,11158039,23215174,4228769,3889588,8118357,4256,2948,7204,4256,2948,7204,142978,121524,264502,2006100,1759476,3765576,8686740,8301196,16987936,2016184,1793129,3809313,17428,14585,32013,166533,138010,304543,1832223,1640534,3472757
"Andaman and Nicobar Islands",37536,36325,73861,3449,3436,6885,13293,12671,25964,9088,8631,17719,5976,5834,11810,5730,5753,11483,3907,3925,7832,3172,3220,6392,735,705,1440,11992,11511,23503,277,216,493,11992,11511,23503,1290,1297,2587,560,448,1008,560,448,1008,7038,6729,13767,1235,1283,2518,4,5,9,4,5,9,705,567,1272,4000,3960,7960,1170,1265,2435,2,2,4,2,2,4,46,33,79,680,537,1217,3470,3643,7113,1160,904,2064,9,5,14,61,54,115,1090,845,1935
"Andhra Pradesh",4278015,3966632,8244647,41948,35443,77391,1942766,1782027,3724793,1132406,1036628,2169034,694292,646958,1341250,466603,465576,932179,321631,307968,629599,40794,34539,75333,280837,273429,554266,1598921,1471237,3070158,1154,904,2058,1598921,1471237,3070158,247120,251709,498829,60542,35659,96201,60542,35659,96201,821435,747489,1568924,227875,243364,471239,2204,1520,3724,2204,1520,3724,58561,33991,92552,416895,375202,792097,143727,143639,287366,262,182,444,262,182,444,4691,2948,7639,46006,26261,72267,292892,297343,590235,34099,27216,61315,599,491,1090,3516,2131,5647,29984,24594,54578
"Arunachal Pradesh",177336,177046,354382,13517,12559,26076,83662,80399,164061,41309,43621,84930,22471,22984,45455,16377,17483,33860,27123,25847,52970,12628,11866,24494,14495,13981,28476,64261,61869,126130,889,693,1582,64261,61869,126130,9118,9849,18967,4609,4336,8945,4609,4336,8945,27929,29430,57359,7631,7693,15324,275,203,478,275,203,478,3483,3623,7106,12524,12984,25508,4782,5109,9891,22,10,32,22,10,32,621,592,1213,2084,2087,4171,9492,10171,19663,2493,2550,5043,158,127,285,232,220,452,2103,2203,4306
Assam,3720048,3824912,7544960,228797,214591,443388,1844170,1801193,3645363,917373,988402,1905775,465492,539190,1004682,264216,281536,545752,406919,384303,791222,223899,210225,434124,183020,174078,357098,1631762,1598916,3230678,4898,4366,9264,1631762,1598916,3230678,162421,168486,330907,28815,27747,56562,28815,27747,56562,711180,771769,1482949,126411,139415,265826,528,433,961,528,433,961,41453,45833,87286,301297,354504,655801,59358,63304,122662,45,19,64,45,19,64,2151,2123,4274,35010,42196,77206,175596,188721,364317,32204,32777,64981,168,191,359,2774,3075,5849,29262,29511,58773
Bihar,14054053,13418639,27472692,251500,174754,426254,7339469,6840063,14179532,3635833,3617710,7253543,1804240,1814058,3618298,1023011,972054,1995065,863747,730769,1594516,236051,164875,400926,627696,565894,1193590,6649139,6217215,12866354,15449,9879,25328,6649139,6217215,12866354,563031,539457,1102488,61976,56409,118385,61976,56409,118385,3021280,3026052,6047332,734262,726487,1460749,579,492,1071,579,492,1071,49094,49309,98403,958472,970494,1928966,456918,435486,892404,79,53,132,79,53,132,1958,2342,4300,102996,106996,209992,478187,453153,931340,96886,94046,190932,470,550,1020,8510,10081,18591,87906,83415,171321
Chandigarh,143711,124916,268627,11507,10552,22059,50841,45107,95948,34343,29759,64102,23967,19828,43795,23053,19670,42723,14262,13123,27385,10613,9782,20395,3649,3341,6990,44011,39327,83338,894,770,1664,44011,39327,83338,3740,3436,7176,3138,2414,5552,3138,2414,5552,26586,23238,49824,3697,3442,7139,40,25,65,40,25,65,3827,2969,6796,16175,13665,29840,3567,3752,7319,3,0,3,3,0,3,182,112,294,3890,2575,6465,15986,13752,29738,3713,2316,6029,8,4,12,205,146,351,3500,2166,5666
Chhattisgarh,3013246,2978951,5992197,120536,107431,227967,1379792,1312721,2692513,753340,733078,1486418,410149,430023,840172,349429,395698,745127,238786,218783,457569,115102,102673,217775,123684,116110,239794,1224852,1169762,2394614,5434,4758,10192,1224852,1169762,2394614,87589,83242,170831,30753,26511,57264,30753,26511,57264,606869,595687,1202556,64617,66755,131372,443,302,745,443,302,745,56694,52777,109471,287474,304042,591516,59529,65654,125183,60,36,96,60,36,96,1909,1262,3171,56208,57652,113860,238207,273803,512010,53822,57925,111747,279,110,389,1850,1574,3424,51693,56241,107934
"Dadra and Nagar Haveli and Daman and Diu",70068,63290,133358,2738,2373,5111,31296,28290,59586,18697,16653,35350,10087,8584,18671,7250,7390,14640,3373,2991,6364,2530,2218,4748,843,773,1616,27857,25501,53358,208,155,363,27857,25501,53358,1295,1211,2506,2538,1973,4511,2538,1973,4511,15181,13743,28924,1506,1487,2993,55,41,96,55,41,96,2055,1554,3609,6458,5586,12044,1515,1916,3431,3,2,5,3,2,5,157,134,291,1897,1388,3285,4530,4517,9047,1440,1091,2531,9,11,20,226,123,349,1205,957,2162
Delhi,2411323,2160784,4572107,128967,124658,253625,928498,825932,1754430,633559,557216,1190775,386581,338694,725275,333718,314284,648002,217642,202787,420429,125348,121646,246994,92294,81141,173435,805067,715606,1520673,3619,3012,6631,805067,715606,1520673,90834,58219,149053,30783,28848,59631,30783,28848,59631,480351,425977,906328,82300,51753,134053,325,299,624,325,299,624,58725,68975,127700,246413,220222,466635,77569,48313,125882,29,38,67,29,38,67,3649,4045,7694,54311,62498,116809,207580,197070,404650,52126,73122,125248,0,0,0,3557,4221,7778,48569,68901,117470
