"India/ State/ UT","All Management","Government - Total","Government - KVS","Government - NVS","Government - Other Central Government","Government - State Government","Government Aided","Private Unaided Recognized",Others
India,137900578,71178414,746214,168158,104440,70159602,13993799,49171889,3556476
"Andaman and Nicobar Islands",37536,25791,1641,335,0,23815,983,10762,0
"Andhra Pradesh",4278015,2335660,16254,3587,1305,2314514,101995,1833343,7017
"Arunachal Pradesh",177336,112124,4790,2772,290,104272,10612,52009,2591
Assam,3720048,2542662,28021,7456,4852,2502333,177473,856490,143423
Bihar,14054053,10954072,28739,12480,1811,10911042,95122,1930948,1073911
Chandigarh,143711,86721,3959,289,924,81549,4970,48414,3606
Chhattisgarh,3013246,2087530,18500,6428,2803,2059799,37314,881376,7026
"Dadra and Nagar Haveli and Daman and Diu",70068,45925,886,657,0,44382,3812,20331,0
Delhi,2411323,1391010,72506,505,0,1317999,78837,941476,0
Goa,157027,22143,2509,385,0,19249,113993,20891,0
Gujarat,6158736,2820006,23549,7901,1703,2786853,952129,2386067,534
Haryana,3306187,1304521,19433,5920,1419,1277749,4287,1927140,70239
"Himachal Pradesh",752697,455353,8557,2822,2263,441711,0,297306,38
"Jammu and Kashmir",1423914,740271,15971,4190,0,720110,100,677809,5734
Jharkhand,4060838,2558012,18517,7041,5139,2527315,145658,729927,627241
Karnataka,6234114,2664244,32132,6750,4493,2620869,767111,2802254,505
Kerala,3272192,949784,27138,3698,723,918225,1423814,841471,57123
Ladakh,29663,13549,578,412,240,12319,491,15623,0
Lakshadweep,6997,6997,175,104,0,6718,0,0,0
"Madhya Pradesh",8458385,4678115,62886,16655,3694,4594880,59267,3667679,53324
Maharashtra,11954636,2945392,43728,9000,10006,2882658,5352720,3599537,56987
Manipur,352199,107269,3181,2829,585,100674,15340,221327,8263
Meghalaya,572522,238253,2825,1885,0,233543,183878,130162,20229
Mizoram,156216,73506,1035,859,171,71441,10380,68679,3651
Nagaland,222509,81008,1093,1247,655,78013,0,141462,39
Odisha,3880763,2639465,30617,8851,1832,2598165,430906,752582,57810
Puducherry,130772,48128,2478,1004,0,44646,8857,73787,0
Punjab,3319404,1607943,27336,5331,12998,1562278,105972,1604819,670
Rajasthan,9451991,4909937,40584,11701,4802,4852850,0,4454188,87866
Sikkim,68708,41816,526,628,211,40451,1427,25465,0
"Tamil Nadu",6578995,2650741,32512,0,6033,2612196,1079449,2823713,25092
Telangana,3585691,1637887,16029,1802,3614,1616442,35353,1909321,3130
Tripura,359315,265305,3451,1594,0,260260,15077,70152,8781
"Uttar Pradesh",24875681,9505072,94052,23169,13398,9374453,2677985,11607534,1085090
Uttarakhand,1296206,477059,23912,3841,1702,447604,80409,700356,38382
"West Bengal",9328884,8155143,36114,4030,16774,8098225,18078,1047489,108174
