India/State/UT,Total,Primary,"Upper Primary",Secondary,"Higher Secondary"
India,1489115,760460,435805,150452,142398
"Andaman and Nicobar Islands",416,218,76,53,69
"Andhra Pradesh",61948,38430,8477,11877,3164
"Arunachal Pradesh",3603,1847,1273,319,164
Assam,60859,40482,10672,7290,2415
Bihar,93165,42505,38185,3855,8620
Chandigarh,233,21,39,71,102
Chhattisgarh,56512,32723,16442,2737,4610
"Dadra and Nagar Haveli and Daman and Diu",460,184,177,45,54
Delhi,5619,2594,826,357,1842
Goa,1510,892,75,420,123
Gujarat,53851,13827,27260,4638,8126
Haryana,23726,9716,5423,3009,5578
"Himachal Pradesh",18028,11085,2677,1728,2538
"Jammu and Kashmir",28805,14824,9565,3150,1266
Jharkhand,44855,23706,16201,3191,1757
Karnataka,76450,24470,30924,15385,5671
Kerala,16240,6812,4515,1941,2972
Ladakh,978,379,437,112,50
Lakshadweep,38,16,9,0,13
"Madhya Pradesh",125582,62413,45106,8306,9757
Maharashtra,109605,51152,29841,17741,10871
Manipur,4617,2422,966,958,271
Meghalaya,14600,9223,3529,1462,386
Mizoram,3911,1481,1519,706,205
Nagaland,2718,1157,787,576,198
Odisha,62291,29326,21049,9497,2419
Puducherry,736,275,74,190,197
Punjab,27701,13536,4642,4186,5337
Rajasthan,106373,38983,35984,10775,20631
Sikkim,1259,685,307,150,117
"Tamil Nadu",58801,35062,9243,5499,8997
Telangana,43083,20711,7688,12045,2639
Tripura,4929,2522,1226,702,479
"Uttar Pradesh",258054,138078,86430,12783,20763
Uttarakhand,22815,13404,5426,1407,2578
"West Bengal",94744,75299,8735,3291,7419
