"India/ State/ UT","Total Schools - All Management","Total Schools - Government.","Total Schools - Government. Aided","Total Schools - Pvt. Unaided","Total Schools - Others","Schools with Internet Facility Available - All Management","Schools with Internet Facility Available - Government.","Schools with Internet Facility Available - Government. Aided","Schools with Internet Facility Available - Pvt. Unaided","Schools with Internet Facility Available - Others","Percentage of Schools with Internet Facility Available - All Management","Percentage of Schools with Internet Facility Available - Government.","Percentage of Schools with Internet Facility Available - Government. Aided","Percentage of Schools with Internet Facility Available - Pvt. Unaided","Percentage of Schools with Internet Facility Available - Others"
India,1489115,1022386,82480,335844,48405,504989,247000,43795,200274,13920,33.9,24.2,53.1,59.6,28.8
"Andaman and Nicobar Islands",416,342,2,72,0,187,133,2,52,0,45,38.9,100,72.2,0
"Andhra Pradesh",61948,45137,1542,15058,211,34744,20313,756,13560,115,56.1,45,49,90.1,54.5
"Arunachal Pradesh",3603,2985,68,503,47,794,458,38,284,14,22,15.3,55.9,56.5,29.8
Assam,60859,45490,3841,5852,5676,7126,4680,265,1945,236,11.7,10.3,6.9,33.2,4.2
Bihar,93165,75558,742,8097,8768,10381,4421,65,3493,2402,11.1,5.9,8.8,43.1,27.4
Chandigarh,233,123,7,76,27,230,123,7,76,24,98.7,100,100,100,88.9
Chhattisgarh,56512,48743,417,7063,289,20735,16469,153,4066,47,36.7,33.8,36.7,57.6,16.3
"Dadra and Nagar Haveli and Daman and Diu",460,388,8,63,1,264,194,8,61,1,57.4,50,100,96.8,100
Delhi,5619,2762,247,2610,0,5619,2762,247,2610,0,100,100,100,100,0
Goa,1510,814,557,139,0,879,299,459,121,0,58.2,36.7,82.4,87.1,0
Gujarat,53851,34699,5590,13559,3,49522,32681,4685,12153,3,92,94.2,83.8,89.6,100
Haryana,23726,14562,16,8261,887,12158,4345,14,7160,639,51.2,29.8,87.5,86.7,72
"Himachal Pradesh",18028,15380,0,2646,2,6215,4175,0,2040,0,34.5,27.2,0,77.1,0
"Jammu and Kashmir",28805,23173,1,5526,105,8566,5169,1,3345,51,29.7,22.3,100,60.5,48.6
Jharkhand,44855,35840,1175,1559,6281,16726,12052,390,1153,3131,37.3,33.6,33.2,74,49.9
Karnataka,76450,49679,7110,19650,11,22590,5308,3133,14145,4,29.6,10.7,44.1,72,36.4
Kerala,16240,5010,7183,3164,883,15459,4738,6938,3010,773,95.2,94.6,96.6,95.1,87.5
Ladakh,978,838,28,112,0,418,342,13,63,0,42.7,40.8,46.4,56.3,0
Lakshadweep,38,38,0,0,0,37,37,0,0,0,97.4,97.4,0,0,0
"Madhya Pradesh",125582,92695,740,30345,1802,34562,16469,254,17339,500,27.5,17.8,34.3,57.1,27.8
Maharashtra,109605,65639,24037,19268,661,52553,18540,16985,16542,486,48,28.3,70.7,85.9,73.5
Manipur,4617,2889,583,1010,135,1065,340,64,617,44,23.1,11.8,11,61.1,32.6
Meghalaya,14600,7783,4172,2120,525,2460,1111,782,488,79,16.9,14.3,18.7,23,15.1
Mizoram,3911,2563,230,1034,84,307,153,31,114,9,7.9,6,13.5,11,10.7
Nagaland,2718,1960,0,757,1,1383,850,0,532,1,50.9,43.4,0,70.3,100
Odisha,62291,49072,5807,6104,1308,9284,3970,1012,3717,585,14.9,8.1,17.4,60.9,44.7
Puducherry,736,422,33,281,0,724,422,31,271,0,98.4,100,93.9,96.4,0
Punjab,27701,19259,450,7978,14,16429,9013,386,7026,4,59.3,46.8,85.8,88.1,28.6
Rajasthan,106373,68948,0,34826,2599,63674,36889,0,26170,615,59.9,53.5,0,75.2,23.7
Sikkim,1259,864,19,376,0,434,231,8,195,0,34.5,26.7,42.1,51.9,0
"Tamil Nadu",58801,37636,8323,12396,446,22086,9292,3207,9323,264,37.6,24.7,38.5,75.2,59.2
Telangana,43083,30023,700,12193,167,9887,2772,188,6917,10,23,9.2,26.9,56.7,6
Tripura,4929,4262,43,363,261,896,682,14,175,25,18.2,16,32.6,48.2,9.6
"Uttar Pradesh",258054,137024,8113,97808,15109,54554,12074,3366,35701,3413,21.1,8.8,41.5,36.5,22.6
Uttarakhand,22815,16484,608,5225,498,6245,2575,246,3245,179,27.4,15.6,40.5,62.1,35.9
"West Bengal",94744,83302,88,9750,1604,15796,12918,47,2565,266,16.7,15.5,53.4,26.3,16.6
