"India/State/ UT","TotalGirls' and Co-educational Schools - All Management","TotalGirls' and Co-educational Schools - Govt.","TotalGirls' and Co-educational Schools - Govt. Aided","TotalGirls' and Co-educational Schools - Pvt. Unaided","TotalGirls' and Co-educational Schools - Others","Schools with Girl's Toilet Facility - All Management","Schools with Girl's Toilet Facility - Govt.","Schools with Girl's Toilet Facility - Govt. Aided","Schools with Girl's Toilet Facility - Pvt. Unaided","Schools with Girl's Toilet Facility - Others","Schools with Functional Girl's Toilet Facility - All Management","Schools with Functional Girl's Toilet Facility - Govt.","Schools with Functional Girl's Toilet Facility - Govt. Aided","Schools with Functional Girl's Toilet Facility - Pvt. Unaided","Schools with Functional Girl's Toilet Facility - Others","% ofGirls' and Co-educational Schools with Girl's Toilet Facility - All management","% ofGirls' and Co-educational Schools with Girl's Toilet Facility - Govt.","% ofGirls' and Co-educational Schools with Girl's Toilet Facility - Govt. aided","% ofGirls' and Co-educational Schools with Girl's Toilet Facility - Pvt. unaided","% ofGirls' and Co-educational Schools with Girl's Toilet Facility - Others","% ofGirls' and Co-educational Schools with Functional Girl's Toilet Facility - All management","% ofGirls' and Co-educational Schools with Functional Girl's Toilet Facility - Govt.","% ofGirls' and Co-educational Schools with Functional Girl's Toilet Facility - Govt. aided","% ofGirls' and Co-educational Schools with Functional Girl's Toilet Facility - Pvt. unaided","% ofGirls' and Co-educational Schools with Functional Girl's Toilet Facility - Others"
India,1496164,1021995,82995,339774,51400,1456073,995893,78377,336623,45180,1405114,953659,76705,330955,43795,97.32,97.45,94.44,99.07,87.9,93.91,93.31,92.42,97.4,85.2
"Andaman and Nicobar Islands",417,342,2,73,0,416,342,2,72,0,415,341,2,72,0,99.76,100,100,98.63,0,99.52,99.71,100,98.63,0
"Andhra Pradesh",62888,44789,2102,15764,233,59280,41844,1742,15521,173,49256,32635,1605,14853,163,94.26,93.42,82.87,98.46,74.25,78.32,72.86,76.36,94.22,69.96
"Arunachal Pradesh",3671,3061,64,495,51,3209,2606,63,490,50,2633,2041,63,480,49,87.41,85.14,98.44,98.99,98.04,71.72,66.68,98.44,96.97,96.08
Assam,65052,46680,4980,6027,7365,56441,45296,2982,5675,2488,52941,43211,2423,5378,1929,86.76,97.04,59.88,94.16,33.78,81.38,92.57,48.65,89.23,26.19
Bihar,93280,75410,724,7911,9235,91852,74075,716,7888,9173,91257,73541,713,7861,9142,98.47,98.23,98.9,99.71,99.33,97.83,97.52,98.48,99.37,98.99
Chandigarh,229,121,7,74,27,229,121,7,74,27,229,121,7,74,27,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,55456,47649,389,7117,301,55085,47290,387,7111,297,54660,46898,384,7082,296,99.33,99.25,99.49,99.92,98.67,98.56,98.42,98.71,99.51,98.34
"Dadra and Nagar Haveli and Daman and Diu",475,404,8,63,0,474,404,8,62,0,474,404,8,62,0,99.79,100,100,98.41,0,99.79,100,100,98.41,0
Delhi,4716,1902,178,2636,0,4716,1902,178,2636,0,4716,1902,178,2636,0,100,100,100,100,0,100,100,100,100,0
