"India/ State/ UT","All Management","Government - Total","Government - KVS","Government - NVS","Government - Other Central Government","Government - State Government","Government Aided","Private Unaided Recognized",Others
India,96.5,96.2,100,100,99.6,96.2,95.1,98.4,89.9
"Andaman and Nicobar Islands",100,100,100,100,0,100,100,100,0
"Andhra Pradesh",98.1,97.6,100,100,100,97.6,96.4,99.9,99.5
"Arunachal Pradesh",74.6,69.8,100,100,100,69.4,100,97.4,95.7
Assam,86.9,94.9,100,100,100,94.9,58.6,92.8,35.2
Bihar,99.3,99.2,100,100,100,99.2,99.2,99.9,99.7
Chandigarh,100,100,100,100,100,100,100,100,100
Chhattisgarh,98.5,98.3,100,100,100,98.3,99.3,99.8,99.7
"Dadra and Nagar Haveli and Daman and Diu",100,100,100,100,0,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,0
Goa,100,100,100,100,0,100,100,100,0
Gujarat,99.1,98.6,100,100,100,98.6,99.9,100,100
Haryana,98.9,98.3,100,100,100,98.3,100,99.9,99.7
"Himachal Pradesh",99.2,99.2,100,100,100,99.2,0,99.7,100
"Jammu and Kashmir",90.4,88.2,100,100,0,88.2,100,99.6,98.1
Jharkhand,97.6,97.6,100,100,100,97.6,88.8,99.6,98.2
Karnataka,98.9,98.4,100,100,100,98.4,99.9,99.8,100
Kerala,99.9,99.7,100,100,100,99.7,100,100,99.9
Ladakh,98,97.6,100,100,100,97.6,100,100,0
Lakshadweep,100,100,100,100,0,100,0,0,0
"Madhya Pradesh",97.9,97.5,100,100,100,97.5,98.9,99,97.3
Maharashtra,96.5,94.5,100,100,100,94.5,99.5,99.1,100
Manipur,83,80.1,100,100,100,80,65,99.5,97.8
Meghalaya,76.3,80.4,100,100,0,80.3,75.1,67.2,62.5
Mizoram,92.3,90.4,100,100,100,90.3,95.2,96.3,91.7
Nagaland,80.3,74.2,100,100,100,74,0,96,100
Odisha,95.9,96.4,100,100,100,96.4,88.4,98.7,97.1
Puducherry,100,100,100,100,0,100,100,100,0
Punjab,99.8,99.7,100,100,100,99.7,100,100,100
Rajasthan,93.7,93.7,100,100,100,93.7,0,94.2,86.8
Sikkim,99.8,99.8,100,100,100,99.8,100,100,0
"Tamil Nadu",100,100,100,0,100,100,100,100,100
Telangana,82.8,76.1,100,100,87.5,76.1,85.9,98.9,98.2
Tripura,82.5,82.3,100,100,0,82.2,100,95.9,64.8
"Uttar Pradesh",98,97.4,100,100,100,97.4,98.7,98.7,98.2
Uttarakhand,95.1,93.7,100,100,100,93.7,97.2,98.8,96.8
"West Bengal",99.9,100,100,100,100,100,98.9,99.7,98.4
