"Sl. No.",State,"Name Of University","Name Of College","Arts - Male","Arts - Female","Science - Male","Science - Female","Commerce - Male","Commerce - Female","Computer App / Computer Science - Male","Computer App / Computer Science - Female","Management - Male","Management - Female","Education - Male","Education - Female","Engineering and Technology - Male","Engineering and Technology - Female","Medicine - Male","Medicine - Female","Agriculture - Male","Agriculture - Female","Veterinary Science - Male","Veterinary Science - Female","Law - Male","Law - Female","Others - Male","Others - Female","Total - Male","Total - Female","Grand Total"
1,"Andhra Pradesh","Acharya Nagarjuna University, Guntur (Id: U-0003)","P.N.C.A Degree College (Id: C-32620)",48,22,90,96,0,52,47,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,170,355
2,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","Sri Ramakrishna Degree College (Autonomous) (Id: C-26302)",75,40,562,471,0,368,828,368,117,52,0,0,0,0,117,0,0,0,0,0,0,0,0,0,1582,931,2513
3,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","Sai Degree College, (Id: C-26282)",0,0,195,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,266,461
4,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","Dr.Jyothirmayi Degree College, (Id: C-26279)",0,0,141,142,0,156,225,156,64,29,0,0,0,0,64,0,0,0,0,0,0,0,0,0,430,327,757
5,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","Adoni Arts and Science College (PG), Adoni (Id: C-26278)",30,6,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,18,72
6,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","SNSR Degree College (Id: C-26276)",35,11,58,56,0,38,84,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,105,282
7,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","Sri Pulloji Rao College of Education, Nandyal (Id: C-26270)",0,0,0,0,0,0,0,0,0,0,48,52,0,0,0,0,0,0,0,0,0,0,0,0,48,52,100
8,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","Allagadda Inst. Of Management and Science (PG), Allagadda (Id: C-26264)",0,0,0,0,0,0,0,0,27,18,0,0,0,0,27,0,0,0,0,0,0,0,0,0,27,18,45
9,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","Govt. Degree College for Men (Id: C-26263)",185,0,485,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,0,1077
10,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","R.I.E PG College, Kurnool (Id: C-26260)",0,0,0,0,0,9,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,34
11,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","Govt. Degree College, Atmakur (Id: C-26255)",108,34,33,65,0,18,62,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,117,320
12,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","JVRRM College of Education, Nandyal (Id: C-26251)",0,0,0,0,0,0,0,0,0,0,116,86,0,0,0,0,0,0,0,0,0,0,0,0,116,86,202
13,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Adarsh Post Graduate College of Computer Sciences, Mahabubnagar (Id: C-27165)",0,0,0,0,0,0,0,0,45,41,0,0,0,0,45,0,0,0,0,0,0,0,0,0,45,41,86
14,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Sri U. M. Govt. Degree College, Kondanagula (Id: C-22046)",52,71,21,43,0,10,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,124,223
15,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Sadhana Degree College, Nagarkurnool (Id: C-22042)",94,34,186,151,0,61,69,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,246,595
