State_UT,Primary_6-10,Upper_Primary_11-13,Secondary_14-15,Higher_Secondary_16-17,GPI_Secondary
Andhra Pradesh,98.5,97.2,85.4,72.1,1.02
Arunachal Pradesh,96.8,94.5,78.9,65.3,1.03
Assam,99.1,97.8,82.3,62.4,1.04
Bihar,97.5,94.3,72.1,48.9,1.01
Chhattisgarh,98.2,96.1,80.5,68.2,1.02
Goa,100.2,99.5,95.8,88.4,1.05
Gujarat,99.0,98.3,84.7,70.9,1.03
Haryana,99.3,98.0,85.2,73.6,1.04
Himachal Pradesh,99.9,99.8,94.8,88.2,1.04
Jharkhand,97.8,95.4,75.3,52.8,1.02
Karnataka,99.4,98.6,88.1,76.5,1.03
Kerala,99.8,99.9,98.5,92.3,1.05
Madhya Pradesh,98.0,96.4,78.2,65.1,1.01
Maharashtra,99.2,98.4,86.3,74.8,1.04
Manipur,98.7,96.9,82.6,70.4,1.03
Meghalaya,97.2,95.0,76.5,60.2,1.02
Mizoram,99.5,98.7,90.1,78.9,1.04
Nagaland,98.3,96.8,81.4,68.7,1.03
Odisha,98.9,97.5,83.0,69.5,1.02
Punjab,99.1,98.2,84.9,72.3,1.03
Rajasthan,98.4,96.7,79.6,66.8,1.02
Sikkim,99.6,98.9,92.4,80.1,1.04
Tamil Nadu,99.5,99.7,95.2,85.6,1.03
Telangana,99.0,98.5,87.3,75.2,1.03
Tripura,99.2,98.0,85.7,73.4,1.04
Uttar Pradesh,98.2,96.5,78.9,55.2,1.02
Uttarakhand,99.4,98.7,90.2,78.5,1.04
West Bengal,98.8,97.3,82.5,68.9,1.03
Andaman & Nicobar Islands,99.7,99.0,93.4,81.2,1.05
Chandigarh,102.5,101.8,96.7,89.3,1.06
Dadra & Nagar Haveli and Daman & Diu,98.9,97.4,84.1,71.8,1.03
Delhi,102.3,101.5,92.1,80.5,1.06
Jammu & Kashmir,98.6,97.0,83.5,70.9,1.03
Ladakh,99.1,98.3,89.7,77.4,1.04
Lakshadweep,100.0,99.6,95.0,85.3,1.05
Puducherry,101.8,100.9,94.2,82.7,1.05
All India,99.1,98.2,78.7,58.4,1.04
