State_UT,Male_GER,Female_GER,Total_GER
Andhra Pradesh,32.1,34.5,33.3
Arunachal Pradesh,25.8,24.1,25.0
Assam,20.3,21.7,21.0
Bihar,15.2,14.8,15.0
Chhattisgarh,18.9,19.2,19.0
Goa,32.5,35.8,34.1
Gujarat,22.7,24.1,23.4
Haryana,30.1,32.4,31.2
Himachal Pradesh,28.4,32.1,30.2
Jharkhand,17.6,18.2,17.9
Karnataka,32.8,35.2,34.0
Kerala,37.2,47.8,42.5
Madhya Pradesh,24.5,25.8,25.1
Maharashtra,34.2,37.6,35.9
Manipur,22.1,26.4,24.2
Meghalaya,20.8,23.5,22.1
Mizoram,28.9,32.7,30.8
Nagaland,18.4,20.1,19.2
Odisha,23.6,24.9,24.2
Punjab,28.7,31.4,30.0
Rajasthan,25.3,27.1,26.2
Sikkim,35.6,40.2,37.9
Tamil Nadu,44.5,49.5,47.0
Telangana,36.8,40.2,38.5
Tripura,25.4,28.7,27.0
Uttar Pradesh,26.1,28.3,27.2
Uttarakhand,32.9,36.5,34.7
West Bengal,24.8,26.9,25.8
Andaman & Nicobar Islands,35.2,38.1,36.6
Chandigarh,55.2,74.4,64.8
Dadra & Nagar Haveli and Daman & Diu,28.5,30.2,29.3
Delhi,43.0,55.0,49.0
Jammu & Kashmir,23.7,25.9,24.8
Ladakh,24.5,26.8,25.6
Lakshadweep,32.1,35.4,33.7
Puducherry,52.1,70.9,61.5
All India,26.7,28.5,27.3
