State_UT,2001_Male,2001_Female,2011_Male,2011_Female,2019-21_Male_NFHS,2019-21_Female_NFHS
Andhra Pradesh,70.3,50.4,75.6,59.1,80.2,65.4
Arunachal Pradesh,63.8,43.5,72.6,57.2,78.3,62.1
Assam,78.8,62.5,81.3,69.0,88.5,78.2
Bihar,71.2,38.8,79.7,51.5,76.0,55.0
Chhattisgarh,77.4,51.9,80.3,60.2,82.1,64.3
Goa,88.4,75.4,92.6,84.7,94.2,88.9
Gujarat,79.7,57.8,85.8,69.7,89.5,75.2
Haryana,78.5,55.7,84.1,65.9,88.6,72.0
Himachal Pradesh,85.3,67.4,89.5,75.9,94.1,85.3
Jharkhand,67.3,38.9,76.8,52.0,78.4,58.2
Karnataka,76.1,56.9,82.5,68.1,85.9,72.5
Kerala,94.2,87.7,96.1,92.1,98.3,96.2
Madhya Pradesh,76.1,50.3,78.7,59.2,80.5,62.0
Maharashtra,85.0,67.0,88.4,75.9,90.8,80.2
Manipur,80.3,60.5,83.6,70.3,88.5,76.4
Meghalaya,65.4,59.2,77.0,72.9,82.3,78.1
Mizoram,90.7,86.7,93.4,89.3,96.5,93.2
Nagaland,71.2,61.5,82.8,76.1,87.2,82.0
Odisha,75.3,50.5,81.6,64.0,85.0,70.2
Punjab,75.2,63.4,80.4,70.7,86.5,78.3
Rajasthan,75.7,43.9,80.5,52.1,83.2,58.0
Sikkim,76.0,60.4,86.6,75.6,90.1,82.3
Tamil Nadu,82.4,64.4,86.8,73.4,90.2,80.1
Telangana,,,74.9,57.9,79.0,62.5
Tripura,81.0,64.9,87.2,77.2,91.5,83.2
Uttar Pradesh,68.8,42.2,77.3,57.2,79.8,60.0
Uttarakhand,83.3,59.6,87.4,70.0,91.0,76.5
West Bengal,77.0,59.6,81.7,70.5,86.2,76.0
Andaman & Nicobar Islands,90.9,79.4,90.1,85.8,94.8,89.3
Chandigarh,85.4,74.7,90.5,85.1,95.2,90.4
Dadra & Nagar Haveli and Daman & Diu,73.3,54.7,85.7,71.2,88.1,74.5
Delhi,87.3,74.7,90.9,80.8,93.5,86.2
Jammu & Kashmir,67.2,43.0,76.8,56.4,82.5,66.0
Ladakh,,,80.1,68.9,85.4,72.3
Lakshadweep,96.1,91.8,96.5,93.8,97.2,95.1
Puducherry,88.6,80.2,92.1,85.9,94.3,89.7
All India,75.3,53.7,82.1,65.5,84.7,71.5
