S.No.,"Division/Seat No.","Name of Member","Lok Sabha",Session,State,Constituency,"Total Sittings","No. of days member signed the register"
1,3,"Smt.  Sonia  Gandhi                                            ",15,3,"Uttar Pradesh                                               ","Rae Barelii",21,8
2,11,"Shri  Ajit  Singh                                             ",15,3,"Uttar Pradesh                                               ",Baghpat,21,M
3,14,"Shri  Paban Singh  Ghatowar                                          ",15,3,"Assam                                                       ",Dibrugarh,21,M
4,24,"Shri  V. Kishore Chandra S.  Deo                                               ",15,3,"Andhra Pradesh                                              ",Araku,21,M
5,25,"Shri  Beni Prasad  Verma                                             ",15,3,"Uttar Pradesh                                               ",Gonda,21,M
6,29,"Shri  Harish  Rawat                                             ",15,3,"Uttarakhand                                                 ",Hardwar,21,M
7,30,"Smt.  Chandresh  Kumari                                            ",15,3,"Rajasthan                                                   ",Jodhpur,21,M
8,38,"Shri  Jitender  Singh                                             ",15,3,"Haryana                                                     ",Sonipat,21,M
9,39,"Shri  Manish  Tewari                                            ",15,3,"Punjab                                                      ",Ludhiana,21,M
10,52,"Dr.  Tusharbhai   A.  Chaudhari                                         ",15,3,"Gujarat                                                     ",Bardoli,21,M
11,53,"Shri  Pratik  Patil                                             ",15,3,"Maharashtra                                                 ",Sangli,21,M
12,55,"Dr.  Shashi  Tharoor                                           ",15,3,"Kerala                                                      ",Thiruvananthapuram,21,M
13,56,"Shri  Pradeep  Jain   Aditya                                     ",15,3,"Uttar Pradesh                                               ",Jhansi,21,M
14,57,"Shri  K. C.  Venugopal                                         ",15,3,"Kerala                                                      ",Alappuzha,21,M
15,58,"Dr.  Charan Das  Mahant                                            ",15,3,"Chhattisgarh                                                ",Korba,21,M
16,59,"Shri  Milind  Deora                                             ",15,3,"Maharashtra                                                 ",Mumbai-South,21,M
17,60,"Shri    Kodikunnil  Suresh                                ",15,3,"Kerala                                                      ",Mavelikkara,21,M
18,61,"Shri  Rahul  Gandhi                                            ",15,3,"Uttar Pradesh                                               ",Amethi,21,11
19,62,"Shri  K. J.S.P.  Reddy                                             ",15,3,"Andhra Pradesh                                              ",Kurnool,21,M
20,63,"Shri  A.H.   Khan  Choudhury                                         ",15,3,"West Bengal                                                 ","Maldaha Dakshin",21,M
21,64,"Shri  Adhir Ranjan  Chowdhury                                         ",15,3,"West Bengal                                                 ",Baharampur,21,M
22,65,"Smt.  Ranee  Narah                                             ",15,3,"Assam                                                       ",Lakhimpur,21,M
23,66,"Shri   Sarvey  Sathyanarayana                                    ",15,3,"Andhra Pradesh                                              ",Malkajgiri,21,M
24,67,"Shri  Ninong  Ering                                             ",15,3,"Arunachal Pradesh                                           ","Arunachal East",21,M
