Sl.No,"Name of the Regional Office","Name of the ULB/RDMA",Address,"Telephone No. with STD code","Fax Number ","Email id","No.of Wards"
1,Chengalpattu,"RDMA office","No.124.GST Road,Chengalpattu",044-27424192,044-27424192,rdma.chengalpet@tn.gov.in,NA
2,Chengalpattu,Chengalpattu,"GST Road,Chengalpattu",044-27422251,044-27422251,commr.chengalpattu@tn.gov.in,33
3,Chengalpattu,Kancheepuram,"Annai Indra Gandhi Salai, Kancheepuram",044-27422251,044-27422251,commr.kancheepuram@tn.gov.in,51
4,Chengalpattu,Madurantakam,"GST Road, Madurantakam",044-27222801,044-27222801,commr.madhuranthagam@tn.gov.in,24
5,Chengalpattu,Pallavapuram,"No.6, 6th Cross Street, New Colony, Chromepet, Chennai",044-22416909,044-2241700,commr.pallavapuram@tn.gov.in,42
6,Chengalpattu,Tambaram,"10,Muthurangam  Street,Tambaram,Chennai",044-22264790,044-2221700,commr.tambaram@tn.gov.in,39
7,Chengalpattu,Anakaputhur,"10,Muthurangam  Street,Tambaram,Chennai",044-22480953,044-2241700,commr.anakaputhur@tn.gov.in,18
8,Chengalpattu,Pammal,"Dr.Ambedkar Salai (Pozhichalur Salai), Pammal",044-22483110,044-22483110,commr.pammal@tn.gov.in,21
9,Chengalpattu,"Mariamalai Nagar","Maraimalai Adigalar Road, Maraimalainagar",044-27452297,044-27452297,commr.maraimalainagar@tn.gov.in,21
10,Chengalpattu,Avadi,"154,MNM Road, Avadi,Chennai",044-26553980,044-2651700,commr.avadi@tn.gov.in,48
11,Chengalpattu,Tiruvallur,"56,J.N.Road, Tiruvallur",044-27660226,044-27660226,commr.tiruvallur@tn.gov.in,48
12,Chengalpattu,Poonamallee,"Trunk Road, Kandasamy Nagar, Poonamallee",044-26491611,044-26491611,commr.poonamalleer@tn.gov.in,27
13,Chengalpattu,Thiruverkadu,"Sivan Koil street,Thiruverkadu,Chennai",044-26800437,044-26800437,commr.thiruverkadu@tn.gov.in,21
14,Chengalpattu,Thiruthani,"78,M.P.S. Road, Tiruthani",044-27885258,044-27885258,commr.thiruthani@tn.gov.in,21
15,Chengalpattu,Chidambaram,"2,Cutchery Road, Chidambaram",04142-230021,04142-230021,commr.cuddalore@tn.gov.in,33
16,Chengalpattu,Cuddaloare,"Bharathi Road, Manjakuppam, Cuddalore",04144-222231,04144-222231,commr.chidambaram@tn.gov.in,45
17,Chengalpattu,Panruti,"Diversion Road, Panruti",04142-242110,04142-242110,commr.panruti@tn.gov.in,33
