"District Name in Englsih","Akshaya /CSC Name","Akshaya/CSC Name & Address"
Alappuzha,Adikattukulangara,"Adikattukulangara - changadathu, cherukunnam, anayadi p.o, pathanamthitta 690 561"
Alappuzha,Ajantha-Junction,"Ajantha-Junction - kailasam,krishnapuram p.o, krishnapuram south, alappuzha - 690533"
Alappuzha,"A.K.G. Junction Thumboly","A.K.G. Junction Thumboly - akshaya e centrea.k.g. junction thumbolyalappuzha dist"
Alappuzha,"A.K.G. Nagar","A.K.G. Nagar - akshaya e centre,building no: 610alappuzhaarattupuzha"
Alappuzha,"Akshaya Alappuzha","Akshaya Alappuzha"
Alappuzha,"AlaAthalakadavu Jn","Alaathalakadavu Jn - vrindavanamkallimel p.omavelikkara"
Alappuzha,AmabalappattumukkuPrayar,"Amabalappattumukkuprayar - akshaya e-centreamabalappattumukku/prayardevikulangaraalappuzha dist."
Alappuzha,"Ambalapuzha Kachery Junction","Ambalapuzha Kachery Junction - mangalappally, kakkazhom p.o., alpy 688 005"
Alappuzha,Anaprampal,"Anaprampal - akshaya e centreanaprampalthalavady gp"
Alappuzha,Angadikkal,"Angadikkal - akshaya e centre kesava bldg. near prabhath coffee house chengannur"
Alappuzha,Aravukad,"Aravukad - akshaya e centre, masjid shopping complex, aravukad, punnapra market jn., punnapra - 688004"
Alappuzha,Aravukadu,"Aravukadu - kannathara arthunkal.p.o. cherthala south kanjikkuzhy-688530"
Alappuzha,Arayaukulangara,"Arayaukulangara - akshaya e-centrearayaukulangaraperumpalam grama panchayath"
Alappuzha,"Arayaukulangara Blocked Centre","Arayaukulangara Blocked Centre - akshaya e centre arayankulangara perumbalam"
Alappuzha,Areeparambu,"Areeparambu - madasseril house, west of l.f church, kalavoor p.o"
Alappuzha,"Aroor Palli Jn","Aroor Palli Jn - xx 538, nelppuraparmbil house,aroor p.o., alpy 688 534"
Alappuzha,Arunootymangalam,"Arunootymangalam - valiyaparampil arannoottimangalam aranoottimangalam-690110"
Alappuzha,Aryakkara,"Aryakkara - santha bhavan muhamma.p.o. alpy"
Alappuzha,"AV Junction","Av Junction - thekkeparambil, ayranikudy p.o, nooranad, bharanikavu, pin - 690558"
Alappuzha,"Ayaparamb Govt. GHSS Junction","Ayaparamb Govt. Ghss Junction - changayil kizhakkethil, ayaparmbu, cheruthana.p.o,alpy"
Alappuzha,"Ayaparamb Vadakkekkara Kuttiyil junction","Ayaparamb Vadakkekkara Kuttiyil Junction - akshaya e-centreayaparamb vadakkekkara kuttiyil jn.cheruthanaalappuzha dist."
Alappuzha,"Aykya Jn","Aykya Jn - akshaya e centreaykya jnkayamkulam municipalityalappuzha distt."
Alappuzha,"Beach L.P.S","Beach L.P.S - paralil, punnapra p.o., alpy 688 004"
Alappuzha,Chambakulam,"Chambakulam - akshaya e centre, nss karayogam bldg., near padippurackal devi temple,chambakulam-688505"
Alappuzha,"Chambakulam Blocked Centre","Chambakulam Blocked Centre - akshaya e centrechambakulamalappuzha district"
Alappuzha,"Chandiroor Jn","Chandiroor Jn - mullayil, near n.s. s..karayogam, aroor p.o., cherthala, alpy 688 534"
Alappuzha,Charumood,"Charumood - l s cottagevaliyakulangaraoachira p.okollam"
Alappuzha,"Charumood Junction.","Charumood Junction. - lekhalaya komaloor p.o charamood"
Alappuzha,Chaththiyar,"Chaththiyar - akshaya centre"
Alappuzha,Cheppad,"Cheppad - sri vilasam, cheppad p.o., alpy 690507"
Alappuzha,"Cheravally Jn","Cheravally Jn - akshaya e centrecheravally jn.kayamkulam municipality"
Alappuzha,"Cherukol Jn","Cherukol Jn - akshaya e centre, alp 121, cherukole p.o, mavelikkara, 690 104"
Alappuzha,"Chettikulangara Panchayath Office","Chettikulangara Panchayath Office - thondappurathu kannamangalam chettikulangara p.o mavelikkar alpy"
Alappuzha,Choonadu,"Choonadu - mini bhavanam krishnapuram p.o krishnapuram alappuzha"
Alappuzha,Chungam,"Chungam - rahanalayam, thiruvamopady p.o., alpy 688002"
Alappuzha,"Court Junction","Court Junction - peroor house, thazhakara p.o, vazhuvady, mavelikara, alappuzha"
Alappuzha,"D S S","D S S - arayanparambil (h) alisseryward, alappuzha-688001"
Alappuzha,Eara,"Eara - muringathundiyil, neelamperoor p.o, alpy 686534"
Alappuzha,Edakunnam,"Edakunnam - akshaya e centre,edakunnamnooranadu gpalappuzha"
Alappuzha,Edathua,"Edathua - akshaya e centre, edathua market, edathua p.o"
Alappuzha,"Elanjimel Jun","Elanjimel Jun - sreedhalam. kurattissery, mannar.p.o, mavelikkara, pin- 689622"
Alappuzha,Elappekulam,"Elappekulam - kochucharoor house chettikulangara mavelikkara"
Alappuzha,Ennakkadu,"Ennakkadu - akshaya e centre, near school jn. budhanoor,ennakkad p.o,alappuzha dist"
