S.No,"Name of the District / Department","Name of the Backward Blocks","Name of the Project","Type of Indicator","Number of Projects",Amount
1,Ariyalur,Ariyalur,"Equipments for Blood Bank",Health,1,253000
2,Ariyalur,Jayankondam,"Improving New Born Intensive Care Unit",Health,1,3757000
Total,Ariyalur,Total,"Total Project",Total,2,4010000
3,Cuddalore,Kattumannarkoil,"Anaemia Control Programme (Hb) at Health Subcentre (HSC) Level",Gender,1,82333.33
4,Cuddalore,Kattumannarkoil,"Provision of Anti shock Garments to 14 PHCs",Gender,1,142333.33
5,Cuddalore,Kattumannarkoil,"Improving Detection Rate of Tuberculosis and HIV",Health,1,954000
6,Cuddalore,Mangalur,"Improving Detection Rate of Tuberculosis and HIV",Health,1,954000
7,Cuddalore,Mangalur,"Anaemia Control Programme (Hb) at Health Subcentre (HSC) Level",Gender,1,82333
8,Cuddalore,Mangalur,"Provision of Anti Shock Garments to 14 PHCs",Gender,1,142333
9,Cuddalore,Nallur,"Anaemia Control Programme (Hb) at Health Subcentre (HSC) Level",Gender,1,82333.33
10,Cuddalore,Nallur,"Improving Detection Rate of Tuberculosis and HIV",Health,1,954000
11,Cuddalore,Nallur,"Provision of Anti Shock Garments to 14 PHCs",Gender,1,142333.33
Total,Cuddalore,Total,"Total Project",Total,9,3536000
12,Dindigul,Shanarpatti,"Production cum Training Centre for Ready - Made Garments",Gender,1,2500000
13,Dindigul,Thoppampatti,"Manufacturing of Readymade Garments and Training Centre",Employment,1,3242500
Total,Dindigul,Total,"Total Project",Total,2,5742500
14,Dharmapuri,Morappur,"Development of Skills and Tailoring Training for Women",Employment,1,5700000
15,Dharmapuri,Nallampalli,"Establishment of Coleus Drying Yard and Palmarosa Oil Extraction Unit (Medicinal and Aromatic Plants)",Employment,1,2500000
16,Dharmapuri,Nallampalli,"Supply of Ultra Sound Scan Machines to PHC",Health,1,750000
17,Dharmapuri,Pennagaram,"Coir Automatic Yarn Spinning Unit",Employment,1,811000
18,Dharmapuri,Pennagaram,"Development of Tamarind Processing Cluster at Thottalampatti and Ettiyampatti, Pennnagaram Taluk",Gender,1,3600000
19,Dharmapuri,Pennagaram,"Supply of Ultra Sound Scan Machines to PHC",Health,1,750000
Total,Dharmapuri,Total,"Total Project",Total,6,14111000
20,Erode,Talavadi,"Construction of Check Dam at Thotta Mudukkarai",Income,1,6900000
21,Erode,Talavadi,"Construction of Neonatal Intensive Care Unit",Health,1,14000000
22,Erode,Talavadi,"Improving Nutritional Status and Anaemia Control Measures among School Children",Gender,1,2036000
23,Erode,Talavadi,"Providing Additional Infrastructure Facilities for Food Processing Units run by Tribal Community in Hasanur",Employment,1,3500000
24,Erode,Talavadi,"Rearing of Genetically Improved Poultry",Poverty,1,525000
Total,Erode,Total,"Total Project",Total,5,26961000
25,"Integrated Child Development Services (ICDS)",Alangayam,"Upgradation of Baby Friendly Toilets in 6747 AWCs.
(Rs.20,000/ - Per Baby Friendly Toilet)",Health,1,1363030.3
26,"Integrated Child Development Services (ICDS)",Alathur,"Upgradation of Baby Friendly Toilets in 6747 AWCs.
(Rs.20,000/ - Per Baby Friendly Toilet)",Health,1,1363030.3
27,"Integrated Child Development Services (ICDS)",Andipatti,"Upgradation of Baby Friendly Toilets in 6747 AWCs.
(Rs.20,000/ - Per Baby Friendly Toilet)",Health,1,1363030.3
28,"Integrated Child Development Services (ICDS)",Annavasal,"Upgradation of Baby Friendly Toilets in 6747 AWCs.
(Rs.20,000/ - Per Baby Friendly Toilet)",Health,1,1363030.3
29,"Integrated Child Development Services (ICDS)",Aravakurichi,"Upgradation of Baby Friendly Toilets in 6747 AWCs.
(Rs.20,000/ - Per Baby Friendly Toilet)",Health,1,1363030.3
