"State/UT & Code","Constituency Name & Code","Const. No.",Candidates,Male,Female," TG ",Total
Gujarat-S06,Surat-GEN,24,"Candidates - Nominated",15,0,0,15
Gujarat-S06,Surat-GEN,24,"Candidates - Nomination Rejected",6,0,0,6
Gujarat-S06,Surat-GEN,24,"Candidates - Withdrawn",8,0,0,8
Gujarat-S06,Surat-GEN,24,"Candidates - Contested",1,0,0,1
Gujarat-S06,Surat-GEN,24,"Candidates - Forfeited Deposit",0,0,0,0
Gujarat-S06,Surat-GEN,24,"Electors - General",954580,831558,78,1786216
Gujarat-S06,Surat-GEN,24,"Electors - OverSeas",15,0,0,15
Gujarat-S06,Surat-GEN,24,"Electors - Service",51,5,0,56
Gujarat-S06,Surat-GEN,24,"Electors - Total",954646,831563,78,1786287
Gujarat-S06,Surat-GEN,24,"Polling Station Number",NA,NA,NA,1648
Gujarat-S06,Surat-GEN,24,"Average Electors Per Polling Station",NA,NA,NA,1084
Gujarat-S06,Surat-GEN,24,"RESULT - Winner Party - Bharatiya Janata Party",NA,NA,NA,NA
Gujarat-S06,Surat-GEN,24,"RESULT - Winner Candidates - MUKESHKUMAR CHANDRAKAANT DALAL",NA,NA,NA,NA
Gujarat-S06,Surat-GEN,24,"RESULT - Winner Votes",NA,NA,NA,NA
