"State/Local Body",Income/Expenditure,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13
"Andhra Pradesh - Guntur",Income,543742,582030,657902,610269,640071,668966,NA,NA,979539,NA,NA,NA,NA
"Andhra Pradesh - Guntur","Expenditure *",346546,406658,422339,490884,NA,NA,NA,NA,916656,NA,NA,NA,NA
"Andhra Pradesh - Greater Hyderadad",Income,2571390,2882483,3524651,4084853,3996215,4460620,5047298,7810844,13920858,NA,NA,NA,NA
"Andhra Pradesh - Greater Hyderadad",Expenditure,1955177,2081478,2401918,2363227,2622164,3076422,3721239,6165931,9156566,NA,NA,NA,NA
"Andhra Pradesh - Vishakhapatnam",Income,903954,1278400,1466249,1669387,1971192,2332064,2936997,5939805,6855396,3352216,8158091,17326917,NA
"Andhra Pradesh - Vishakhapatnam",Expenditure,790414,1232281,880068,1754861,2144597,2589650,2981009,4512461,7373639,2214460,8617385,17764451,NA
"Bihar - Gaya",Income,36847,33751,34437,29439,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bihar - Gaya","Expenditure *",31078,23063,21058,13234,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delhi - MCD",Income,13728454,15706554,16594975,16828426,22584781,21341188,28077548,32859239,31659682,NA,NA,NA,NA
"Delhi - MCD","Expenditure *",13728015,15706458,16240712,16777259,19504687,21364339,22483945,28299171,36414314,NA,NA,NA,NA
"Delhi - NDMC",Income,7495143,7708849,8834005,8633497,10789726,10507978,NA,13597414,14134103,16924308,20474951,21540363,23154900
"Delhi - NDMC","Expenditure *",7472291,7436737,8032975,8014811,9664890,9709138,NA,13594623,17524044,20578796,23417589,22128750,22895965
"Gujarat - Ahmedabad",Income,5625844,5618453,6156415,6906754,8070853,9023788,NA,NA,NA,NA,NA,NA,NA
"Gujarat - Ahmedabad","Expenditure *",5611992,5595416,5819011,5626450,6055794,6286026,NA,NA,NA,NA,NA,NA,NA
"Gujarat - Baroda",Income,2126252,2025765,2206045,2263608,2709793,2846017,3397083,4301758,4960374,5619531,5408347,5640699,6682514
"Gujarat - Baroda","Expenditure *",2027872,2050225,2124039,2185346,2270457,2345044,2436848,2870088,2960672,4098123,4500173,5030402,5148230
"Gujarat - Bhavnagar",Income,450252,378898,405388,435874,532283,609067,584341,468715,636043,NA,NA,NA,NA
"Gujarat - Bhavnagar","Expenditure *",277050,290787,284622,334896,329626,283622,324727,429400,455000,NA,NA,NA,NA
"Gujarat - Rajkot",Income,543742,582030,657902,610269,640071,668966,1696566,1874533,979539,2445107,2872105,2773603,3492962
"Gujarat - Rajkot","Expenditure *",346546,406658,422339,490884,1409236,1376759,1415858,1649639,916656,2172079,2684429,2897485,3396124
"Gujarat - Surat",Income,4003614,4154221,4940301,5297651,6204162,6733657,8024463,8965799,NA,10003296,NA,NA,NA
"Gujarat - Surat","Expenditure *",229189,2802516,3251628,3000367,3902614,4320085,5166626,5783540,6140395,9145862,NA,NA,NA
"Haryana - Ambala",Income,NA,NA,NA,NA,NA,NA,NA,82995,111504.011,139638,350100,NA,NA
"Haryana - Ambala","Expenditure *",NA,NA,NA,NA,NA,NA,NA,41836,59891.652,93434,NA,NA,NA
"Himachal Pradesh - Shimla",Income,NA,NA,NA,NA,NA,NA,NA,295616,377129,355663,413328,545283,503654
"Himachal Pradesh - Shimla","Expenditure *",NA,NA,NA,NA,NA,NA,NA,531635,606648,723716,709290,821312,868837
"Karnataka - Bangalore",Income,5471522,4553362,NA,NA,NA,NA,NA,19064020,24789937,35886200,13197698,39340800,99413500
