"Local Body",State,Type,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12
Guntur,"Andhra Pradesh",Income,543742,582030,657902,610269,640071,668966,NA,NA,979539,NA,NA,NA
Guntur,"Andhra Pradesh","Expenditure *",346546,406658,422339,490884,NA,NA,NA,NA,916656,NA,NA,NA
"Greater Hyderadad","Andhra Pradesh",Income,2571390,2882483,3524651,4084853,3996215,4460620,5047298,7810844,13920858,NA,NA,NA
"Greater Hyderadad","Andhra Pradesh",Expenditure,1955177,2081478,2401918,2363227,2622164,3076422,3721239,6165931,9156566,NA,NA,NA
Vishakhapatnam,"Andhra Pradesh",Income,903954,1278400,1466249,1669387,1971192,2332064,2936997,5939805,6855396,3352216,8158091,17326917
Vishakhapatnam,"Andhra Pradesh",Expenditure,790414,1232281,880068,1754861,2144597,2589650,2981009,4512461,7373639,2214460,8617385,17764451
Gaya,Bihar,Income,36847,33751,34437,29439,NA,NA,NA,NA,NA,NA,NA,NA
Gaya,Bihar,"Expenditure *",31078,23063,21058,13234,NA,NA,NA,NA,NA,NA,NA,NA
MCD,Delhi,Income,13728454,15706554,16594975,16828426,22584781,21341188,28077548,32859239,31659682,NA,NA,NA
MCD,Delhi,"Expenditure *",13728015,15706458,16240712,16777259,19504687,21364339,22483945,28299171,36414314,NA,NA,NA
NDMC,Delhi,Income,7495143,7708849,8834005,8633497,10789726,10507978,NA,13597414,14134103,16924308(RE),20474951(A),21499657(RE)
NDMC,Delhi,"Expenditure *",7472291,7436737,8032975,8014811,9664890,9709138,NA,13594623,17524044,20578796(RE),23417589(A),23761683(RE)
Ahmedabad,Gujarat,Income,5625844,5618453,6156415,6906754,8070853,9023788,NA,NA,NA,NA,NA,NA
Ahmedabad,Gujarat,"Expenditure *",5611992,5595416,5819011,5626450,6055794,6286026,NA,NA,NA,NA,NA,NA
Baroda,Gujarat,Income,2126252,2025765,2206045,2263608,2709793,2846017,3397083,4301758,4960374,5619531,NA,NA
Baroda,Gujarat,"Expenditure *",2027872,2050225,2124039,2185346,2270457,2345044,2436848,2870088,2960672,4098123,NA,NA
Bhavnagar,Gujarat,Income,450252,378898,405388,435874,532283,609067,584341,468715,636043,NA,NA,NA
Bhavnagar,Gujarat,"Expenditure *",277050,290787,284622,334896,329626,283622,324727,429400,455000,NA,NA,NA
Rajkot,Gujarat,Income,962338,944524,1247976,1157936,1334022,NA,NA,NA,NA,NA,NA,NA
Rajkot,Gujarat,"Expenditure *",633948,690950,798008,892921,1045663,NA,NA,NA,NA,NA,NA,NA
Surat,Gujarat,Income,4003614,4154221,4940301,5297651,6204162,6733657,8024463,8965799,b,10003296,NA,NA
Surat,Gujarat,"Expenditure *",229189,2802516,3251628,3000367,3902614,4320085,5166626,5783540,6140395,9145862,NA,NA
Ambala,Haryana,Income,NA,NA,NA,NA,NA,NA,NA,82995.073,111504.011,139638,350100,NA
Ambala,Haryana,"Expenditure *",NA,NA,NA,NA,NA,NA,NA,41836.304,59891.652,93434,NA,NA
Bangalore,Karnataka,Income,5471522,4553362,NA,NA,NA,NA,NA,19064020,28416740,NA,NA,NA
Bangalore,Karnataka,"Expenditure *",1181990,2500358,NA,NA,NA,NA,NA,18170945,24306967,NA,NA,NA
Belgaum,Karnataka,Income,280166.148,258228,290023,239728.11,232056,284147,721392,804560.622,1206303,785186,NA,NA
Belgaum,Karnataka,"Expenditure *",282028.866,263417,291253,256428.516,251267,267749,716692,785698,1622474,768013,NA,NA
"Hubli Dharwad",Karnataka,Income,616894.966,412816.847,374818.59,411231,NA,NA,NA,NA,NA,NA,NA,NA
"Hubli Dharwad",Karnataka,"Expenditure *",403002.137,219153.918,164704.988,234724.616,NA,NA,NA,NA,NA,NA,NA,NA
Mysore,Karnataka,Income,661957,692479,694858,759646,816384,834087,1232751,1479663,1194132,1792355,NA,NA
Mysore,Karnataka,"Expenditure *",497644,524298,508738,721885,811151,780400,1131417,732632,853442,1689034,NA,NA
Cochin,Kerala,Income,NA,NA,NA,1100536,NA,NA,NA,NA,NA,NA,NA,NA
Cochin,Kerala,"Expenditure *",NA,NA,NA,1078952,NA,NA,NA,NA,NA,NA,NA,NA
Kozhikode,Kerala,Income,208539,195573,214991,253121,321378,NA,NA,426371,510927,NA,NA,NA
Kozhikode,Kerala,"Expenditure *",197775,151471,223302,228417,251659,NA,NA,351653,374127,NA,NA,NA
Thiruvanathapuram,Kerala,Income,215464586,255215292,347861977,376036205,388567184,1226090076,1284916338,NA,NA,NA,NA,NA
Thiruvanathapuram,Kerala,"Expenditure *",211953533,210906059,247623314,225554680,254353642,297009834,403910703,NA,NA,NA,NA,NA
Amravati,Maharashtra,Income,409700,504100,512300,602917,628270,768310,NA,864214,932204,1568040,NA,1913866
Amravati,Maharashtra,"Expenditure *",311850,393200,287760,605660,617820,766220,NA,867126,967837,1388658,NA,1469430
Kolhapur,Maharashtra,Income,778742,920464,987699,983969,971677,NA,NA,1233668,1243805,1665549(A),2000031(A),2244094(RE)
Kolhapur,Maharashtra,"Expenditure *",767017,914952,989951,989262,945183,NA,NA,1206776,1202992,1636241(A),2016697(A),2244094(RE)
"Brihanmumbai Mahanagarpalika",Maharashtra,Income,40697809,42099730,48376759,54267480,58751599,67236305,81382188,103973823,118102524,132946301,137582936,152916760
"Brihanmumbai Mahanagarpalika",Maharashtra,"Expenditure *",31751462,36362594,46230058,49775875,46611010,49029150,71613730,81820711,107435327,115192442,126666574,129160332
Nagpur,Maharashtra,Income,1753686,2628438,2707861,3185633,3238171,NA,NA,NA,NA,NA,NA,NA
Nagpur,Maharashtra,"Expenditure *",2648172,2923446,3387722,3285721,3285721,NA,NA,NA,NA,NA,NA,NA
Nashik,Maharashtra,Income,2418936,2416566,3521186,5762426,3218813,3874253,4511113,5765119,5168031,NA,NA,NA
Nashik,Maharashtra,"Expenditure *",920634,1232569,1290069,1172048,1071037,1302866,4569946,5414449,5196408,NA,NA,NA
