"District Name","Election Office Name","No & Name of Assembly Constituency"
"West Jaintia Hills District","Office of the Deputy Commissioner West Jaintia Hills District, Jowai","1-Nartiang (ST)"
"West Jaintia Hills District","Office of the Deputy Commissioner West Jaintia Hills District, Jowai","2-Jowai (ST)"
"West Jaintia Hills District","Office of the Deputy Commissioner West Jaintia Hills District, Jowai","3-Raliang (ST)"
"West Jaintia Hills District","Office of the Deputy Commissioner West Jaintia Hills District, Jowai","4-Mowkaiaw (ST)"
"West Jaintia Hills District","Office of the Sub - Divisional Officer Amlarem","7-Amlarem (ST)"
"East Jaintia Hills District","Office of the Deputy Commissioner East Jaintia Hills District, Khliehriat","5-Sutnga Saipung (ST)"
"East Jaintia Hills District","Office of the Deputy Commissioner East Jaintia Hills District, Khliehriat","6-Khliehriat (ST)"
"Ri Bhoi District","Office of the Deputy Commissioner Ri Bhoi District, Nongpoh","8-Mawhati (ST)"
"Ri Bhoi District","Office of the Deputy Commissioner Ri Bhoi District, Nongpoh","9-Nongpoh (ST)"
"Ri Bhoi District","Office of the Deputy Commissioner Ri Bhoi District, Nongpoh","10-Jirang (ST)"
"Ri Bhoi District","Office of the Deputy Commissioner Ri Bhoi District, Nongpoh","11-Umsning (ST)"
"Ri Bhoi District","Office of the Deputy Commissioner Ri Bhoi District, Nongpoh","12-Umroi (ST)"
"East Khasi Hills District","Office of the Deputy Commissioner East Khasi Hills District, Shillong","13-Mawryngkneng (ST)"
"East Khasi Hills District","Office of the Deputy Commissioner East Khasi Hills District, Shillong","14-Pynthorumkhrah (GEN)"
"East Khasi Hills District","Office of the Deputy Commissioner East Khasi Hills District, Shillong","15-Mawlai (ST)"
"East Khasi Hills District","Office of the Deputy Commissioner East Khasi Hills District, Shillong","16-East Shillong (ST)"
"East Khasi Hills District","Office of the Deputy Commissioner East Khasi Hills District, Shillong","17-North Shillong (ST)"
"East Khasi Hills District","Office of the Deputy Commissioner East Khasi Hills District, Shillong","18-West Shillong (GEN)"
"East Khasi Hills District","Office of the Deputy Commissioner East Khasi Hills District, Shillong","19-South Shillong (GEN)"
"East Khasi Hills District","Office of the Deputy Commissioner East Khasi Hills District, Shillong","20-Mylliem (ST)"
"East Khasi Hills District","Office of the Deputy Commissioner East Khasi Hills District, Shillong","21-Nongthymmai (ST)"
"East Khasi Hills District","Office of the Deputy Commissioner East Khasi Hills District, Shillong","22-Nongkrem (ST)"
"East Khasi Hills District","Office of the Deputy Commissioner East Khasi Hills District, Shillong","23-Sohiong (ST)"
"East Khasi Hills District","Office of the Deputy Commissioner East Khasi Hills District, Shillong","24-Mawphlang (ST)"
"East Khasi Hills District","Office of the Deputy Commissioner East Khasi Hills District, Shillong","25-Mawsynram (ST)"
"East Khasi Hills District","Office of the Deputy Commissioner East Khasi Hills District, Shillong","27-Pynursla (ST)"
"East Khasi Hills District","Office of the Deputy Commissioner East Khasi Hills District, Shillong","29-Mawkynrew (ST)"
"East Khasi Hills District","Office of the Sub - Divisional Officer Sohra","26-Shella (ST)"
"East Khasi Hills District","Office of the Sub - Divisional Officer Sohra","28-Sohra (ST)"
"West Khasi Hills District","Office of the Sub - Divisional Officer Mairang","30-Mairang (ST)"
"West Khasi Hills District","Office of the Sub - Divisional Officer Mairang","31-Mawthadraishan (ST)"
"West Khasi Hills District","Office of the Deputy Commissioner West Khasi Hills District, Nongstoin","32-Nongstoin (ST)"
"West Khasi Hills District","Office of the Deputy Commissioner West Khasi Hills District, Nongstoin","33-Rambrai-Jyrngam (ST)"
"West Khasi Hills District","Office of the Deputy Commissioner West Khasi Hills District, Nongstoin","34-Mawshynrut (ST)"
"South West Khasi Hills District","Office of the Deputy Commissioner South West Khasi Hills District, Mawkyrwat","35-Ranikor (ST)"
"South West Khasi Hills District","Office of the Deputy Commissioner South West Khasi Hills District, Mawkyrwat","36-Mawkyrwat (ST)"
"East Garo Hills District","Office of the Deputy Commissioner East Garo Hills District, Williamnagar","37-Kharkutta (ST)"
"East Garo Hills District","Office of the Deputy Commissioner East Garo Hills District, Williamnagar","41-Songsak (ST)"
"East Garo Hills District","Office of the Deputy Commissioner East Garo Hills District, Williamnagar","42-Rongjeng (ST)"
"East Garo Hills District","Office of the Deputy Commissioner East Garo Hills District, Williamnagar","43-William Nagar (ST)"
"North Garo Hills District","Office of the Deputy Commissioner North Garo Hills District, Resubelpara","38-Mendipathar (ST)"
"North Garo Hills District","Office of the Deputy Commissioner North Garo Hills District, Resubelpara","39-Resubelpara (ST)"
"North Garo Hills District","Office of the Deputy Commissioner North Garo Hills District, Resubelpara","40-Bajengdoba (ST)"
"West Garo Hills District","Office of the Sub - Divisional Officer Dadenggiri","44-Raksamgre (ST)"
"West Garo Hills District","Office of the Sub - Divisional Officer Dadenggiri","45-Tikrikilla (ST)"
"West Garo Hills District","Office of the Sub - Divisional Officer Dadenggiri","49-Dadenggre (ST)"
"West Garo Hills District","Office of the Deputy Commissioner West Garo Hills District, Tura","46-Phulbari (GEN)"
"West Garo Hills District","Office of the Deputy Commissioner West Garo Hills District, Tura","47-Rajabala (GEN)"
