"Sl No",Department,"Sl No",Service
1,ESCOM,1,"Payment of Electricity Bills"
2,NA,2,"Payment of Additional Security Deposit of Electricity Connection"
3,"Karnataka Urban Water Supply and Sewerage Board Corporations",3,"Payment of Water Bills"
4,NA,4,"Payment of Fee for new water Connection   Available only in Hubli Dharwad"
5,NA,5,"Application for miscellaneous services of Water Board   Available only in Hubli Dharwad"
6,NA,6,"Application for change of Khata of water connection   Available only in Hubli Dharwad"
7,"City Corporation",7,"Payment of Property Tax"
8,NA,8,"Payment of UGD Tax    Available only in Tumkur"
9,NA,9,"Downloading and printing of SAS Form   Form 2"
10,NA,10,"Sale of Application forms for Akrama Sakrama Scheme   only in Tumkur"
11,NA,11,FOP
12,NA,12,"Application fee for Ashraya housing shceme"
13,BSNL,13,"Payment of Bills"
14,Cellone,14,"Payment of Bills"
15,Police,15,"Collection of Police Verification   Clearance Certificate Fee"
16,NA,16,"Payment of Application fees for Amplifier Sound system permission"
17,"Police Dept",17,"Collection of fee for Vehicle stolen report"
18,NWKRTC,18,"Sale of Monthly Bus Passes"
19,"Bangalore University",19,"Collection of Application Fees for Distance Education Courses"
20,NA,20,"Issue of forms for Distance Education"
22,RTO,22,"Issue of RC Extract"
23,NA,23,"Issue of DL Extract"
24,"Office of The Chief Electoral Officer of Karnataka",24,"Submission of forms for name inclusion, deletion, modification and transposition of electrol roll"
25,Aadhar,25,"Generate e Aadhar"
26,NA,26,"Enrolment for Aadhar"
27,NA,27,"Updation of personal details in Aadhar"
28,"Various Government Department",28,"Issue of Government department application forms"
29,"Food and Civil Supplies",29,"Filing of Application for New Ration Card Renewal of Ration Card"
30,NA,30,"Updation of Member Details in Ration Cards"
31,NA,31,"Willingness registration for non priority"
32,"Bellary Urban Development Authority   BUDA",32,"Payment of fees for various purposes for BUDA   Bellary Urban Development Authority"
33,SSLC,33,"Application for Photocopies"
34,NA,34,"Application for re totalling of marks"
35,NA,35,"Application for re valuation"
36,EESL,36,"Sale of LED Bulbs under Hosa Belaku Scheme"
37,"Karnataka Traffic Police",37,"Payment of Traffic violation fines of Mysuru Traffic Police"
38,RTE,38,"Application for RTE seats"
39,DULT,39,"Registration and Recharge of Smart Card for Public Bi Cycle sharing service   Trin Trin"
40,PUC,40,"Application for retotalling and revaluation and photocopoies"
41,NA,41,"Payment of fee for Migration certificate"
42,KSRTC,42,"KSRTC Bus Ticket booking"
43,"e Stamping",43,"Issue of e  Stamp Paper"
44,Nadakacheri,44,"Agricultural Family member Certificate"
45,NA,45,"Agricultural Labour Certificate"
46,NA,46,"Agriculturist Certificate"
47,NA,47,"Bonafide Certificate"
48,NA,48,"Caste and Income Certificate"
49,NA,49,"Caste Certificate   Cat A"
50,NA,50,"Caste Certificate   SC ST"
51,NA,51,"Domicile Certificate"
52,NA,52,"Income Certificate"
53,NA,53,"Income Certificate for compass for Employment"
54,NA,54,"Income Certificate for Employment Certificate"
55,NA,55,"Land holding Certificate"
56,NA,56,"Land less Certificate"
57,NA,57,"Living Certificate"
58,NA,58,"No Govt  Job Certificate"
59,NA,59,"No Re Marriage Certificate"
60,NA,60,"Non creamy layer Certificate"
61,NA,61,"Non Tenancy Certificate"
62,NA,62,"OBC Certificate   Central"
63,NA,63,"Population Certificate"
64,NA,64,"Residence Certificate"
65,NA,65,"Small   Marginal farmer Certificate"
66,NA,66,"Solvency Certificate"
67,NA,67,"Surviving Family Members Certificate"
68,NA,68,"Unemployment Certificate"
69,NA,69,"Widow Certificate"
70,NA,70,"HK Region Residence and Eligibility Certificate"
71,NA,71,"Minority Certificate"
72,NA,72,"Attestation of Family Tree"
73,"Health Department",73,"Issue of Arogya ID Cards"
74,"Seva Sindhu",74,"Providing senior citizen card"
75,NA,75,"Application for continuation of existing registration for next one three years"
76,NA,76,"Application for Educational Assistance"
77,NA,77,"Application for e Khata Transfer"
78,NA,78,"Application for New e Khata"
79,NA,79,"Application for Original Diploma Certificate"
80,NA,80,"Application for registration of Senior Citizen"
81,NA,81,"Application for Registration with Karnataka Building and Other Construction Worker  s Welfare Board"
82,NA,82,"Prayojane  sponsoring artist groups"
83,"Red Bus",83,"Red Bus Ticket Booking and Cancellation"
NA,NA,NA,NA
1,Vodafone,1,"Payment of Bills"
2,"Namaste Media",2,"Subscription for Government job alerts"
3,"Idea Cellular",3,"Payment of post paid Bills"
4,"Desk Nine Pvt Ltd",4,"Faclitation of legal documentation services   Legal desk com"
5,"Prop wiser",5,"Assisted digital loan services"
