S.No,"Name of the ULB",Region,Year,"No. of parks Taken up","No. of parks Completed","No. of parks Progress","No. of parks Balance","Amount sanctioned","Funding pattern GOI","Funding pattern GOTN"," Funding pattern ULB",Expenditure
1,"Avadi Municipality",Chengalpet,"2015 -16",1,1,0,0,2.06,1.03,0.41,0.62,2.06
2,"Avadi Municipality",Chengalpet,"2016 -17",7,0,7,0,4.13,2.07,0.83,1.24,3.12
3,"Avadi Municipality",Chengalpet,"2017 -20",4,0,4,0,4.07,2.03,0.81,1.22,1.68
Total,Total,Chengalpet,Total,12,1,11,0,10.26,5.13,2.05,3.08,6.85
4,"Cuddalore Municipality",Chengalpet,"2015 -16",3,3,0,0,2.13,1.07,0.426,0.64,2.13
5,"Cuddalore Municipality",Chengalpet,"2016 -17",5,0,5,0,2.64,1.32,0.528,0.79,1.66
6,"Cuddalore Municipality",Chengalpet,"2017 -20",5,0,5,0,2.56,1.28,0.51,0.77,1.34
NA,Total,Chengalpet,Total,13,3,10,0,7.33,3.66,1.47,2.2,5.13
7,"Kancheepuram Municipality",Chengalpet,"2015 -16",5,5,0,0,2.14,1.07,0.43,0.64,2.12
8,"Kancheepuram Municipality",Chengalpet,"2016 -17",6,0,6,0,2.64,1.32,0.53,0.79,1.73
9,"Kancheepuram Municipality",Chengalpet,"2017 -20",5,0,5,0,2.62,1.31,0.52,0.79,0.63
Total,Total,Chengalpet,Total,16,5,11,0,7.4,3.7,1.48,2.22,4.49
10,"Pallavaram Municipality",Chengalpet,"2015 -16",3,3,0,0,2.02,1.01,0.4,0.61,2.02
11,"Pallavaram Municipality",Chengalpet,"2016 -17",6,5,1,0,2.64,1.32,0.53,0.79,2.02
12,"Pallavaram Municipality",Chengalpet,"2017 -20",7,4,3,0,3.32,1.66,0.66,1,2.62
Total,Total,Chengalpet,Total,16,12,4,0,7.98,3.99,1.6,2.39,6.66
13,"Tambaram Municipality",Chengalpet,"2015 -16",4,4,0,0,2.14,1.07,0.43,0.64,2.16
14,"Tambaram Municipality",Chengalpet,"2016 -17",7,7,0,0,2.65,1.33,0.53,0.8,2.67
15,"Tambaram Municipality",Chengalpet,"2017 -20",6,2,4,0,3.379,1.69,0.68,1.01,2.72
Total,Total,Chengalpet,Total,17,13,4,0,8.17,4.08,1.63,2.45,7.55
16,Ambur,Vellore,"2015 - 16",2,2,0,0,1.33,0.66,0.27,0.4,1.37
17,"Thiruvannamalai Municipality",Vellore,"2015 -16",4,4,0,0,2.14,1.07,0.43,0.64,1.91
18,"Thiruvannamalai Municipality",Vellore,"2016 -17",5,0,5,0,1.93,0.97,0.39,0.58,0.71
19,"Thiruvannamalai Municipality",Vellore,"2017 -20",6,0,6,0,2.52,1.26,0.5,0.76,0.33
Total,Total,Vellore,Total,15,4,11,0,6.6,3.3,1.32,1.98,2.95
20,Hosur,Salem,"2015 -16",5,5,0,0,2.07,1.04,0.41,0.62,2.02
21,Hosur,Salem,"2016 -17",4,4,0,0,1.56,0.78,0.31,0.47,1.46
22,Hosur,Salem,"2017 -20",5,0,5,0,2.72,1.36,0.54,0.82,0.8
Total,Total,Salem,Total,14,9,5,0,6.35,3.18,1.27,1.91,4.28
23,"Kumbakonam Municipality",Thanjavur,"2015 -16",1,1,0,0,2.17,1.09,0.43,0.65,2.17
24,"Kumbakonam Municipality",Thanjavur,"2016 -17",6,3,3,0,2.61,1.31,0.52,0.78,2.37
25,"Kumbakonam Municipality",Thanjavur,"2017 -20",6,0,6,0,2.6,1.3,0.52,0.78,1.33
Total,Total,Thanjavur,Total,13,4,9,0,7.38,3.69,1.48,2.21,5.87
26,"Nagapattinam Municipality",Thanjavur,"2016 -17",5,0,5,0,1.94,0.97,0.39,0.58,1.31
27,"Nagapattinam Municipality",Thanjavur,"2017 -20",8,0,8,0,2.91,1.46,0.58,0.87,0.42
Total,Total,Thanjavur,Total,13,0,13,0,4.85,2,1,1,2
28,"Pudukottai Municipality",Thanjavur,"2015 -16",4,4,0,0,2.06,1.03,0.41,0.62,2.03
29,"Pudukottai Municipality",Thanjavur,"2016 -17",7,5,2,0,3.68,1.84,0.74,1.1,3.01
30,"Pudukottai Municipality",Thanjavur,"2017 -20",7,0,7,0,3.57,1.79,0.71,1.07,0.47
Total,Total,Thanjavur,Total,18,9,9,0,9.31,4.66,1.86,2.79,5.51
31,"Karaikudi Municipality",Madurai,"2015 -16",4,4,0,0,2.16,1.08,0.43,0.65,2.16
32,"Karaikudi Municipality",Madurai,"2016 -17",5,0,5,0,2.64,1.32,0.53,0.79,2.38
33,"Karaikudi Municipality",Madurai,"2017 -20",1,0,1,0,0.68,0.34,0.14,0.21,0.27
Total,Total,Madurai,Total,10,4,6,0,5.48,2.74,1.1,1.64,4.81
34,"Rameswaram Municipality",Madurai,"2016 -17",3,0,3,0,1.5,0.75,0.3,0.45,1.15
35,"Rameswaram Municipality",Madurai,"2017 -20",1,0,1,0,2.33,1.16,0.47,0.7,0.12
Total,Total,Madurai,Total,4,0,4,0,3.83,1.91,0.77,1.15,1.27
36,"Nagercoil Municipality",Tirunelveli,"2015 -16",7,7,0,0,1.99,0.99,0.4,0.6,1.98
37,"Nagercoil Municipality",Tirunelveli,"2016 -17",8,8,0,0,2.64,1.32,0.53,0.79,2.64
38,"Nagercoil Municipality",Tirunelveli,"2017 -20",4,0,4,0,2.55984,1.28,0.51,0.77,1.62
Total,Total,Tirunelveli,Total,19,15,4,0,7.19,3.59,1.44,2.16,6.24
39,Rajapalayam,Tirunelveli,"2015 -16",8,8,0,0,2.26,1.13,0.45,0.68,2.2
40,"Madurai Corporations",Madurai,"2015 -16",5,5,0,0,2.22,1.11,0.44,0.67,2.22
41,"Madurai Corporations",Madurai,"2016 -17",5,3,2,0,2.64,1.32,0.53,0.79,2.15
42,"Madurai Corporations",Madurai,"2017 -20",6,0,6,0,3.23,1.61,0.65,0.97,0.58
Total,Total,Madurai,Total,16,8,8,0,8.09,4.04,1.62,2.43,4.95
43,"Coimbatore Corporations",Coimbatore,"2015 -16",6,6,0,0,4.28,2.14,0.86,1.28,4.4
44,"Coimbatore Corporations",Coimbatore,"2016 -17",7,6,1,0,5.16,2.58,1.03,1.55,4.54
45,"Coimbatore Corporations",Coimbatore,"2017 -20",8,0,8,0,5.05,2.53,1.01,1.52,2.01
Total,Total,Coimbatore,Total,21,12,9,0,14.49,7.24,2.9,4.35,10.95
46,"Tiruchirappalli Corporations",Tiruchirapalli,"2015 -16",1,1,0,0,2.14,1.07,0.43,0.64,2.16
47,"Tiruchirappalli Corporations",Tiruchirapalli,"2016 -17",4,2,2,0,2.64,1.32,0.53,0.79,2.56
48,"Tiruchirappalli Corporations",Tiruchirapalli,"2017 -20",7,1,6,0,3.86,1.93,0.77,1.16,1.74
Total,Total,Tiruchirapalli,Total,12,4,8,0,8.64,4.32,1.73,2.59,6.46
49,"Tirunelveli Corporations",Tirunelveli,"2015 -16",5,5,0,0,2.72,1.36,0.54,0.82,2.7
50,"Tirunelveli Corporations",Tirunelveli,"2016 -17",4,4,0,0,2.26,1.13,0.45,0.68,2.26
51,"Tirunelveli Corporations",Tirunelveli,"2017 -20",5,0,5,0,3.06,1.53,0.61,0.92,1.52
Total,Total,Tirunelveli,Total,14,9,5,0,8.04,4.02,1.61,2.41,6.48
52,"Tiruppur Corporations",Tiruppur,"2015 -16",2,2,0,0,2.16,1.08,0.43,0.65,2.16
53,"Tiruppur Corporations",Tiruppur,"2016 -17",8,7,1,0,3.92,1.96,0.78,1.18,3.9
54,"Tiruppur Corporations",Tiruppur,"2017 -20",8,0,8,0,4.83,2.42,0.97,1.45,2.03
Total,Total,Tiruppur,Total,18,9,9,0,10.91,5.46,2.18,3.27,8.09
55,"Salem Corporations",Salem,"2015 -16",4,4,0,0,1.94,0.97,0.39,0.58,1.94
56,"Salem Corporations",Salem,"2016 -17",7,7,0,0,2.64,1.32,0.53,0.79,2.64
57,"Salem Corporations",Salem,"2017 -20",6,0,6,0,3.71,1.86,0.74,1.11,1.32
Total,Total,Salem,Total,17,11,6,0,8.29,4.15,1.66,2.49,5.9
58,"Erode Corporations",Erode,"2015 -16",4,4,0,0,2.27,1.13,0.45,0.68,2.2
59,"Erode Corporations",Erode,"2016 -17",4,0,4,0,2.64,1.32,0.53,0.79,2.21
60,"Erode Corporations",Erode,"2017 -20",12,0,12,0,6.18,3.09,1.24,1.85,1.24
Total,Total,Erode,Total,20,4,16,0,11.09,5.54,2.22,3.33,5.65
61,"Thoothukkudi Corporations",Thoothukudi,"2015 -16",2,2,0,0,1.99,1,0.4,0.6,1.99
62,"Thoothukkudi Corporations",Thoothukudi,"2016 -17",4,4,0,0,2.16,1.08,0.43,0.65,2.16
63,"Thoothukkudi Corporations",Thoothukudi,"2017 -20",3,0,3,0,2.57,1.28,0.51,0.77,1.08
Total,Total,Thoothukudi,Total,9,6,3,0,6.72,3.36,1.34,2.02,5.23
64,"Dindigul Corporations",Dindigul,"2015 -16",3,3,0,0,2.14,1.07,0.43,0.64,2.14
65,"Dindigul Corporations",Dindigul,"2016 -17",6,0,6,0,2.67,1.34,0.53,0.8,0.28
66,"Dindigul Corporations",Dindigul,"2017 -20",7,0,7,0,2.7,1.35,0.54,0.81,0.83
Total,Total,Dindigul,Total,16,3,13,0,7.51,3.75,1.5,2.25,3.25
67,"Thanjavur Corporations",Thanjavur,"2015 -16",3,3,0,0,2.14,1.07,0.43,0.64,2.14
68,"Thanjavur Corporations",Thanjavur,"2016 -17",6,0,6,0,2.64,1.32,0.53,0.79,2.51
69,"Thanjavur Corporations",Thanjavur,"2017 -20",4,0,4,0,3.09,1.54,0.62,0.93,1.86
Total,Total,Thanjavur,Total,13,3,10,0,7.87,3.93,1.57,2.36,6.51
70,"Vellore Corporations",Vellore,"2015 -16",4,4,0,0,2.01,1.01,0.4,0.6,2.01
71,"Vellore Corporations",Vellore,"2016 -17",4,0,4,0,2.47,1.23,0.49,0.74,1.56
72,"Vellore Corporations",Vellore,"2017 -20",4,0,4,0,2.43,1.21,0.49,0.73,0.65
Total,Total,Vellore,Total,12,4,8,0,6.9,3.45,1.38,2.07,4.22
Total,"Grand Total",Total,"2015 -16",90,90,0,0,52.67,26.33,10.53,15.8,52.39
Total,"Grand Total",Total,"2016 -17",133,65,68,0,65.04,32.52,13.01,19.51,53.01
Total,"Grand Total",Total,"2017 -20",135,7,128,0,76.56,38.28,15.31,22.97,29.23
"Grand Total","Grand Total",Total,Total,358,162,196,0,194.26,97.13,38.85,58.28,134.63
