Distname,totalreceipts,totaldisposal,totalapproved,totalrejected
Bagalkot,72734,73222,69247,3817
Ballari,42795,55196,48099,6811
Belagavi,185424,188303,173532,14490
Bengaluru,270100,273631,250961,21577
"Bengaluru Rural",38123,38194,35471,2337
Bidar,61137,61882,52664,9091
Chamarajanagar,32698,37168,34256,2882
Chikkaballapura,62904,64873,60977,3829
Chikkamagaluru,53587,54058,50451,3533
Chitradurga,66724,64050,57945,6039
"Dakshina Kannada",80737,82595,78627,3761
Davanagere,56997,61192,55464,5596
Dharwad,73828,78470,70800,7174
Gadag,44351,45425,41420,3873
Hassan,82724,84994,80071,4835
Haveri,58466,61503,55296,5990
Kalaburagi,92837,94266,82794,11419
Kodagu,16587,17608,16532,1061
Kolar,47568,47586,43206,4331
Koppal,60568,61767,56499,4945
Mandya,95470,95412,90428,4906
Mysuru,110008,120582,109142,11134
Raichur,71514,76520,66439,7765
Ramanagara,39042,40054,37745,2173
Shivamogga,81065,79054,72719,6149
Tumakuru,111541,114531,106319,8010
Udupi,45703,45549,44286,1226
"Uttara Kannada",54780,56368,53199,3138
Vijayanagara,43899,49076,42628,6417
Vijayapura,84847,91025,81611,9300
Yadgir,47217,51064,46523,4471
