"SL. NO.",State,"Const No.",Constituency,"Constituency Type","Total Valid Votes","Winner Name","Social Category",Gender,Party,"Party Symbol","Vote Secured","Runner Up Name","Social Category",Gender,Party,"Party Symbol","Vote Secured",Margin,"Margin %"
1,"Andhra Pradesh",1,Araku,ST,1113975,"GUMMA THANUJA RANI",ST,FEMALE,BJP,Lotus,426425,"KOTHAPALLI GEETHA",ST,FEMALE,BJP,Lotus,426425,50580,4.54
2,"Andhra Pradesh",2,Srikakulam,GEN,1211081,"KINJARAPU RAMMOHAN NAIDU",GENERAL,MALE,YSRCP,"Ceiling fan",426427,"TILAK PERADA",GENERAL,MALE,YSRCP,"Ceiling fan",426427,327901,27.08
3,"Andhra Pradesh",3,Vizianagaram,GEN,1275992,"APPALANAIDU KALISETTI",GENERAL,MALE,YSRCP,"Ceiling fan",493762,"BELLANA CHANDRASEKHAR",GENERAL,MALE,YSRCP,"Ceiling fan",493762,249351,19.54
4,"Andhra Pradesh",4,Visakhapatnam,GEN,1381812,"SRIBHARAT MATHUKUMILI",GENERAL,FEMALE,YSRCP,"Ceiling fan",403220,"JHANSI LAKSHMI. BOTCHA.",GENERAL,FEMALE,YSRCP,"Ceiling fan",403220,504247,36.49
5,"Andhra Pradesh",5,Anakapalle,GEN,1299097,C.M.RAMESH,GENERAL,MALE,YSRCP,"Ceiling fan",465539,"BUDI MUTYALA NAIDU",GENERAL,MALE,YSRCP,"Ceiling fan",465539,296530,22.83
6,"Andhra Pradesh",6,Kakinada,GEN,1312583,"TANGELLA UDAY SRINIVAS (TEA TIME UDAY)",GENERAL,MALE,YSRCP,"Ceiling fan",500208,"CHALAMALASETTY SUNIL",GENERAL,MALE,YSRCP,"Ceiling fan",500208,229491,17.48
7,"Andhra Pradesh",7,Amalapuram,SC,1287588,"G M HARISH (BALAYOGI)",SC,MALE,YSRCP,"Ceiling fan",454785,"RAPAKA VARAPRASADA RAO",SC,MALE,YSRCP,"Ceiling fan",454785,342196,26.58
8,"Andhra Pradesh",8,Rajahmundry,GEN,1300862,"DAGGUBATI PURANDHESHWARI",GENERAL,MALE,YSRCP,"Ceiling fan",487376,"DR. GUDURI SRINIVAS",GENERAL,MALE,YSRCP,"Ceiling fan",487376,239139,18.38
9,"Andhra Pradesh",9,Narsapuram,GEN,1223597,"BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA)",GENERAL,FEMALE,YSRCP,"Ceiling fan",430636,"UMABALA GUDURI",GENERAL,FEMALE,YSRCP,"Ceiling fan",430636,276864,22.63
10,"Andhra Pradesh",10,Eluru,GEN,1359534,"PUTTA MAHESH KUMAR",GENERAL,MALE,YSRCP,"Ceiling fan",564494,"KARUMURI SUNIL KUMAR",GENERAL,MALE,YSRCP,"Ceiling fan",564494,181857,13.38
11,"Andhra Pradesh",11,Machilipatnam,GEN,1299878,"BALASHOWRY VALLABHANENI",GENERAL,MALE,YSRCP,"Ceiling fan",501260,"SIMHADRI CHANDRA SEKHAR RAO",GENERAL,MALE,YSRCP,"Ceiling fan",501260,223179,17.17
12,"Andhra Pradesh",12,Vijayawada,GEN,1355212,"KESINENI SIVANATH (CHINNI)",GENERAL,MALE,YSRCP,"Ceiling fan",512069,"KESINENI SRINIVAS (NANI)",GENERAL,MALE,YSRCP,"Ceiling fan",512069,282085,20.81
13,"Andhra Pradesh",13,Guntur,GEN,1417984,"DR CHANDRA SEKHAR PEMMASANI",GENERAL,MALE,YSRCP,"Ceiling fan",520253,"KILARI VENKATA ROSAIAH",GENERAL,MALE,YSRCP,"Ceiling fan",520253,344695,24.31
14,"Andhra Pradesh",14,Narsaraopet,GEN,1488370,"LAVU SRIKRISHNA DEVARAYALU",GENERAL,MALE,YSRCP,"Ceiling fan",648267,"ANIL KUMAR POLUBOINA",GENERAL,MALE,YSRCP,"Ceiling fan",648267,159729,10.73
15,"Andhra Pradesh",15,Bapatla,SC,1287022,"KRISHNA PRASAD TENNETI",SC,MALE,YSRCP,"Ceiling fan",509462,"NANDIGAM SURESH BABU",SC,MALE,YSRCP,"Ceiling fan",509462,208031,16.16
16,"Andhra Pradesh",16,Ongole,GEN,1409009,"MAGUNTA SREENIVASULU REDDY",GENERAL,MALE,YSRCP,"Ceiling fan",651695,"DR CHEVIREDDY BHASKAR REDD",GENERAL,MALE,YSRCP,"Ceiling fan",651695,50199,3.56
