State/UT,"No. of Seats","Constituencies With Candidates Numbering - >1 < =15","Constituencies With Candidates Numbering - >15 < =31","Constituencies With Candidates Numbering - >31 < =47","Constituencies With Candidates Numbering - >47 < =63","Constituencies With Candidates Numbering - >63","Constituencies With Candidates Numbering - Total Candidates","Candidates In a Constituency - Min","Candidates In a Constituency - Max","Candidates In a Constituency - Avg"
"Andhra Pradesh",25,14,10,1,0,0,454,12,33,18
"Arunachal Pradesh",2,2,0,0,0,0,14,6,8,7
Assam,14,13,1,0,0,0,143,3,24,10
Bihar,40,36,4,0,0,0,497,5,29,12
Goa,2,2,0,0,0,0,16,8,8,8
Gujarat,25,24,1,0,0,0,265,3,18,11
Haryana,10,1,9,0,0,0,223,14,31,22
"Himachal Pradesh",4,4,0,0,0,0,37,5,12,9
Karnataka,28,13,15,0,0,0,474,8,30,17
Kerala,20,20,0,0,0,0,194,5,14,10
"Madhya Pradesh",29,24,5,0,0,0,369,5,22,13
Maharashtra,48,11,27,10,0,0,1121,9,41,23
Manipur,2,2,0,0,0,0,10,4,6,5
Meghalaya,2,2,0,0,0,0,10,4,6,5
Mizoram,1,1,0,0,0,0,6,6,6,6
Nagaland,1,1,0,0,0,0,3,3,3,3
Odisha,21,21,0,0,0,0,207,4,14,10
Punjab,13,1,11,1,0,0,328,14,43,25
Rajasthan,25,24,1,0,0,0,266,4,18,11
Sikkim,1,1,0,0,0,0,14,14,14,14
"Tamil Nadu",39,9,24,5,1,0,950,9,54,24
Tripura,2,2,0,0,0,0,18,9,9,9
"Uttar Pradesh",80,78,2,0,0,0,851,4,28,11
"West Bengal",42,38,4,0,0,0,507,7,20,12
Chhattisgarh,11,5,4,2,0,0,220,9,38,20
Jharkhand,14,6,8,0,0,0,244,7,27,17
Uttarakhand,5,5,0,0,0,0,55,7,14,11
Telangana,17,1,9,7,0,0,525,12,45,31
"Andaman & Nicobar Islands",1,1,0,0,0,0,12,12,12,12
Chandigarh,1,0,1,0,0,0,19,19,19,19
"Dadra & Nagar Haveli and Daman & Diu",2,2,0,0,0,0,12,5,7,6
"NCT OF Delhi",7,0,7,0,0,0,162,17,28,23
Lakshadweep,1,1,0,0,0,0,4,4,4,4
Puducherry,1,0,1,0,0,0,26,26,26,26
"Jammu and Kashmir",5,1,4,0,0,0,100,12,24,20
Ladakh,1,1,0,0,0,0,3,3,3,3
"Grand Total",542,367,148,26,1,0,8359,3,54,15
