"Sl. No.",State/Ut,"General(Including NRIs) - M","General(Including NRIs) - F","General(Including NRIs) - TG","General(Including NRIs) - Total","Service - M","Service - F","Service - Total","Grand - M","Grand - F","Grand - TG","Grand - Total","NRIs - M","NRIs - F","NRIs - TG","NRIs - Total"
1,"Andhra Pradesh",20274144,21056137,3421,41333702,65707,2478,68185,20339851,21058615,3421,41401887,6248,1677,2,7927
2,"Arunachal Pradesh",438433,454256,5,892694,5645,103,5748,444078,454359,5,898442,0,0,0,0
3,Assam,12262098,12243734,404,24506236,64026,1852,65878,12326124,12245586,404,24572114,13,6,0,19
4,Bihar,40348829,36738883,2219,77089931,160700,8948,169648,40509529,36747831,2219,77259579,82,7,0,89
5,Goa,571617,607715,12,1179344,292,8,300,571909,607723,12,1179644,60,24,0,84
6,Gujarat,24661945,23319045,1456,47982446,26539,960,27499,24688484,23320005,1456,48009945,674,211,0,885
7,Haryana,10652345,9423956,467,20076768,106258,4885,111143,10758603,9428841,467,20187911,550,196,0,746
8,"Himachal Pradesh",2848326,2797218,35,5645579,64749,1641,66390,2913075,2798859,35,5711969,25,9,0,34
9,Karnataka,27366508,27354155,5012,54725675,45026,1631,46657,27411534,27355786,5012,54772332,2242,905,1,3148
10,Kerala,13415293,14333499,367,27749159,55215,2634,57849,13470508,14336133,367,27807008,83765,6065,9,89839
11,"Madhya Pradesh",29068485,27523800,1221,56593506,73003,2343,75346,29141488,27526143,1221,56668852,83,24,0,107
12,Maharashtra,48312428,44625742,5720,92943890,114121,3749,117870,48426549,44629491,5720,93061760,3727,1370,0,5097
13,Manipur,980989,1048364,248,2029601,20773,983,21756,1001762,1049347,248,2051357,0,0,0,0
14,Meghalaya,1099517,1127047,3,2226567,3796,88,3884,1103313,1127135,3,2230451,2,3,0,5
15,Mizoram,414805,441559,0,856364,4872,91,4963,419677,441650,0,861327,0,0,0,0
16,Nagaland,656729,660807,0,1317536,7731,116,7847,664460,660923,0,1325383,0,0,0,0
17,Odisha,17049255,16614000,3464,33666719,47885,2361,50246,17097140,16616361,3464,33716965,157,40,0,197
18,Punjab,11286727,10174241,773,21461741,102304,3151,105455,11389031,10177392,773,21567196,1227,386,0,1613
19,Rajasthan,27738504,25627971,628,53367103,136029,4878,140907,27874533,25632849,628,53508010,205,84,0,289
20,Sikkim,232401,231736,3,464140,2470,33,2503,234871,231769,3,466643,0,0,0,0
21,"Tamil Nadu",30605793,31719665,8467,62333925,69151,1871,71022,30674944,31721536,8467,62404947,2805,627,0,3432
22,Tripura,1436644,1423574,69,2860287,10407,202,10609,1447051,1423776,69,2870896,0,0,0,0
23,"Uttar Pradesh",82053859,72043178,6633,154103670,286505,12937,299442,82340364,72056115,6633,154403112,615,244,0,859
24,"West Bengal",38613415,37394818,1773,76010006,110601,4173,114774,38724016,37398991,1773,76124780,155,63,0,218
25,Chhattisgarh,10238947,10418751,732,20658430,19326,911,20237,10258273,10419662,732,20678667,13,2,0,15
26,Jharkhand,13145652,12686973,421,25833046,42836,2010,44846,13188488,12688983,421,25877892,101,27,0,128
27,Uttarakhand,4317579,4020038,297,8337914,90554,2633,93187,4408133,4022671,297,8431101,35,13,0,48
28,Telangana,16513014,16700574,2760,33216348,15352,618,15970,16528366,16701192,2760,33232318,2826,643,1,3470
29,"Andaman & Nicobar Islands",164012,151132,4,315148,560,37,597,164572,151169,4,315745,0,0,0,0
30,Chandigarh,341544,318226,35,659805,632,115,747,342176,318341,35,660552,24,19,0,43
31,"Dadra & Nagar Haveli and Daman & Diu",215793,201420,0,417213,23,0,23,215816,201420,0,417236,32,32,0,64
32,"NCT OF Delhi",8212794,6987914,1228,15201936,10951,1751,12702,8223745,6989665,1228,15214638,429,221,0,650
33,Lakshadweep,29278,28506,0,57784,167,2,169,29445,28508,0,57953,0,0,0,0
34,Puducherry,480569,542979,151,1023699,307,18,325,480876,542997,151,1024024,316,52,0,368
35,"Jammu and Kashmir",4451794,4274321,166,8726281,74721,1346,76067,4526515,4275667,166,8802348,0,0,0,0
36,Ladakh,92691,92117,0,184808,5699,69,5768,98390,92186,0,190576,0,0,0,0
"Grand Total","Grand Total",500592756,475408051,48194,976049001,1844933,71626,1916559,502437689,475479677,48194,977965560,106411,12950,13,119374
