States/UTs,"National Parties - Indian National Congress (INC)","National Parties - Bahujan Samaj Party (BSP)","National Parties - Communist Party of India (CPI)","National Parties - Communist Party of India (Marxist)","National Parties - Nationalist Congress Party (NCP)","National Parties - Bhartiya Janta Party (BJP)","National Parties - Rashtriya Janta Dal (RJD)","National Parties - Total (National Parties)","State Parties","Registered (Unorgnised) Parties",Indepedents,"Total Constituencies"
"Andhra Pradesh",33,NA,NA,NA,NA,NA,NA,33,8,8,NA,49
"Arunachal Pradesh",2,NA,NA,NA,NA,NA,NA,2,NA,8,NA,10
Assam,7,NA,NA,NA,NA,4,NA,4,2,8,NA,14
Bihar,2,NA,NA,NA,NA,12,4,16,20,2,2,40
Chhattisgarh,1,NA,NA,NA,NA,10,NA,10,NA,1,NA,11
Goa,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,2
Gujarat,11,NA,NA,NA,NA,15,NA,15,NA,11,NA,26
Haryana,9,NA,NA,NA,NA,NA,NA,9,NA,1,NA,10
"Himachal Pradesh",1,NA,NA,NA,NA,3,NA,3,NA,1,NA,4
"Jammu & Kashmir",2,NA,NA,NA,NA,NA,NA,2,3,NA,1,6
Jharkhand,1,NA,NA,NA,NA,8,NA,9,NA,NA,2,11
Karnataka,6,NA,NA,NA,NA,19,NA,25,3,NA,NA,28
Kerala,13,NA,NA,4,NA,NA,NA,17,3,NA,NA,20
"Madhya Pradesh",12,1,NA,NA,NA,16,NA,29,NA,NA,NA,29
Maharashtra,17,NA,NA,NA,8,9,NA,34,NA,13,1,48
Manipur,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2
Meghalaya,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2
Mizoram,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Odisha,6,NA,1,NA,NA,NA,NA,7,14,NA,NA,21
Punjab,8,NA,NA,NA,NA,1,NA,9,4,NA,NA,13
Rajasthan,20,NA,NA,NA,NA,4,NA,24,NA,NA,1,25
Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
"Tamil Nadu",8,NA,1,1,NA,NA,NA,10,28,1,NA,39
Tripura,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2
"Uttar Pradesh",21,20,NA,NA,NA,10,NA,51,28,NA,1,80
Uttarakhand,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5
"West Bengal",6,NA,2,9,NA,1,NA,18,21,2,1,42
"A. & N. Islands",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1
Chandigarh,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"Dadra & Nagar Haveli",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1
"Daman & Diu",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1
Delhi,7,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,7
Lakshadweep,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
Puducherry,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
