"State/Union Territory","Total Constituencies 2009","Total Constituencies 2014","Bhartiya Janta Party 2009","Bhartiya Janta Party 2014","Bahujan Samaj Party 2009","Bahujan Samaj Party 2014","Communist Party of India 2009","Communist Party of India 2014","Communist Party of India (Marxist) 2009","Communist Party of India (Marxist) 2014","Indian National Congress 2009","Indian National Congress 2014","Nationalist Congress Party 2009","Nationalist Congress Party 2014","Total National Parties 2009","Total National Parties 2014","State Parties 2009","State Parties 2014","Unrecognised (Registered) Parties 2009","Unrecognised (Registered) Parties 2014","Independents 2009","Independents 2014","Total (Other than Recognized National Parties) 2009","Total (Other than Recognized National Parties) 2014"
"Andhra Pradesh",42,42,0,3,0,0,0,0,0,0,33,2,0,0,33,5,8,27,1,10,0,0,9,37
"Arunachal Pradesh",2,2,0,1,0,0,0,0,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,0
Assam,14,14,4,7,0,0,0,0,0,0,7,3,0,0,11,10,2,3,1,0,0,1,3,4
Bihar,40,40,12,22,0,0,0,0,0,0,2,2,0,1,18,25,20,12,0,3,2,0,22,15
Chhattisgarh,11,11,10,10,0,0,0,0,0,0,1,1,0,0,11,11,0,0,0,0,0,0,0,0
Goa,2,2,1,2,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0
Gujarat,26,26,15,26,0,0,0,0,0,0,11,0,0,0,26,26,0,0,0,0,0,0,0,0
Haryana,10,10,0,7,0,0,0,0,0,0,9,1,0,0,9,8,0,2,1,0,0,0,1,2
"Himachal Pradesh",4,4,3,4,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0
"Jammu and Kashmir",6,6,0,3,0,0,0,0,0,0,2,0,0,0,2,3,3,3,0,0,1,0,4,3
Jharkhand,14,14,8,12,0,0,0,0,0,0,1,0,0,0,9,12,2,2,1,0,2,0,5,2
Karnataka,28,28,19,17,0,0,0,0,0,0,6,9,0,0,25,26,3,2,0,0,0,0,3,2
Kerala,20,20,0,0,0,0,0,1,4,5,13,8,0,0,17,14,3,3,0,1,0,2,3,6
"Madhya Pradesh",29,29,16,27,1,0,0,0,0,0,12,2,0,0,29,29,0,0,0,0,0,0,0,0
Maharashtra,48,48,9,23,0,0,0,0,0,0,17,2,8,4,34,29,11,18,2,1,1,0,14,19
Manipur,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0
Meghalaya,2,2,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,0,0,0,1
Mizoram,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Nagaland,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Odisha,21,21,0,1,0,0,1,0,0,0,6,0,0,0,7,1,14,20,0,0,0,0,14,20
Punjab,13,13,1,2,0,0,0,0,0,0,8,3,0,0,9,5,4,4,0,4,0,0,4,8
Rajasthan,25,25,4,25,0,0,0,0,0,0,20,0,0,0,24,25,0,0,0,0,1,0,1,0
Sikkim,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
"Tamil Nadu",39,39,0,1,0,0,1,0,1,0,8,0,0,0,10,1,28,38,1,0,0,0,29,38
Tripura,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0
"Uttar Pradesh",80,80,10,71,20,0,0,0,0,0,21,2,0,0,51,73,23,5,5,2,1,0,29,7
Uttarakhand,5,5,0,5,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0
"West Bengal",42,42,1,2,0,0,2,0,9,2,6,4,0,0,18,8,23,34,0,0,1,0,24,34
"Andaman and Nicobar Islands",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Chandigarh,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"Dadra and Nagar Haveli",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Daman and Diu",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Delhi,7,7,0,7,0,0,0,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,0,0
Lakshadweep,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Puducherry,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
