"Name of the Municipality","Vehicles Available for Primary Collection - Push Cart","Vehicles Available for Primary Collection - Tri Cycles","Vehicles Available for Primary Collection - Auto","Vehicles Available for Primary Collection - Mini Lorry","Vehicles Available for Primary Collection - Tractor","Vehicles Available for Primary Collection - Power Tiller","Vehicles Available for Primary Collection - Others","Vehicles Available for Secondary Collection and Transportation - Dumper Placer","Vehicles Available for Secondary Collection and Transportation - Compactor","Vehicles Available for Secondary Collection and Transportation - Lorry","Vehicles Available for Secondary Collection and Transportation - Tractor","Vehicles Available for Secondary Collection and Transportation - Excavator cum front end Loader","Vehicles Available for Secondary Collection and Transportation - JCB","Vehicles Available for Secondary Collection and Transportation - Others","Storage Bins - Storage Bins","Storage Bins - Dumper Placer Bins","Storage Bins - Other Storage Bins","Land for compost yard in acres - Required (Acre)","Land for compost yard in acres - Available (Acre)","Land for compost yard in acres - Balance required (Acre)"
"Coimbatore,Tamil Nadu",2480,0,16,12,0,7,4,51,48,34,12,4,8,3,1754,1471,30,45,654.54,0
"Madurai,Tamil Nadu",50,400,30,NA,NA,NA,NA,65,5,8,NA,5,5,NA,200,900,NA,NA,NA,NA
"Tiruchirappalli,Tamil Nadu",1480,0,0,0,0,0,0,28,4,0,5,1,1,47,260,429,587,47.7,47.7,0
"Tirunelveli,Tamil Nadu",43,250,2,0,0,0,0,6,4,10,1,0,4,0,287,155,0,47,92,0
"Salem,Tamil Nadu",450,0,22,0,0,0,0,6,2,20,69,3,2,0,0,46,0,0,136.5,0
"Erode,Tamil Nadu",325,71,NA,NA,NA,3,NA,16,1,5,14,NA,1,NA,1300,371,54,50,30.87,20
"Tiruppur,Tamil Nadu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thoothukudi,Tamil Nadu",2,84,NA,NA,1,NA,NA,4,NA,NA,1,NA,1,NA,NA,108,NA,36,36,NA
"Vellore,Tamil Nadu",107,100,4,NA,NA,5,NA,5,2,7,8,NA,NA,NA,NA,152,52,50,23.07,27
"Chengalpattu,Tamil Nadu",NA,NA,6,NA,NA,NA,NA,1,NA,NA,4,NA,1,NA,NA,30,NA,6.4,6.84,-0.44
"Kancheepuram,Tamil Nadu",120,45,NA,1,1,1,NA,2,NA,4,1,NA,1,NA,NA,65,NA,NA,39.41,NA
"Madurantagam,Tamil Nadu",NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,150,3,4.5,0
"Pallavaram,Tamil Nadu",NA,34,9,6,NA,NA,NA,4,2,2,NA,NA,1,NA,177,36,NA,25,0,25
"Tambaram,Tamil Nadu",0,63,7,3,0,0,0,4,3,4,0,1,0,0,40,86,0,25,4.5,21.5
"Anakaputtur,Tamil Nadu",NA,30,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,5,22.48,NA
"Maraimalai Nagar,Tamil Nadu",NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,15,5.56,9.44
"Pammal,Tamil Nadu",NA,70,NA,1,2,1,NA,NA,1,1,2,NA,1,2,60,NA,NA,6.5,1.1,5.4
"Avadi,Tamil Nadu",NA,20,1,2,NA,NA,NA,2,4,6,0,NA,1,NA,NA,60,3,35,7.7,27.3
"Tiruvallur,Tamil Nadu",NA,10,2,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,45,NA,8.5,6.45,2.05
"Poonammallee,Tamil Nadu",NA,22,NA,NA,1,NA,NA,1,NA,2,1,NA,NA,NA,NA,45,NA,6,NA,6
"Tiruthani,Tamil Nadu",21,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,4.47,4.03,0.44
"Thiruverkadu,Tamil Nadu",NA,10,NA,NA,4,NA,NA,NA,1,5,NA,NA,NA,NA,NA,50,NA,7,0,7
"Chidambaram,Tamil Nadu",16,33,NA,NA,NA,NA,NA,2,NA,4,1,NA,1,NA,NA,42,NA,16.22,9.92,6.3
"Cuddalore,Tamil Nadu",15,37,0,0,0,0,0,1,0,6,3,1,0,0,0,22,0,22.25,38.23,0
"Nellikuppam,Tamil Nadu",0,0,1,1,0,0,0,1,0,1,NA,NA,0,0,NA,32,0,6,5.18,5
"Panruti,Tamil Nadu",12,1,NA,NA,NA,NA,NA,1,NA,3,1,NA,1,NA,NA,31,NA,6,2.5,3.5
"Virudhachalam,Tamil Nadu",NA,20,NA,2,NA,NA,NA,28,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"Arakonam,Tamil Nadu",72,NA,2,NA,NA,NA,NA,1,NA,1,3,1,NA,NA,NA,8,NA,NA,10,NA
"Arani,Tamil Nadu",33,NA,4,2,1,1,NA,1,NA,1,1,NA,NA,NA,19,19,NA,6,1.82,4.18
"Arcot,Tamil Nadu",60,NA,NA,NA,NA,2,240,NA,20,4,1,NA,NA,1,NA,NA,NA,7.72,1.72,6
"Gudiyatham,Tamil Nadu",NA,24,4,2,NA,NA,NA,1,NA,NA,2,NA,1,NA,NA,24,NA,14.78,14.78,NA
"Kallakurichi,Tamil Nadu",42,NA,NA,NA,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,31,NA,5.18,4.11,1.07
"Jolarpet,Tamil Nadu",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,45,NA,3,1.68,1.32
"Melvisharam,Tamil Nadu",12,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,6,1,5
"Pernambut,Tamil Nadu",30,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5
"Thiruvathipuram,Tamil Nadu",30,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10,0.5,9.5
"Vandavasi,Tamil Nadu",10,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4.16,4.16,NA
"Walajapettai,Tamil Nadu",NA,10,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,10.82,NA
"Tirupathur,Tamil Nadu",44,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,2,176,22,NA,8.51,8.56,NA
"Ambur,Tamil Nadu",20,25,NA,NA,NA,NA,NA,1,NA,3,2,NA,1,NA,NA,25,NA,11.5,11.94,NA
"Ranipet,Tamil Nadu",NA,20,6,1,2,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,12.5,NA
"Vaniyambadi,Tamil Nadu",70,NA,NA,2,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,52,25,NA,NA,NA
"Villupuram,Tamil Nadu",70,20,NA,NA,NA,NA,NA,3,NA,2,NA,NA,1,NA,NA,35,NA,15,8.34,6.66
"Tindivanam,Tamil Nadu",56,10,NA,NA,NA,NA,NA,2,NA,2,1,NA,NA,NA,NA,40,NA,9.21,6.48,2.43
"Thiruvanna malai,Tamil Nadu",100,10,NA,NA,NA,NA,NA,3,NA,8,NA,NA,1,NA,NA,64,NA,15,15,NA
"Idappadi,Tamil Nadu",NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3.3,7
"Komarapalayam,Tamil Nadu",84,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,34,NA,NA,NA,NA
"Krishnagiri,Tamil Nadu",12,NA,10,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,10,5.26,NA
"Rasipuram,Tamil Nadu",54,NA,4,2,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,36,NA,5.5,10.54,NA
"Kulithalai,Tamil Nadu",36,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,8.92,NA
"Narasingapuram,Tamil Nadu",15,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,NA,3
"Pallipalayam,Tamil Nadu",21,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,5,6.16,NA
"Mettur,Tamil Nadu",60,NA,2,NA,NA,NA,NA,1,NA,3,1,NA,1,NA,NA,38,NA,10,10,NA
"Attur,Tamil Nadu",30,NA,4,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,14,NA,6.18,6.42,NA
"Namakkal,Tamil Nadu",60,6,2,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,22.06,NA
"Tiruchengode,Tamil Nadu",70,NA,3,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,15,1,NA,11.04,11.04,NA
"Dharmapuri,Tamil Nadu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hosur,Tamil Nadu",10,NA,8,NA,NA,NA,NA,NA,NA,6,1,NA,NA,11,NA,NA,NA,25,7.9,17.1
"Karur,Tamil Nadu",100,45,2,35,1,NA,NA,3,NA,12,NA,NA,NA,NA,NA,75,NA,NA,24.5,NA
"Pollachi,Tamil Nadu",125,15,0,1,0,0,0,5,2,1,0,1,1,0,65,186,0,12.36,16.68,0
"Mettupalayam,Tamil Nadu",35,0,0,2,0,0,0,2,0,2,0,0,1,0,0,120,0,9.28,10,0
"Valparai,Tamil Nadu",10,0,0,0,0,1,0,0,0,0,2,0,0,0,44,0,0,10,1,9
"Udumalpet,Tamil Nadu",104,0,0,1,0,0,0,3,0,1,0,1,0,0,18,102,0,6.73,6.73,0
"Dharapuram,Tamil Nadu",65,20,0,1,0,0,0,2,0,0,0,1,1,0,0,90,0,9.12,10.18,0
"Kangeyam,Tamil Nadu",0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.63,4.63,0
"Palladam,Tamil Nadu",50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,53,4,5.27,0
"Vellakoil,Tamil Nadu",40,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,4.76,4.3,0.46
"Gobichettipalayam,Tamil Nadu",130,30,0,0,0,0,0,2,0,0,0,0,0,0,36,54,0,7.72,10.48,0
"Sathyamangalam,Tamil Nadu",30,14,0,0,0,0,0,2,0,1,1,0,0,0,0,24,0,4.72,6.75,0
"Bhavani,Tamil Nadu",30,0,3,0,0,0,0,2,0,0,0,0,0,0,0,58,0,5.41,10.44,0
"Punjaipuliampatti,Tamil Nadu",44,0,0,0,0,1,0,0,0,0,1,0,0,0,22,0,0,2,4.09,0
"Udhagamandalam,Tamil Nadu",20,0,0,3,0,0,0,4,0,1,0,0,0,0,0,135,261,10,15,0
"Coonoor,Tamil Nadu",30,0,0,2,0,0,0,2,0,1,0,0,0,0,0,80,0,7.01,11,0
"Gudalur,Tamil Nadu",13,0,0,1,0,0,0,1,0,0,1,0,0,0,0,8,0,5.95,4,0
"Nelliyalam,Tamil Nadu",33,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,5.85,5,0.85
"Thanjavur,Tamil Nadu",240,NA,25,2,0,0,0,3,0,8,2,0,2,0,0,65,NA,NA,20.23,NA
"Kumbakonam,Tamil Nadu",135,60,4,7,0,0,0,5,1,0,0,0,1,1,0,90,125,16,13.88,2.12
"Pattukottai,Tamil Nadu",0,35,0,2,0,0,0,2,0,1,NA,0,1,0,0,54,NA,13,5.97,7.03
"Nagapattinam,Tamil Nadu",0,0,4,2,0,0,0,3,0,1,1,0,0,0,0,86,NA,14.8,14.8,NA
"Myladuthurai,Tamil Nadu",52,49,0,0,0,0,0,3,0,2,2,1,NA,0,0,60,NA,13,4.6,8.4
"Sirkali,Tamil Nadu",33,15,0,0,0,0,0,0,0,2,1,0,0,0,13.2,NA,NA,5.28,10.683,NA
"Vedharanyan,Tamil Nadu",0,0,0,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,5,5,NA
"Tiruvarur,Tamil Nadu",0,10,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,6,6.14,NA
"Mannargudi,Tamil Nadu",30,6,0,0,0,0,0,1,0,2,1,1,0,0,0,40,NA,8.5,3.5,5
"Thiruthuraipoondi,Tamil Nadu",4,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2.5,4.24,NA
"Koothanallur,Tamil Nadu",NA,12,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3.56,NA,NA
"Pudukkottai,Tamil Nadu",45,0,0,0,0,0,0,3,0,2,0,0,1,0,0,50,0,13.13,13.13,NA
"Aranthangi,Tamil Nadu",43,0,0,0,0,0,0,1,0,3,1,0,0,0,0,35,0,4.2,6,NA
"Manapparai,Tamil Nadu",29,22,0,0,0,0,0,1,0,2,0,0,0,0,90,36,0,5,0.96,4
"Thuraiyur,Tamil Nadu",34,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,4.5,8.1,NA
"Thuvakudi,Tamil Nadu",0,0,0,0,0,0,0,0,0,0,2,0,0,1,15,0,0,5,0,5
"Perambaur,Tamil Nadu",34,0,0,0,0,0,0,1,0,1,0,0,0,0,0,30,0,0,5.45,NA
"Ariyalur,Tamil Nadu",32,14,0,0,0,0,0,1,0,1,2,0,0,0,0,25,25,4,8,NA
"Jayankondam,Tamil Nadu",22,0,0,0,0,0,0,0,0,1,1,0,0,1,0,NA,12,5,0,5
"Bodinayakanur,Tamil Nadu",70,0,0,0,0,0,0,2,0,2,1,0,0,0,0,28,0,7.56,10,0
"Cumbum,Tamil Nadu",100,0,0,1,0,0,0,2,0,0,0,0,0,0,0,30,0,9,4.5,4.5
"Devakottai,Tamil Nadu",0,0,0,1,0,0,0,1,0,1,0,0,0,0,40,30,0,5,4.75,0.25
"Paramakudi,Tamil Nadu",0,36,0,0,0,0,0,2,0,1,1,1,0,0,0,36,0,10,10.94,0
