Sl.No.,District,"Units Registered","Total Employment"
1,BAGALKOT,902,4660
2,BALLARI,1115,6451
3,BELAGAVI,3185,20796
4,"BENGALURU (RURAL)",2141,13166
5,"BENGALURU (URBAN)",10266,73464
6,BIDAR,1046,5251
7,CHAMARAJNAGAR,527,2853
8,CHIKBALLAPUR,908,5049
9,CHIKKAMAGALURU,985,3975
10,CHITRADURGA,837,19734
11,"DAKSHIN KANNAD",2040,7791
12,DAVANGERE,1072,5768
13,DHARWAD,1750,6903
14,GADAG,547,1970
15,HASSAN,1135,14648
16,HAVERI,858,3885
17,KALABURAGI,1024,5772
18,KODAGU,384,1502
19,KOLAR,772,4587
20,KOPPAL,563,7527
21,MANDYA,940,9154
22,MYSURU,2378,12360
23,RAICHUR,1115,4469
24,RAMANAGARA,687,3829
25,SHIVAMOGGA,1561,7238
26,TUMAKURU,1894,17346
27,UDUPI,1427,4787
28,"UTTAR KANNAD",1493,6222
29,VIJAYANAGAR,355,2207
30,VIJAYAPURA,1186,15143
31,YADGIR,463,6396
