state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
"ANDHRA PRADESH",28,KURNOOL,511,17,21077,221,21315
"ANDHRA PRADESH",28,NTR,749,5,18979,80,19064
"ANDHRA PRADESH",28,"Sri Sathya Sai",754,1,17677,25,17703
"ANDHRA PRADESH",28,VIZIANAGARAM,521,13,11736,118,11867
"ARUNACHAL PRADESH",12,"DIBANG VALLEY",230,0,24,2,26
"ARUNACHAL PRADESH",12,"Keyi Panyor",786,0,53,0,53
"ARUNACHAL PRADESH",12,"LOWER SUBANSIRI",236,0,516,2,518
ASSAM,18,"DIMA HASAO",299,0,1376,7,1383
ASSAM,18,JORHAT,290,10,8866,79,8955
ASSAM,18,NALBARI,298,4,14078,22,14104
BIHAR,10,ARWAL,611,0,2467,9,2476
BIHAR,10,AURANGABAD,189,0,9671,56,9727
BIHAR,10,GOPALGANJ,197,4,11401,28,11433
BIHAR,10,JAMUI,198,2,6867,17,6886
BIHAR,10,"KAIMUR (BHABUA)",200,4,5310,125,5439
BIHAR,10,PATNA,212,64,41589,520,42173
BIHAR,10,SAHARSA,216,0,7626,23,7649
CHHATTISGARH,22,BASTAR,374,3,2597,35,2635
CHHATTISGARH,22,BILASPUR,375,29,10775,199,11003
CHHATTISGARH,22,DANTEWADA,376,0,902,5,907
CHHATTISGARH,22,GARIABAND,645,2,1634,12,1648
CHHATTISGARH,22,"Gaurella Pendra Marwahi",734,0,939,12,951
CHHATTISGARH,22,"MOHLA MANPUR AMBAGARH CHOUKI",761,0,563,1,564
CHHATTISGARH,22,RAIPUR,387,198,19208,1086,20492
CHHATTISGARH,22,"SARANGARH BILAIGARH",763,0,1148,2,1150
GOA,30,"NORTH GOA",551,23,7556,199,7778
GUJARAT,24,BOTAD,676,13,4513,163,4689
GUJARAT,24,KHEDA,450,22,11569,244,11835
GUJARAT,24,NARMADA,452,1,1327,9,1337
GUJARAT,24,NAVSARI,453,13,11080,225,11318
GUJARAT,24,"SABAR KANTHA",458,25,8696,331,9052
GUJARAT,24,SURAT,459,444,247597,6832,254873
GUJARAT,24,SURENDRANAGAR,460,32,11859,261,12152
GUJARAT,24,TAPI,641,6,2620,53,2679
HARYANA,6,AMBALA,58,20,14874,296,15190
HARYANA,6,NUH,604,4,4531,51,4586
"HIMACHAL PRADESH",2,KULLU,20,1,6557,14,6572
"HIMACHAL PRADESH",2,"LAHUL AND SPITI",21,0,140,0,140
"HIMACHAL PRADESH",2,SHIMLA,23,1,4346,35,4382
