StateName,state_id,DistrictName,DISTRICT_ID,TotalNoOfApplication,TotalNoOf_Micro,TotalNoOf_Small,TotalNoOf_Medium,CreatedDate
"JAMMU AND KASHMIR",1,ANANTNAG,36,373,277,85,11,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,BADGAM,34,909,791,116,2,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,BANDIPORA,604,102,59,43,0,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,BARAMULLA,32,795,650,142,3,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,DODA,39,85,63,21,1,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,GANDERBAL,605,216,175,39,2,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,JAMMU,43,3503,2594,870,39,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,KARGIL,38,46,15,30,1,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,KATHUA,44,561,408,138,15,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,KISHTWAR,606,122,67,54,1,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,KULGAM,607,96,79,16,1,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,KUPWARA,31,82,57,23,2,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,"LEH LADAKH",37,93,52,40,1,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,POONCH,41,835,796,39,0,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,PULWAMA,35,220,148,69,3,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,RAJAURI,42,353,315,36,2,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,RAMBAN,608,76,62,11,3,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,REASI,609,114,76,37,1,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,SAMBA,610,532,272,247,13,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,SHOPIAN,611,64,34,28,2,2022-04-01T08:08:08.550
