state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
"ANDHRA PRADESH",28,ANANTHAPUR,502,33,111531,748,112312
"ARUNACHAL PRADESH",12,CHANGLANG,229,0,1524,14,1538
"ARUNACHAL PRADESH",12,"LOWER SUBANSIRI",236,1,1408,10,1419
ASSAM,18,BAJALI,739,1,4493,12,4506
ASSAM,18,BONGAIGAON,281,7,22238,138,22383
ASSAM,18,KAMRUP,291,31,58803,402,59236
BIHAR,10,AURANGABAD,189,5,37386,257,37648
BIHAR,10,BHAGALPUR,192,17,66128,367,66512
BIHAR,10,KHAGARIA,202,14,26302,169,26485
BIHAR,10,SARAN,218,11,51575,267,51853
BIHAR,10,SIWAN,222,1,44370,231,44602
CHHATTISGARH,22,DHAMTARI,377,6,18224,239,18469
CHHATTISGARH,22,"Gaurella Pendra Marwahi",734,0,4462,27,4489
CHHATTISGARH,22,JANJGIR-CHAMPA,379,10,29287,215,29512
CHHATTISGARH,22,JASHPUR,380,3,12134,81,12218
CHHATTISGARH,22,KABIRDHAM,382,2,15152,85,15239
CHHATTISGARH,22,"MOHLA MANPUR AMBAGARH CHOUKI",761,0,2374,1,2375
CHHATTISGARH,22,MUNGELI,647,1,11106,45,11152
CHHATTISGARH,22,SURGUJA,389,9,19807,223,20039
GOA,30,"NORTH GOA",551,51,48452,651,49154
GUJARAT,24,AHMADABAD,438,1210,542631,12866,556707
GUJARAT,24,BHAVNAGAR,443,92,78010,1310,79412
GUJARAT,24,GANDHINAGAR,446,97,61972,1212,63281
GUJARAT,24,"GIR SOMNATH",675,5,27496,347,27848
GUJARAT,24,JUNAGADH,448,32,49547,787,50366
GUJARAT,24,MAHISAGAR,669,1,11864,54,11919
GUJARAT,24,NARMADA,452,1,7478,52,7531
GUJARAT,24,"SABAR KANTHA",458,37,37426,584,38047
HARYANA,6,FATEHABAD,61,28,40444,454,40926
HARYANA,6,MAHENDRAGARH,69,11,28624,305,28940
JHARKHAND,20,DHANBAD,325,37,73188,721,73946
JHARKHAND,20,DUMKA,326,3,17974,124,18101
JHARKHAND,20,"GUMLA ",331,1,10546,53,10600
JHARKHAND,20,"LOHARDAGA ",336,2,9795,46,9843
JHARKHAND,20,"SERAIKELA-KHARSAWAN  ",341,43,22851,367,23261
KARNATAKA,29,BIDAR,529,19,44117,324,44460
KARNATAKA,29,KALABURAGI,538,30,57054,628,57712
KARNATAKA,29,KODAGU,541,22,19265,241,19528
KARNATAKA,29,RAICHUR,546,37,42589,710,43336
KARNATAKA,29,TUMAKURU,548,31,90445,857,91333
KERALA,32,THIRUVANANTHAPURAM,565,49,118830,1093,119972
"MADHYA PRADESH",23,"AGAR MALWA",667,5,23589,123,23717
"MADHYA PRADESH",23,ASHOKNAGAR,391,4,21377,143,21524
"MADHYA PRADESH",23,CHHATARPUR,398,7,31132,279,31418
"MADHYA PRADESH",23,"EAST NIMAR",405,9,30626,295,30930
"MADHYA PRADESH",23,GWALIOR,407,64,93622,1023,94709
"MADHYA PRADESH",23,MORENA,417,24,37538,271,37833
"MADHYA PRADESH",23,NARSINGHPUR,418,10,26864,231,27105
"MADHYA PRADESH",23,RATLAM,423,20,57874,527,58421
"MADHYA PRADESH",23,SINGRAULI,638,5,21422,182,21609
"MADHYA PRADESH",23,UMARIA,436,2,8514,44,8560
"MADHYA PRADESH",23,VIDISHA,437,9,42104,324,42437
MAHARASHTRA,27,AURANGABAD,469,188,260069,2048,262305
MAHARASHTRA,27,BEED,470,39,106872,587,107498
MAHARASHTRA,27,BHANDARA,471,8,57249,202,57459
MAHARASHTRA,27,LATUR,481,70,110817,793,111680
MAHARASHTRA,27,"MUMBAI ",482,1920,366132,13393,381445
MAHARASHTRA,27,WARDHA,498,58,64612,372,65042
MANIPUR,14,CHANDEL,253,2,1894,12,1908
MANIPUR,14,"IMPHAL WEST",256,8,31615,198,31821
MANIPUR,14,TENGNOUPAL,716,0,1198,0,1198
MEGHALAYA,17,"EASTERN WEST KHASI HILLS",740,0,910,1,911
MEGHALAYA,17,"SOUTH WEST  GARO HILLS",663,0,2157,6,2163
MEGHALAYA,17,"WEST KHASI HILLS",279,0,2240,7,2247
MIZORAM,15,AIZAWL,261,5,18381,160,18546
NAGALAND,13,KOHIMA,245,2,6820,29,6851
NAGALAND,13,Noklak,736,0,572,0,572
NAGALAND,13,PHEK,248,0,2220,1,2221
NAGALAND,13,Tseminyu,757,0,527,0,527
NAGALAND,13,ZUNHEBOTO,251,0,1972,3,1975
ODISHA,21,BARGARH,347,13,40548,249,40810
ODISHA,21,KANDHAMAL,359,3,14457,44,14504
ODISHA,21,KENDUJHAR,361,53,45293,449,45795
ODISHA,21,PURI,369,5,67321,246,67572
ODISHA,21,SUNDARGARH,373,105,54368,870,55343
PUNJAB,3,HOSHIARPUR,33,12,63853,374,64239
PUNJAB,3,LUDHIANA,36,412,260795,5797,267004
PUNJAB,3,MALERKOTLA,737,3,14473,41,14517
PUNJAB,3,MANSA,37,6,28982,201,29189
PUNJAB,3,MOGA,38,17,53533,280,53830
PUNJAB,3,PATHANKOT,662,9,23699,205,23913
PUNJAB,3,"SHAHID BHAGAT SINGH NAGAR",40,5,30108,111,30224
PUNJAB,3,"SRI MUKTSAR SAHIB",39,14,36744,284,37042
RAJASTHAN,8,Anoopgarh,100,0,4194,11,4205
RAJASTHAN,8,Balotra,775,2,7648,60,7710
RAJASTHAN,8,DAUSA,97,11,50096,249,50356
RAJASTHAN,8,Dudu,102,0,1257,4,1261
RAJASTHAN,8,Gangapurcity,113,0,2261,7,2268
