StateName,state_id,DistrictName,DISTRICT_ID,TotalNoOfApplication,TotalNoOf_Micro,TotalNoOf_Small,TotalNoOf_Medium,_CreatedDate
"ANDHRA PRADESH",28,ANANTHAPUR,520,11367,9638,1676,53,NA
"ANDHRA PRADESH",28,CHITOOR,511,8146,5911,2149,86,NA
"ANDHRA PRADESH",28,"EAST GODAVARI",512,12659,10749,1845,65,NA
"ANDHRA PRADESH",28,GUNTUR,509,10626,7111,3445,70,NA
"ANDHRA PRADESH",28,KRISHNA,517,9686,6770,2836,80,NA
"ANDHRA PRADESH",28,KURNOOL,506,5612,4534,1047,31,NA
"ANDHRA PRADESH",28,PRAKASAM,510,12251,9883,2327,41,NA
"ANDHRA PRADESH",28,"SPSR NELLORE",518,5501,4369,1094,38,NA
"ANDHRA PRADESH",28,SRIKAKULAM,522,7093,6095,989,9,NA
"ANDHRA PRADESH",28,VISAKHAPATNAM,519,11642,9174,2357,111,NA
"ANDHRA PRADESH",28,VIZIANAGARAM,513,17355,16817,518,20,NA
"ANDHRA PRADESH",28,"WEST GODAVARI",505,14979,13152,1791,36,NA
"ANDHRA PRADESH",28,Y.S.R,503,4121,3124,934,63,NA
"ARUNACHAL PRADESH",12,ANJAW,628,5,4,1,0,NA
"ARUNACHAL PRADESH",12,CHANGLANG,269,134,86,47,1,NA
"ARUNACHAL PRADESH",12,"DIBANG VALLEY",267,7,7,0,0,NA
"ARUNACHAL PRADESH",12,"EAST KAMENG",260,9,7,2,0,NA
"ARUNACHAL PRADESH",12,"EAST SIANG",265,83,49,34,0,NA
"ARUNACHAL PRADESH",12,"KURUNG KUMEY",631,11,5,6,0,NA
"ARUNACHAL PRADESH",12,LOHIT,268,83,50,33,0,NA
"ARUNACHAL PRADESH",12,LONGDING,630,17,11,6,0,NA
"ARUNACHAL PRADESH",12,"LOWER DIBANG VALLEY",629,30,18,12,0,NA
"ARUNACHAL PRADESH",12,"LOWER SUBANSIRI",262,74,50,22,2,NA
"ARUNACHAL PRADESH",12,"PAPUM PARE",261,415,223,178,14,NA
"ARUNACHAL PRADESH",12,TAWANG,258,7,3,3,1,NA
"ARUNACHAL PRADESH",12,TIRAP,270,6,2,4,0,NA
"ARUNACHAL PRADESH",12,"UPPER SIANG",266,4,3,1,0,NA
"ARUNACHAL PRADESH",12,"UPPER SUBANSIRI",263,65,54,11,0,NA
"ARUNACHAL PRADESH",12,"WEST KAMENG",259,30,11,12,7,NA
"ARUNACHAL PRADESH",12,"WEST SIANG",264,113,71,42,0,NA
ASSAM,18,BAKSA,651,242,229,13,0,NA
ASSAM,18,BARPETA,311,851,813,38,0,NA
ASSAM,18,Biswanath,725,26,17,7,2,NA
ASSAM,18,BONGAIGAON,310,280,228,50,2,NA
ASSAM,18,CACHAR,327,517,445,69,3,NA
ASSAM,18,CHIRANG,652,333,303,27,3,NA
ASSAM,18,DARRANG,314,574,554,19,1,NA
ASSAM,18,DHEMAJI,653,266,231,31,4,NA
ASSAM,18,DHUBRI,308,511,489,20,2,NA
ASSAM,18,DIBRUGARH,321,450,317,120,13,NA
ASSAM,18,"DIMA HASAO",654,55,50,5,0,NA
ASSAM,18,GOALPARA,309,265,241,23,1,NA
ASSAM,18,GOLAGHAT,324,404,316,85,3,NA
ASSAM,18,HAILAKANDI,329,143,129,11,3,NA
ASSAM,18,JORHAT,323,331,256,70,5,NA
ASSAM,18,KAMRUP,312,1221,913,269,39,NA
ASSAM,18,"KAMRUP METRO",319,2688,2076,566,46,NA
ASSAM,18,KARBI-ANGELONG,325,218,188,28,2,NA
ASSAM,18,KARIMGANJ,328,156,140,16,0,NA
ASSAM,18,KOKRAJHAR,307,270,180,88,2,NA
ASSAM,18,LAKHIMPUR,318,422,375,46,1,NA
ASSAM,18,MAJULI,728,3,3,0,0,NA
ASSAM,18,MARIGAON,315,299,272,24,3,NA
ASSAM,18,NAGAON,316,1744,1636,104,4,NA
ASSAM,18,NALBARI,313,539,503,36,0,NA
ASSAM,18,SIVASAGAR,322,360,272,84,4,NA
ASSAM,18,SONITPUR,317,738,566,160,12,NA
ASSAM,18,TINSUKIA,320,608,481,118,9,NA
ASSAM,18,UDALGURI,326,274,230,41,3,NA
BIHAR,10,ARARIA,223,9051,8826,158,67,NA
BIHAR,10,ARWAL,613,912,891,19,2,NA
BIHAR,10,AURANGABAD,250,5311,5135,170,6,NA
BIHAR,10,BANKA,239,19005,18947,53,5,NA
BIHAR,10,BEGUSARAI,236,8903,8563,333,7,NA
BIHAR,10,BHAGALPUR,238,11359,11141,202,16,NA
BIHAR,10,BHOJPUR,245,6371,6161,197,13,NA
BIHAR,10,BUXAR,246,5581,5477,100,4,NA
BIHAR,10,DARBHANGA,229,5738,5516,209,13,NA
BIHAR,10,GAYA,251,8292,7953,257,82,NA
BIHAR,10,GOPALGANJ,231,3458,3234,217,7,NA
BIHAR,10,JAMUI,253,9277,9235,37,5,NA
BIHAR,10,JEHANABAD,249,1725,1663,62,0,NA
BIHAR,10,"KAIMUR (BHABUA)",247,3859,3682,164,13,NA
BIHAR,10,KATIHAR,226,8789,8698,85,6,NA
BIHAR,10,KHAGARIA,237,3287,3239,45,3,NA
BIHAR,10,KISHANGANJ,224,2930,2884,40,6,NA
BIHAR,10,LAKHISARAI,241,9327,9265,61,1,NA
BIHAR,10,MADHEPURA,227,2581,2520,52,9,NA
BIHAR,10,MADHUBANI,221,18648,18471,160,17,NA
BIHAR,10,MUNGER,240,4359,4305,52,2,NA
BIHAR,10,MUZAFFARPUR,230,16498,15991,479,28,NA
BIHAR,10,NALANDA,243,9799,9624,171,4,NA
BIHAR,10,NAWADA,252,7530,7168,217,145,NA
BIHAR,10,"PASHCHIM  CHAMPARAN",217,18776,18539,220,17,NA
BIHAR,10,PATNA,244,23234,21439,1683,112,NA
BIHAR,10,"PURBI  CHAMPARAN",218,15232,14953,257,22,NA
BIHAR,10,PURNIA,225,8068,7867,183,18,NA
BIHAR,10,ROHTAS,248,14187,13967,199,21,NA
BIHAR,10,SAHARSA,228,4234,4150,76,8,NA
BIHAR,10,SAMASTIPUR,235,13266,13054,201,11,NA
BIHAR,10,SARAN,233,11312,11151,158,3,NA
BIHAR,10,SHEIKHPURA,242,4168,4128,38,2,NA
BIHAR,10,SHEOHAR,219,1170,1147,23,0,NA
BIHAR,10,SITAMARHI,220,7089,6964,117,8,NA
BIHAR,10,SIWAN,232,2928,2696,226,6,NA
BIHAR,10,SUPAUL,222,3577,3494,79,4,NA
BIHAR,10,VAISHALI,234,9991,9671,299,21,NA
CHHATTISGARH,22,BALOD,673,561,457,102,2,NA
CHHATTISGARH,22,"BALOD BAZAR",674,799,480,318,1,NA
CHHATTISGARH,22,BALRAMPUR,677,212,159,53,0,NA
CHHATTISGARH,22,BASTAR,380,576,515,59,2,NA
CHHATTISGARH,22,BEMETARA,675,305,224,79,2,NA
CHHATTISGARH,22,BIJAPUR,676,31,25,6,0,NA
CHHATTISGARH,22,BILASPUR,372,2299,1866,413,20,NA
CHHATTISGARH,22,DANTEWADA,381,89,69,20,0,NA
CHHATTISGARH,22,DHAMTARI,378,1263,1003,259,1,NA
CHHATTISGARH,22,DURG,375,2942,2082,833,27,NA
CHHATTISGARH,22,GARIABAND,681,328,270,58,0,NA
CHHATTISGARH,22,JANJGIR-CHAMPA,371,1147,891,252,4,NA
CHHATTISGARH,22,JASHPUR,368,209,172,37,0,NA
CHHATTISGARH,22,KABIRDHAM,373,396,332,63,1,NA
CHHATTISGARH,22,KANKER,379,315,263,52,0,NA
CHHATTISGARH,22,KONDAGAON,678,227,179,44,4,NA
CHHATTISGARH,22,KORBA,370,841,677,155,9,NA
CHHATTISGARH,22,KOREA,366,364,280,81,3,NA
CHHATTISGARH,22,MAHASAMUND,377,663,461,193,9,NA
CHHATTISGARH,22,MUNGELI,679,286,225,59,2,NA
CHHATTISGARH,22,NARAYANPUR,680,55,52,3,0,NA
CHHATTISGARH,22,RAIGARH,369,946,666,266,14,NA
CHHATTISGARH,22,RAIPUR,376,5305,3472,1738,95,NA
CHHATTISGARH,22,RAJNANDAGAON,374,1012,776,232,4,NA
CHHATTISGARH,22,SUKMA,682,47,39,8,0,NA
CHHATTISGARH,22,SURAJPUR,683,284,227,55,2,NA
CHHATTISGARH,22,SURGUJA,367,799,668,125,6,NA
GOA,30,"NORTH GOA",551,2256,1632,578,46,NA
GOA,30,"SOUTH GOA",552,1646,1109,498,39,NA
GUJARAT,24,AHMADABAD,433,104970,90328,13875,767,NA
GUJARAT,24,AMRELI,439,2188,1868,311,9,NA
GUJARAT,24,ANAND,441,5032,4133,847,52,NA
GUJARAT,24,ARVALLI,655,641,410,224,7,NA
GUJARAT,24,"BANAS KANTHA",428,2697,2109,564,24,NA
GUJARAT,24,BHARUCH,447,5971,3670,2142,159,NA
GUJARAT,24,BHAVNAGAR,440,10797,9532,1190,75,NA
GUJARAT,24,BOTAD,656,1042,902,138,2,NA
GUJARAT,24,CHHOTAUDEPUR,657,354,241,113,0,NA
GUJARAT,24,DANG,449,38,32,6,0,NA
GUJARAT,24,"DEVBHOOMI DWARKA",658,384,286,93,5,NA
GUJARAT,24,DOHAD,444,646,504,136,6,NA
GUJARAT,24,GANDHINAGAR,432,6332,4282,1899,151,NA
GUJARAT,24,"GIR SOMNATH",659,1167,906,249,12,NA
GUJARAT,24,JAMNAGAR,436,7276,6032,1177,67,NA
GUJARAT,24,JUNAGADH,438,3034,2530,482,22,NA
GUJARAT,24,KACHCHH,427,5969,4574,1293,102,NA
GUJARAT,24,KHEDA,442,2250,1674,527,49,NA
GUJARAT,24,MAHESANA,430,3986,2305,1534,147,NA
GUJARAT,24,MAHISAGAR,670,188,136,51,1,NA
GUJARAT,24,MORBI,671,5254,2765,1965,524,NA
GUJARAT,24,NARMADA,446,198,161,36,1,NA
GUJARAT,24,NAVSARI,450,3437,2784,612,41,NA
GUJARAT,24,"PANCH MAHALS",443,1515,1089,397,29,NA
GUJARAT,24,PATAN,429,1534,1264,248,22,NA
GUJARAT,24,PORBANDAR,437,779,628,140,11,NA
GUJARAT,24,RAJKOT,435,54049,44116,9579,354,NA
GUJARAT,24,"SABAR KANTHA",431,1638,954,624,60,NA
GUJARAT,24,SURAT,448,206766,174406,31533,827,NA
GUJARAT,24,SURENDRANAGAR,434,4049,3166,835,48,NA
GUJARAT,24,TAPI,672,549,428,117,4,NA
GUJARAT,24,VADODARA,445,18622,14537,3777,308,NA
GUJARAT,24,VALSAD,451,7927,5360,2371,196,NA
HARYANA,6,AMBALA,89,4644,3852,771,21,NA
HARYANA,6,BHIWANI,100,2320,1866,445,9,NA
HARYANA,6,FARIDABAD,106,17949,12687,5008,254,NA
HARYANA,6,FATEHABAD,97,1609,1338,271,0,NA
HARYANA,6,GURUGRAM,105,10933,7316,3326,291,NA
HARYANA,6,HISAR,99,3923,3348,552,23,NA
HARYANA,6,JHAJJAR,102,3006,1878,1070,58,NA
HARYANA,6,JIND,96,3024,2585,424,15,NA
HARYANA,6,KAITHAL,92,3630,3197,414,19,NA
HARYANA,6,KARNAL,93,6655,5295,1270,90,NA
HARYANA,6,KURUKSHETRA,91,2431,2009,405,17,NA
HARYANA,6,MAHENDRAGARH,103,931,795,133,3,NA
HARYANA,6,NUH,685,818,729,80,9,NA
HARYANA,6,PALWAL,684,1345,1030,296,19,NA
HARYANA,6,PANCHKULA,88,2269,1692,563,14,NA
HARYANA,6,PANIPAT,94,11174,9344,1717,113,NA
HARYANA,6,REWARI,104,2422,1997,391,34,NA
HARYANA,6,ROHTAK,101,3344,2597,703,44,NA
HARYANA,6,SIRSA,98,2773,2443,319,11,NA
HARYANA,6,SONIPAT,95,7110,4788,2162,160,NA
HARYANA,6,YAMUNANAGAR,90,4178,2933,1229,16,NA
"HIMACHAL PRADESH",2,BILASPUR,52,181,152,29,0,NA
"HIMACHAL PRADESH",2,CHAMBA,45,246,222,21,3,NA
"HIMACHAL PRADESH",2,HAMIRPUR,50,227,196,31,0,NA
"HIMACHAL PRADESH",2,KANGRA,46,852,660,181,11,NA
