StateName,state_id,DistrictName,DISTRICT_ID,TotalManufacturingUnit,TotalServiceUnit,_CreatedDate
"ANDHRA PRADESH",28,ANANTHAPUR,520,11367,9826,NA
"ANDHRA PRADESH",28,CHITOOR,511,8146,19524,NA
"ANDHRA PRADESH",28,"EAST GODAVARI",512,12659,13885,NA
"ANDHRA PRADESH",28,GUNTUR,509,10626,14853,NA
"ANDHRA PRADESH",28,KRISHNA,517,9686,13545,NA
"ANDHRA PRADESH",28,KURNOOL,506,5609,9739,NA
"ANDHRA PRADESH",28,PRAKASAM,510,12251,32919,NA
"ANDHRA PRADESH",28,"SPSR NELLORE",518,5501,48558,NA
"ANDHRA PRADESH",28,SRIKAKULAM,522,7092,3802,NA
"ANDHRA PRADESH",28,VISAKHAPATNAM,519,11642,17428,NA
"ANDHRA PRADESH",28,VIZIANAGARAM,513,17355,12831,NA
"ANDHRA PRADESH",28,"WEST GODAVARI",505,14978,18561,NA
"ANDHRA PRADESH",28,Y.S.R,503,4121,33379,NA
"ARUNACHAL PRADESH",12,ANJAW,628,1,2,NA
"ARUNACHAL PRADESH",12,CHANGLANG,269,134,36,NA
"ARUNACHAL PRADESH",12,"DIBANG VALLEY",267,7,11,NA
"ARUNACHAL PRADESH",12,"EAST KAMENG",260,9,16,NA
"ARUNACHAL PRADESH",12,"EAST SIANG",265,83,47,NA
"ARUNACHAL PRADESH",12,"KRA DAADI",722,0,1,NA
"ARUNACHAL PRADESH",12,"KURUNG KUMEY",631,11,11,NA
"ARUNACHAL PRADESH",12,LOHIT,268,83,53,NA
"ARUNACHAL PRADESH",12,LONGDING,630,17,3,NA
"ARUNACHAL PRADESH",12,"LOWER DIBANG VALLEY",629,30,52,NA
"ARUNACHAL PRADESH",12,"LOWER SUBANSIRI",262,74,65,NA
"ARUNACHAL PRADESH",12,"PAPUM PARE",261,415,418,NA
"ARUNACHAL PRADESH",12,TAWANG,258,7,13,NA
"ARUNACHAL PRADESH",12,TIRAP,270,6,8,NA
"ARUNACHAL PRADESH",12,"UPPER SIANG",266,4,10,NA
"ARUNACHAL PRADESH",12,"UPPER SUBANSIRI",263,65,43,NA
"ARUNACHAL PRADESH",12,"WEST KAMENG",259,30,45,NA
"ARUNACHAL PRADESH",12,"WEST SIANG",264,113,46,NA
ASSAM,18,BAKSA,651,242,143,NA
ASSAM,18,BARPETA,311,828,445,NA
ASSAM,18,Biswanath,725,26,47,NA
ASSAM,18,BONGAIGAON,310,280,240,NA
ASSAM,18,CACHAR,327,517,570,NA
ASSAM,18,CHIRANG,652,333,123,NA
ASSAM,18,DARRANG,314,574,224,NA
ASSAM,18,DHEMAJI,653,266,326,NA
ASSAM,18,DHUBRI,308,511,321,NA
ASSAM,18,DIBRUGARH,321,450,848,NA
ASSAM,18,"DIMA HASAO",654,55,28,NA
ASSAM,18,GOALPARA,309,265,248,NA
ASSAM,18,GOLAGHAT,324,404,607,NA
ASSAM,18,HAILAKANDI,329,143,152,NA
ASSAM,18,HOJAI,727,0,1,NA
ASSAM,18,JORHAT,323,331,320,NA
ASSAM,18,KAMRUP,312,1220,946,NA
ASSAM,18,"KAMRUP METRO",319,2688,3036,NA
ASSAM,18,KARBI-ANGELONG,325,218,206,NA
ASSAM,18,KARIMGANJ,328,154,308,NA
ASSAM,18,KOKRAJHAR,307,270,170,NA
ASSAM,18,LAKHIMPUR,318,422,343,NA
ASSAM,18,MAJULI,728,3,6,NA
ASSAM,18,MARIGAON,315,299,170,NA
ASSAM,18,NAGAON,316,1744,881,NA
ASSAM,18,NALBARI,313,538,167,NA
ASSAM,18,SIVASAGAR,322,360,429,NA
ASSAM,18,SONITPUR,317,738,609,NA
ASSAM,18,TINSUKIA,320,608,607,NA
ASSAM,18,UDALGURI,326,274,167,NA
ASSAM,18,"WEST KARBI ANGLONG",730,0,1,NA
BIHAR,10,ARARIA,223,9051,38619,NA
BIHAR,10,ARWAL,613,912,1921,NA
BIHAR,10,AURANGABAD,250,5311,3707,NA
